Period,AAPL Dividend Yield (TTM)
2015-05-01 00:00:00,1.61
2015-04-30 00:00:00,1.5022
2015-04-29 00:00:00,1.4614
2015-04-28 00:00:00,1.44
2015-04-27 00:00:00,1.4173
2015-04-24 00:00:00,1.443
2015-04-23 00:00:00,1.4498
2015-04-22 00:00:00,1.4617
2015-04-21 00:00:00,1.4814
2015-04-20 00:00:00,1.4734
2015-04-17 00:00:00,1.507
2015-04-16 00:00:00,1.4901
2015-04-15 00:00:00,1.4829
2015-04-14 00:00:00,1.4885
2015-04-13 00:00:00,1.4821
2015-04-10 00:00:00,1.4792
2015-04-09 00:00:00,1.4855
2015-04-08 00:00:00,1.4968
2015-04-07 00:00:00,1.4919
2015-04-06 00:00:00,1.4762
2015-04-02 00:00:00,1.5002
2015-04-01 00:00:00,1.5131
2015-03-31 00:00:00,1.5109
2015-03-30 00:00:00,1.4877
2015-03-27 00:00:00,1.5254
2015-03-26 00:00:00,1.5132
2015-03-25 00:00:00,1.5237
2015-03-24 00:00:00,1.4839
2015-03-23 00:00:00,1.4779
2015-03-20 00:00:00,1.4932
2015-03-19 00:00:00,1.4746
2015-03-18 00:00:00,1.4634
2015-03-17 00:00:00,1.4798
2015-03-16 00:00:00,1.5046
2015-03-13 00:00:00,1.5212
2015-03-12 00:00:00,1.5106
2015-03-11 00:00:00,1.538
2015-03-10 00:00:00,1.5099
2015-03-09 00:00:00,1.4787
2015-03-06 00:00:00,1.485
2015-03-05 00:00:00,1.4872
2015-03-04 00:00:00,1.4626
2015-03-03 00:00:00,1.4533
2015-03-02 00:00:00,1.4563
2015-02-27 00:00:00,1.4635
2015-02-26 00:00:00,1.4416
2015-02-25 00:00:00,1.4597
2015-02-24 00:00:00,1.4224
2015-02-23 00:00:00,1.4135
2015-02-20 00:00:00,1.4518
2015-02-19 00:00:00,1.4636
2015-02-18 00:00:00,1.4606
2015-02-17 00:00:00,1.4707
2015-02-13 00:00:00,1.4794
2015-02-12 00:00:00,1.4866
2015-02-11 00:00:00,1.5054
2015-02-10 00:00:00,1.5407
2015-02-09 00:00:00,1.5703
2015-02-06 00:00:00,1.5808
2015-02-05 00:00:00,1.5674
2015-02-04 00:00:00,1.5438
2015-02-03 00:00:00,1.5556
2015-02-02 00:00:00,1.5559
2015-01-30 00:00:00,1.5754
2015-01-29 00:00:00,1.5523
2015-01-28 00:00:00,1.6007
2015-01-27 00:00:00,1.6911
2015-01-26 00:00:00,1.6319
2015-01-23 00:00:00,1.6337
2015-01-22 00:00:00,1.6421
2015-01-21 00:00:00,1.6848
2015-01-20 00:00:00,1.6977
2015-01-16 00:00:00,1.7414
2015-01-15 00:00:00,1.7279
2015-01-14 00:00:00,1.681
2015-01-13 00:00:00,1.6746
2015-01-12 00:00:00,1.6894
2015-01-09 00:00:00,1.6478
2015-01-08 00:00:00,1.6496
2015-01-07 00:00:00,1.713
2015-01-06 00:00:00,1.737
2015-01-05 00:00:00,1.7371
2015-01-02 00:00:00,1.6882
2014-12-31 00:00:00,1.6721
2014-12-30 00:00:00,1.6403
2014-12-29 00:00:00,1.6203
2014-12-26 00:00:00,1.6192
2014-12-24 00:00:00,1.6478
2014-12-23 00:00:00,1.6401
2014-12-22 00:00:00,1.6342
2014-12-19 00:00:00,1.6512
2014-12-18 00:00:00,1.6384
2014-12-17 00:00:00,1.687
2014-12-16 00:00:00,1.7291
2014-12-15 00:00:00,1.7054
2014-12-12 00:00:00,1.6821
2014-12-11 00:00:00,1.6536
2014-12-10 00:00:00,1.6487
2014-12-09 00:00:00,1.6173
2014-12-08 00:00:00,1.6421
2014-12-05 00:00:00,1.605
2014-12-04 00:00:00,1.5982
2014-12-03 00:00:00,1.5921
2014-12-02 00:00:00,1.6101
2014-12-01 00:00:00,1.604
2014-11-28 00:00:00,1.5519
2014-11-26 00:00:00,1.551
2014-11-25 00:00:00,1.5695
2014-11-24 00:00:00,1.5559
2014-11-21 00:00:00,1.5847
2014-11-20 00:00:00,1.5869
2014-11-19 00:00:00,1.6096
2014-11-18 00:00:00,1.5984
2014-11-17 00:00:00,1.6192
2014-11-14 00:00:00,1.6165
2014-11-13 00:00:00,1.636
2014-11-12 00:00:00,1.6591
2014-11-11 00:00:00,1.6825
2014-11-10 00:00:00,1.696
2014-11-07 00:00:00,1.6932
2014-11-06 00:00:00,1.698
2014-11-05 00:00:00,1.664
2014-11-04 00:00:00,1.668
2014-11-03 00:00:00,1.6558
2014-10-31 00:00:00,1.6772
2014-10-30 00:00:00,1.6932
2014-10-29 00:00:00,1.6876
2014-10-28 00:00:00,1.697
2014-10-27 00:00:00,1.7234
2014-10-24 00:00:00,1.7216
2014-10-23 00:00:00,1.728
2014-10-22 00:00:00,1.7588
2014-10-21 00:00:00,1.7678
2014-10-20 00:00:00,1.8158
2014-10-17 00:00:00,1.8546
2014-10-16 00:00:00,1.8818
2014-10-15 00:00:00,1.8571
2014-10-14 00:00:00,1.8344
2014-10-13 00:00:00,1.8149
2014-10-10 00:00:00,1.7983
2014-10-09 00:00:00,1.7931
2014-10-08 00:00:00,1.7971
2014-10-07 00:00:00,1.8344
2014-10-06 00:00:00,1.8183
2014-10-03 00:00:00,1.8183
2014-10-02 00:00:00,1.8132
2014-10-01 00:00:00,1.8264
2014-09-30 00:00:00,1.7979
2014-09-29 00:00:00,1.8094
2014-09-26 00:00:00,1.7979
2014-09-25 00:00:00,1.8509
2014-09-24 00:00:00,1.7803
2014-09-23 00:00:00,1.7648
2014-09-22 00:00:00,1.7924
2014-09-19 00:00:00,1.7942
2014-09-18 00:00:00,1.7796
2014-09-17 00:00:00,1.7833
2014-09-16 00:00:00,1.796
2014-09-15 00:00:00,1.7824
2014-09-12 00:00:00,1.7818
2014-09-11 00:00:00,1.7859
2014-09-10 00:00:00,1.7935
2014-09-09 00:00:00,1.8486
2014-09-08 00:00:00,1.8416
2014-09-05 00:00:00,1.8303
2014-09-04 00:00:00,1.8461
2014-09-03 00:00:00,1.8308
2014-09-02 00:00:00,1.7536
2014-08-29 00:00:00,1.7672
2014-08-28 00:00:00,1.7716
2014-08-27 00:00:00,1.7736
2014-08-26 00:00:00,1.7955
2014-08-25 00:00:00,1.784
2014-08-22 00:00:00,1.7878
2014-08-21 00:00:00,1.801
2014-08-20 00:00:00,1.8012
2014-08-19 00:00:00,1.8019
2014-08-18 00:00:00,1.8268
2014-08-15 00:00:00,1.8488
2014-08-14 00:00:00,1.8579
2014-08-13 00:00:00,1.8628
2014-08-12 00:00:00,1.8875
2014-08-11 00:00:00,1.8871
2014-08-08 00:00:00,1.912
2014-08-07 00:00:00,1.9173
2014-08-06 00:00:00,1.8715
2014-08-05 00:00:00,1.8683
2014-08-04 00:00:00,1.8591
2014-08-01 00:00:00,1.8487
2014-07-31 00:00:00,1.8589
2014-07-30 00:00:00,1.8106
2014-07-29 00:00:00,1.8064
2014-07-28 00:00:00,1.7947
2014-07-25 00:00:00,1.8195
2014-07-24 00:00:00,1.8315
2014-07-23 00:00:00,1.8285
2014-07-22 00:00:00,1.8762
2014-07-21 00:00:00,1.8918
2014-07-18 00:00:00,1.882
2014-07-17 00:00:00,1.9091
2014-07-16 00:00:00,1.875
2014-07-15 00:00:00,1.8644
2014-07-14 00:00:00,1.8426
2014-07-11 00:00:00,1.8664
2014-07-10 00:00:00,1.87
2014-07-09 00:00:00,1.863
2014-07-08 00:00:00,1.8638
2014-07-07 00:00:00,1.8518
2014-07-03 00:00:00,1.89
2014-07-02 00:00:00,1.9011
2014-07-01 00:00:00,1.9003
2014-06-30 00:00:00,1.9123
2014-06-27 00:00:00,1.9321
2014-06-26 00:00:00,1.9551
2014-06-25 00:00:00,1.9667
2014-06-24 00:00:00,1.9685
2014-06-23 00:00:00,1.9566
2014-06-20 00:00:00,1.9548
2014-06-19 00:00:00,1.9346
2014-06-18 00:00:00,1.9279
2014-06-17 00:00:00,1.93
2014-06-16 00:00:00,1.9275
2014-06-13 00:00:00,1.9469
2014-06-12 00:00:00,1.9256
2014-06-11 00:00:00,1.8934
2014-06-10 00:00:00,1.8856
2014-06-09 00:00:00,1.8966
2014-06-06 00:00:00,1.927
2014-06-05 00:00:00,1.9217
2014-06-04 00:00:00,1.9292
2014-06-03 00:00:00,1.9512
2014-06-02 00:00:00,1.9788
2014-05-30 00:00:00,1.9652
2014-05-29 00:00:00,1.9579
2014-05-28 00:00:00,1.9936
2014-05-27 00:00:00,1.9884
2014-05-23 00:00:00,2.0256
2014-05-22 00:00:00,2.0485
2014-05-21 00:00:00,2.0518
2014-05-20 00:00:00,2.0572
2014-05-19 00:00:00,2.0576
2014-05-16 00:00:00,2.082
2014-05-15 00:00:00,2.1127
2014-05-14 00:00:00,2.0947
2014-05-13 00:00:00,2.0951
2014-05-12 00:00:00,2.0984
2014-05-09 00:00:00,2.1245
2014-05-08 00:00:00,2.1157
2014-05-07 00:00:00,2.0597
2014-05-06 00:00:00,2.0525
2014-05-05 00:00:00,2.0301
2014-05-02 00:00:00,2.0588
2014-05-01 00:00:00,2.0626
2014-04-30 00:00:00,2.0675
2014-04-29 00:00:00,2.0597
2014-04-28 00:00:00,2.0536
2014-04-25 00:00:00,2.1331
2014-04-24 00:00:00,2.1488
2014-04-23 00:00:00,2.3249
2014-04-22 00:00:00,2.2945
2014-04-21 00:00:00,2.2968
2014-04-17 00:00:00,2.3241
2014-04-16 00:00:00,2.3506
2014-04-15 00:00:00,2.3554
2014-04-14 00:00:00,2.3386
