Period,AAPL Market Cap
2015-05-01 00:00:00,742884.8185
2015-04-30 00:00:00,720992.9045
2015-04-29 00:00:00,741098.8992
2015-04-28 00:00:00,752160.0768
2015-04-27 00:00:00,764200.6295
2015-04-24 00:00:00,750546.9884
2015-04-23 00:00:00,747032.7601
2015-04-22 00:00:00,740983.6786
2015-04-21 00:00:00,731132.3173
2015-04-20 00:00:00,735107.428
2015-04-17 00:00:00,718688.4925
2015-04-16 00:00:00,726869.1551
2015-04-15 00:00:00,730383.3834
2015-04-14 00:00:00,727618.089
2015-04-13 00:00:00,730786.6555
2015-04-10 00:00:00,732226.913
2015-04-09 00:00:00,729273.9037
2015-04-08 00:00:00,723742.1168
2015-04-07 00:00:00,726104.6508
2015-04-06 00:00:00,733826.1033
2015-04-02 00:00:00,722128.679
2015-04-01 00:00:00,715963.0415
2015-03-31 00:00:00,717000.2515
2015-03-30 00:00:00,728179.0709
2015-03-27 00:00:00,717900.191
2015-03-26 00:00:00,723666.6915
2015-03-25 00:00:00,718657.4082
2015-03-24 00:00:00,737937.3241
2015-03-23 00:00:00,740966.1931
2015-03-20 00:00:00,733335.7732
2015-03-19 00:00:00,742626.2463
2015-03-18 00:00:00,748305.3756
2015-03-17 00:00:00,739975.9859
2015-03-16 00:00:00,727802.2626
2015-03-13 00:00:00,719880.6053
2015-03-12 00:00:00,724889.8886
2015-03-11 00:00:00,712017.1955
2015-03-10 00:00:00,725239.3735
2015-03-09 00:00:00,740558.4607
2015-03-06 00:00:00,737413.0968
2015-03-05 00:00:00,736306.3947
2015-03-04 00:00:00,748713.1079
2015-03-03 00:00:00,753489.4013
2015-03-02 00:00:00,751916.7193
2015-02-27 00:00:00,748247.1281
2015-02-26 00:00:00,759634.5104
2015-02-25 00:00:00,750169.2949
2015-02-24 00:00:00,769856.9432
2015-02-23 00:00:00,774691.484
2015-02-20 00:00:00,754275.7423
2015-02-19 00:00:00,748188.8806
2015-02-18 00:00:00,749732.4388
2015-02-17 00:00:00,744577.5368
2015-02-13 00:00:00,740208.9758
2015-02-12 00:00:00,736597.6321
2015-02-11 00:00:00,727394.5302
2015-02-10 00:00:00,710735.751
2015-02-09 00:00:00,697338.8306
2015-02-06 00:00:00,692737.2796
2015-02-05 00:00:00,698620.2751
2015-02-04 00:00:00,696406.8709
2015-02-03 00:00:00,691106.3502
2015-02-02 00:00:00,690989.8552
2015-01-30 00:00:00,682427.4757
2015-01-29 00:00:00,692562.5372
2015-01-28 00:00:00,671651.6919
2015-01-27 00:00:00,635712.9967
2015-01-26 00:00:00,658778.9988
2015-01-23 00:00:00,658080.029
2015-01-22 00:00:00,654701.6752
2015-01-21 00:00:00,638101.1434
2015-01-20 00:00:00,633266.6026
2015-01-16 00:00:00,617365.0405
2015-01-15 00:00:00,622199.5814
2015-01-14 00:00:00,639557.3304
2015-01-13 00:00:00,642003.7246
2015-01-12 00:00:00,636353.719
2015-01-09 00:00:00,652430.0235
2015-01-08 00:00:00,651918.0219
2015-01-07 00:00:00,627796.6472
2015-01-06 00:00:00,619115.2829
2015-01-05 00:00:00,619057.0188
2015-01-02 00:00:00,637002.3893
2014-12-31 00:00:00,643120.1292
2014-12-30 00:00:00,655588.6659
2014-12-29 00:00:00,663687.3883
2014-12-26 00:00:00,668533.1116
2014-12-24 00:00:00,656920.7284
2014-12-23 00:00:00,660029.0936
2014-12-22 00:00:00,662375.0296
2014-12-19 00:00:00,655571.8152
2014-12-18 00:00:00,660674.226
2014-12-17 00:00:00,641672.1444
2014-12-16 00:00:00,626042.3458
2014-12-15 00:00:00,634722.309
2014-12-12 00:00:00,643548.8932
2014-12-11 00:00:00,654633.4408
2014-12-10 00:00:00,656568.838
2014-12-09 00:00:00,669295.5408
2014-12-08 00:00:00,659208.016
2014-12-05 00:00:00,674456.6
2014-12-04 00:00:00,677330.3716
2014-12-03 00:00:00,679910.9012
2014-12-02 00:00:00,672286.6092
2014-12-01 00:00:00,674867.1388
2014-11-28 00:00:00,697505.4212
2014-11-26 00:00:00,697915.96
2014-11-25 00:00:00,689705.184
2014-11-24 00:00:00,695716.645
2014-11-21 00:00:00,683077.9148
2014-11-20 00:00:00,682139.5404
2014-11-19 00:00:00,672521.2028
2014-11-18 00:00:00,677213.0748
2014-11-17 00:00:00,668533.1116
2014-11-14 00:00:00,669647.4312
2014-11-13 00:00:00,661671.2488
2014-11-12 00:00:00,652463.45
2014-11-11 00:00:00,643372.948
2014-11-10 00:00:00,638270.5372
2014-11-07 00:00:00,639326.2084
2014-11-06 00:00:00,637508.108
2014-11-05 00:00:00,638446.4824
2014-11-04 00:00:00,636921.624
2014-11-03 00:00:00,641613.496
2014-10-31 00:00:00,633402.72
2014-10-30 00:00:00,627420.5832
2014-10-29 00:00:00,629531.9256
2014-10-28 00:00:00,626013.0216
2014-10-27 00:00:00,616453.3324
2014-10-24 00:00:00,617098.4648
2014-10-23 00:00:00,614811.1772
2014-10-22 00:00:00,604019.8716
2014-10-21 00:00:00,600970.1548
2014-10-20 00:00:00,585076.4384
2014-10-17 00:00:00,572818.9228
2014-10-16 00:00:00,564549.4984
2014-10-15 00:00:00,572056.4936
2014-10-14 00:00:00,579152.95
2014-10-13 00:00:00,585369.6804
2014-10-10 00:00:00,590765.3332
2014-10-09 00:00:00,592599.5842
2014-10-08 00:00:00,591309.0288
2014-10-07 00:00:00,579283.3988
2014-10-06 00:00:00,584386.9588
2014-10-03 00:00:00,584386.9588
2014-10-02 00:00:00,586029.4839
2014-10-01 00:00:00,581805.848
2014-09-30 00:00:00,591015.7208
2014-09-29 00:00:00,587261.3777
2014-09-26 00:00:00,603277.6002
2014-09-25 00:00:00,586032.5433
2014-09-24 00:00:00,609265.4672
2014-09-23 00:00:00,614594.6689
2014-09-22 00:00:00,605133.839
2014-09-19 00:00:00,604535.0523
2014-09-18 00:00:00,609504.9819
2014-09-17 00:00:00,608247.5299
2014-09-16 00:00:00,603936.2656
2014-09-15 00:00:00,608546.9232
2014-09-12 00:00:00,608726.5592
2014-09-11 00:00:00,607349.3498
2014-09-10 00:00:00,604774.567
2014-09-09 00:00:00,586751.0873
2014-09-08 00:00:00,588966.5981
2014-09-05 00:00:00,592619.197
2014-09-04 00:00:00,587529.51
2014-09-03 00:00:00,592439.561
2014-09-02 00:00:00,618546.6611
2014-08-29 00:00:00,613756.3675
2014-08-28 00:00:00,612259.4008
2014-08-27 00:00:00,611540.8567
2014-08-26 00:00:00,604109.9138
2014-08-25 00:00:00,608008.0152
2014-08-22 00:00:00,606690.6844
2014-08-21 00:00:00,602259.6629
2014-08-20 00:00:00,602199.7842
2014-08-19 00:00:00,601960.2695
2014-08-18 00:00:00,593756.8917
2014-08-15 00:00:00,586691.2087
2014-08-14 00:00:00,583817.0325
2014-08-13 00:00:00,582260.1871
2014-08-12 00:00:00,574655.596
2014-08-11 00:00:00,574775.3533
2014-08-08 00:00:00,567290.5196
2014-08-07 00:00:00,565733.6742
2014-08-06 00:00:00,568607.8503
2014-08-05 00:00:00,569565.909
2014-08-04 00:00:00,572380.2065
2014-08-01 00:00:00,575613.6547
2014-07-31 00:00:00,572440.0852
2014-07-30 00:00:00,587709.146
2014-07-29 00:00:00,589086.3555
2014-07-28 00:00:00,592918.5903
2014-07-25 00:00:00,584840.9578
2014-07-24 00:00:00,581002.735
2014-07-23 00:00:00,581960.7937
2014-07-22 00:00:00,567170.7622
2014-07-21 00:00:00,562494.2381
2014-07-18 00:00:00,565434.2808
2014-07-17 00:00:00,557409.9402
2014-07-16 00:00:00,567530.0343
2014-07-15 00:00:00,570763.4824
2014-07-14 00:00:00,577529.7722
2014-07-11 00:00:00,570164.6957
