Period,AAPL PE Ratio (TTM)
2015-05-01 00:00:00,15.9438
2015-04-30 00:00:00,15.474
2015-04-29 00:00:00,15.9055
2015-04-28 00:00:00,16.1429
2015-04-27 00:00:00,16.4013
2015-04-24 00:00:00,16.1083
2015-04-23 00:00:00,16.0329
2015-04-22 00:00:00,15.903
2015-04-21 00:00:00,15.6916
2015-04-20 00:00:00,15.7769
2015-04-17 00:00:00,15.4245
2015-04-16 00:00:00,15.6001
2015-04-15 00:00:00,15.6755
2015-04-14 00:00:00,15.6162
2015-04-13 00:00:00,15.6842
2015-04-10 00:00:00,15.7151
2015-04-09 00:00:00,15.6483
2015-04-08 00:00:00,15.5296
2015-04-07 00:00:00,15.5803
2015-04-06 00:00:00,15.746
2015-04-02 00:00:00,15.495
2015-04-01 00:00:00,15.3627
2015-03-31 00:00:00,15.385
2015-03-30 00:00:00,17.0361
2015-03-27 00:00:00,16.6155
2015-03-26 00:00:00,16.749
2015-03-25 00:00:00,16.633
2015-03-24 00:00:00,17.0793
2015-03-23 00:00:00,17.1494
2015-03-20 00:00:00,16.9728
2015-03-19 00:00:00,17.1878
2015-03-18 00:00:00,17.3192
2015-03-17 00:00:00,17.1265
2015-03-16 00:00:00,16.8447
2015-03-13 00:00:00,16.6614
2015-03-12 00:00:00,16.7773
2015-03-11 00:00:00,16.4794
2015-03-10 00:00:00,16.7854
2015-03-09 00:00:00,17.1399
2015-03-06 00:00:00,17.0671
2015-03-05 00:00:00,17.0415
2015-03-04 00:00:00,17.3287
2015-03-03 00:00:00,17.4392
2015-03-02 00:00:00,17.4028
2015-02-27 00:00:00,17.3179
2015-02-26 00:00:00,17.5814
2015-02-25 00:00:00,17.3624
2015-02-24 00:00:00,17.818
2015-02-23 00:00:00,17.9299
2015-02-20 00:00:00,17.4574
2015-02-19 00:00:00,17.3165
2015-02-18 00:00:00,17.3523
2015-02-17 00:00:00,17.233
2015-02-13 00:00:00,17.1318
2015-02-12 00:00:00,17.0483
2015-02-11 00:00:00,16.8353
2015-02-10 00:00:00,16.4497
2015-02-09 00:00:00,16.1396
2015-02-06 00:00:00,16.0331
2015-02-05 00:00:00,16.1693
2015-02-04 00:00:00,16.1181
2015-02-03 00:00:00,15.9954
2015-02-02 00:00:00,15.9927
2015-01-30 00:00:00,15.7945
2015-01-29 00:00:00,16.0291
2015-01-28 00:00:00,15.5451
2015-01-27 00:00:00,14.7133
2015-01-26 00:00:00,15.2472
2015-01-23 00:00:00,15.231
2015-01-22 00:00:00,15.1528
2015-01-21 00:00:00,14.7686
2015-01-20 00:00:00,14.6567
2015-01-16 00:00:00,14.2887
2015-01-15 00:00:00,14.4006
2015-01-14 00:00:00,14.8023
2015-01-13 00:00:00,14.8589
2015-01-12 00:00:00,14.7282
2015-01-09 00:00:00,15.1002
2015-01-08 00:00:00,15.0841
2015-01-07 00:00:00,14.5259
2015-01-06 00:00:00,14.3251
