Date,Open,High,Low,Close,Volume,Adj Close
2015-04-29,43.12,43.24,42.64,42.99,421700,42.99
2015-04-28,43.09,43.35,42.72,43.3,469600,43.3
2015-04-27,43.04,43.69,42.87,43.08,1162900,43.08
2015-04-24,43.16,43.43,43.01,43.04,427000,43.04
2015-04-23,43.04,43.32,42.76,43.1,749500,43.1
2015-04-22,42.64,43.33,42.51,43.29,739200,43.29
2015-04-21,41.78,42.56,41.41,42.52,653300,42.52
2015-04-20,41.16,41.69,41.05,41.52,303200,41.52
2015-04-17,41.64,41.67,40.92,41,461300,41
2015-04-16,41.94,42.18,41.85,41.91,434500,41.91
2015-04-15,41.25,41.95,41.14,41.91,487700,41.91
2015-04-14,40.89,41.23,40.47,41.13,565300,41.13
2015-04-13,41.28,41.7,40.89,40.94,617200,40.94
2015-04-10,41.71,41.71,41.03,41.3,582000,41.3
2015-04-09,42.14,42.24,41.39,41.5,660600,41.5
2015-04-08,42.14,42.2,41.6,42.03,702600,42.03
2015-04-07,41.93,42.38,41.8,42.08,621100,42.08
2015-04-06,41.62,42.17,41.5,42.03,480500,42.03
2015-04-02,41.87,42.47,41.67,41.81,389200,41.81
2015-04-01,42.28,42.55,41.64,41.93,880600,41.93
2015-03-31,42.36,42.7,42.07,42.26,611400,42.26
2015-03-30,41.82,42.51,41.64,42.4,420800,42.4
2015-03-27,41.4,41.72,41.23,41.43,326700,41.43
2015-03-26,41.97,41.97,41.23,41.49,541900,41.49
2015-03-25,43.31,43.53,42.13,42.15,488600,42.15
2015-03-24,42.99,43.36,42.54,43.28,673700,43.28
2015-03-23,42.21,43.14,42.08,43.1,771400,43.1
2015-03-20,41.98,42.62,41.81,42.28,1211000,42.28
2015-03-19,42.09,42.32,41.54,41.67,987700,41.67
2015-03-18,41.7,42.55,41.6,42.19,923800,42.19
2015-03-17,40.94,41.89,40.41,41.65,1951400,41.65
2015-03-16,41.36,41.49,40.84,40.98,1631100,40.98
2015-03-13,40.87,41.02,40.14,40.53,501300,40.53
2015-03-12,41.1,41.2,40.77,40.98,807900,40.98
2015-03-11,40.61,40.83,40.25,40.75,557000,40.75
2015-03-10,40.52,40.9,40.33,40.64,535400,40.64
2015-03-09,41.2,41.32,40.65,40.99,441800,40.99
2015-03-06,41.42,41.78,40.79,41.05,755900,41.05
2015-03-05,41.65,41.84,41.33,41.73,595500,41.73
2015-03-04,42.3,42.3,41.39,41.75,808500,41.65
2015-03-03,42.47,43.1,42.44,42.49,1008800,42.38823
2015-03-02,42.74,43.38,40.78,43.34,1746100,43.23619
2015-02-27,43.86,44.38,43.73,43.95,597600,43.84473
2015-02-26,43.95,44.39,43.87,43.95,511200,43.84473
2015-02-25,44.58,44.82,43.81,43.87,585400,43.76492
2015-02-24,44.62,44.81,44.37,44.57,359100,44.46325
2015-02-23,44.64,44.81,44.06,44.57,326600,44.46325
2015-02-20,43.97,44.88,43.49,44.59,798100,44.4832
2015-02-19,43.99,44.45,43.96,44,318500,43.89461
2015-02-18,44.33,44.52,43.68,43.96,583500,43.85471
2015-02-17,43.67,44.47,43.67,44.27,846400,44.16396
2015-02-13,45.16,45.39,44.82,44.89,598800,44.78248
2015-02-12,45.37,45.41,44.79,45.08,480400,44.97203
2015-02-11,44.87,45.16,44.67,44.99,568600,44.88224
2015-02-10,45.15,45.23,44.7,45.05,547000,44.9421
2015-02-09,44.6,45.08,44.27,44.95,883000,44.84233
2015-02-06,44.9,44.9,44.38,44.7,545100,44.59293
2015-02-05,43.84,44.99,43.76,44.91,691800,44.80243
2015-02-04,43.93,44.23,43.39,43.78,496500,43.67514
2015-02-03,43.12,44.17,42.91,44.15,839200,44.04425
2015-02-02,42.72,42.89,41.61,42.69,590300,42.58775
2015-01-30,42.8,43.21,42.25,42.55,444300,42.44808
2015-01-29,42.94,43.33,41.98,43.27,557300,43.16636
2015-01-28,43.27,43.29,42.43,42.75,923900,42.64761
2015-01-27,41.49,43.29,41.49,43,1220800,42.89701
2015-01-26,41.28,41.99,41.19,41.9,610900,41.79964
2015-01-23,42.34,42.56,41.43,41.52,616900,41.42055
2015-01-22,41.87,42.44,41.34,42.31,557600,42.20866
2015-01-21,40.52,41.7,40.5,41.47,704400,41.37067
2015-01-20,40.6,41,40.12,40.75,790300,40.65239
2015-01-16,40.01,40.76,39.7,40.53,904600,40.43292
2015-01-15,41.51,41.68,39.98,40,943900,39.90419
2015-01-14,41.57,41.75,40.78,41.3,476700,41.20108
2015-01-13,42.31,42.95,41.58,42.05,629000,41.94928
2015-01-12,42.55,42.77,42.01,42.15,483600,42.04904
2015-01-09,42.98,42.98,42.06,42.55,364100,42.44808
2015-01-08,42.7,43.06,42.41,42.87,295600,42.76731
2015-01-07,42.23,42.37,41.65,42.34,440900,42.23859
2015-01-06,42.37,42.79,41.29,42,830700,41.8994
2015-01-05,42.32,42.42,41.79,42.1,939500,41.99916
2015-01-02,43.58,43.69,42.27,42.77,402900,42.66756
2014-12-31,43.61,43.79,43.01,43.18,500900,43.07658
2014-12-30,43.49,43.66,43.12,43.57,375100,43.46564
2014-12-29,43.35,44.01,43.24,43.71,351900,43.6053
2014-12-26,43.5,43.69,43.23,43.33,242000,43.22622
2014-12-24,43.33,43.41,42.99,43.31,184000,43.20626
2014-12-23,42.87,43.37,42.56,43.3,587200,43.19629
2014-12-22,42.55,42.67,42.09,42.62,507200,42.51791
2014-12-19,42.45,42.85,41.9,42.42,1737900,42.31839
2014-12-18,41.5,42.49,41.08,42.49,1098600,42.38823
2014-12-17,39.27,40.98,39.17,40.91,1060000,40.81201
2014-12-16,39.22,39.98,39.13,39.25,1199500,39.15599
2014-12-15,39.24,39.52,38.69,39.4,885800,39.30563
2014-12-12,38.34,39.21,38.34,38.82,861900,38.72702
2014-12-11,38.35,39.09,38.11,38.76,1234500,38.66716
2014-12-10,40.31,40.44,38.21,38.37,747500,38.2781
2014-12-09,39.42,40.63,39.29,40.55,899700,40.45287
2014-12-08,40.92,41.24,39.93,40.06,598100,39.96405
2014-12-05,40.06,41.29,39.97,41.14,1269800,41.04146
2014-12-04,39.99,40.33,39.55,40.09,874000,39.99398
2014-12-03,39.28,40.05,39.08,39.98,764800,39.88424
2014-12-02,38.63,39.68,38.27,39.56,1125900,39.46525
2014-12-01,40.28,40.41,38.42,38.48,1704800,38.38783
2014-11-28,41.1,41.36,40.32,40.41,459400,40.31321
2014-11-26,41.68,41.76,41.02,41.21,538300,41.11129
2014-11-25,42.65,42.93,41.66,41.84,571200,41.64003
2014-11-24,42,42.67,41.41,42.44,880300,42.23716
2014-11-21,42.53,43.59,41.34,41.93,3141900,41.7296
2014-11-20,39.11,39.61,38.72,39.23,944300,39.0425
2014-11-19,39.8,39.96,39.02,39.3,767200,39.11216
2014-11-18,40.05,40.21,39.71,39.8,757700,39.60978
2014-11-17,41.1,41.33,40.04,40.07,628400,39.87848
2014-11-14,41.04,41.31,40.75,41.2,372500,41.00309
2014-11-13,40.89,41.44,40.49,41.13,681200,40.93342
2014-11-12,40.31,40.91,39.61,40.77,1215000,40.57514
2014-11-11,41.6,41.74,40.95,41.45,1446400,41.25189
2014-11-10,40.24,41.62,39.57,41.45,1671500,41.25189
2014-11-07,39.1,39.64,38.75,39.44,854400,39.2515
2014-11-06,39.24,39.5,38.73,39.1,894700,38.91312
2014-11-05,39.2,39.66,38.92,39.27,636500,39.08231
2014-11-04,39.36,39.39,38.39,38.92,605100,38.73398
2014-11-03,40.1,40.6,39.29,39.48,761500,39.29131
2014-10-31,39.4,39.86,38.91,39.66,766200,39.47044
2014-10-30,38.22,39.09,38.22,38.71,555600,38.52498
2014-10-29,38.56,38.61,38.05,38.45,463800,38.26623
2014-10-28,37.95,38.9,37.81,38.51,754700,38.32594
2014-10-27,37.56,37.83,37.1,37.81,376800,37.62929
2014-10-24,37.72,37.8,37.08,37.68,690800,37.49991
2014-10-23,37.96,38.45,37.47,37.6,653000,37.42029
2014-10-22,38.7,38.7,37.48,37.5,416400,37.32077
2014-10-21,37.5,38.75,37.08,38.72,719400,38.53494
2014-10-20,36.38,37.1,36.38,37.07,559100,36.89282
2014-10-17,37.11,37.17,36.36,36.5,863400,36.32555
2014-10-16,35.58,36.79,35.55,36.62,682600,36.44497
2014-10-15,35.77,36.62,35.05,36.18,1159100,36.00708
2014-10-14,36.21,36.96,36,36.49,749600,36.3156
2014-10-13,36.33,36.54,35.51,35.9,1064700,35.72842
2014-10-10,36.88,37.4,36.3,36.32,849600,36.14641
2014-10-09,38.34,38.59,37.14,37.16,1089300,36.98239
2014-10-08,37.22,38.41,37.1,38.35,1255400,38.1667
2014-10-07,37.37,37.78,37.05,37.18,1698300,37.0023
2014-10-06,35.84,36.95,35.84,36.92,2139900,36.74354
2014-10-03,35.8,36.22,35.62,35.63,920700,35.45971
2014-10-02,35.28,35.74,34.74,35.34,499500,35.17109
2014-10-01,35.57,35.57,34.9,35.3,1284500,35.13128
2014-09-30,36.07,36.2,35.57,35.72,978300,35.54928
2014-09-29,35,36.04,35,36,1107100,35.82794
2014-09-26,35.58,35.89,35.35,35.46,494700,35.29052
2014-09-25,36.25,36.42,35.39,35.4,924300,35.23081
2014-09-24,35.88,36.62,35.83,36.45,737400,36.27579
2014-09-23,35.92,36.33,35.67,35.8,1045600,35.62889
2014-09-22,37.39,37.51,36.18,36.2,1194100,36.02698
2014-09-19,38.24,38.39,37.29,37.54,2149100,37.36058
2014-09-18,38.57,38.79,38.03,38.13,620700,37.94776
2014-09-17,38.44,38.68,38.22,38.47,613600,38.28613
2014-09-16,38.5,38.9,38.2,38.44,859400,38.25628
2014-09-15,39.28,39.45,38.41,38.52,924000,38.33589
2014-09-12,39.62,39.83,39.02,39.2,930700,39.01264
2014-09-11,39.14,39.6,39.14,39.59,489300,39.40078
2014-09-10,39.43,39.5,38.96,39.34,546300,39.15197
