Period,BRK.A Market Cap
2015-05-04 00:00:00,358887.644
2015-05-01 00:00:00,352789.84
2015-04-30 00:00:00,348866.32
2015-04-29 00:00:00,350501.12
2015-04-28 00:00:00,351727.22
2015-04-27 00:00:00,347533.958
2015-04-24 00:00:00,350648.252
2015-04-23 00:00:00,351056.952
2015-04-22 00:00:00,351137.0572
2015-04-21 00:00:00,348931.712
2015-04-20 00:00:00,350010.68
2015-04-17 00:00:00,348182.9736
2015-04-16 00:00:00,350419.38
2015-04-15 00:00:00,350950.8535
2015-04-14 00:00:00,350533.816
2015-04-13 00:00:00,353035.06
2015-04-10 00:00:00,351826.9428
2015-04-09 00:00:00,352336.6244
2015-04-08 00:00:00,351200.8144
2015-04-07 00:00:00,352299.4
2015-04-06 00:00:00,353566.37
2015-04-02 00:00:00,353934.2
2015-04-01 00:00:00,353607.24
2015-03-31 00:00:00,355569
2015-03-30 00:00:00,359165.56
2015-03-27 00:00:00,354751.7635
2015-03-26 00:00:00,353509.152
2015-03-25 00:00:00,354751.6
2015-03-24 00:00:00,354759.774
2015-03-23 00:00:00,357442.4808
2015-03-20 00:00:00,356876.84
2015-03-19 00:00:00,356386.4
2015-03-18 00:00:00,359163.9252
2015-03-17 00:00:00,357367.1983
2015-03-16 00:00:00,358841.8696
2015-03-13 00:00:00,354944.5064
2015-03-12 00:00:00,359489.2504
2015-03-11 00:00:00,355569
2015-03-10 00:00:00,355405.52
2015-03-09 00:00:00,360473.2365
2015-03-06 00:00:00,357712.2065
2015-03-05 00:00:00,358838.6
2015-03-04 00:00:00,355752.0976
2015-03-03 00:00:00,358021.2
2015-03-02 00:00:00,360252.702
2015-02-27 00:00:00,361585.064
2015-02-26 00:00:00,363334.3
2015-02-25 00:00:00,364323.354
2015-02-24 00:00:00,365222.494
2015-02-23 00:00:00,361290.8
2015-02-20 00:00:00,364723.88
2015-02-19 00:00:00,362100.026
2015-02-18 00:00:00,364233.44
2015-02-17 00:00:00,365028.51
2015-02-13 00:00:00,363810.6585
2015-02-12 00:00:00,366924.762
2015-02-11 00:00:00,366814.9919
2015-02-10 00:00:00,368036.358
2015-02-09 00:00:00,366172.6038
2015-02-06 00:00:00,367611.336
2015-02-05 00:00:00,367088.232
2015-02-04 00:00:00,361312.6407
2015-02-03 00:00:00,363202.5501
2015-02-02 00:00:00,359797.4537
2015-01-30 00:00:00,352874.5155
2015-01-29 00:00:00,359630.7306
2015-01-28 00:00:00,354991.452
2015-01-27 00:00:00,362104.0317
2015-01-26 00:00:00,366473.5848
2015-01-23 00:00:00,365765.7597
2015-01-22 00:00:00,367668.5505
2015-01-21 00:00:00,361097.0565
2015-01-20 00:00:00,363943.0692
2015-01-16 00:00:00,365543.4405
2015-01-15 00:00:00,362102.397
2015-01-14 00:00:00,362703.9666
2015-01-13 00:00:00,364538.1
2015-01-12 00:00:00,363597.2321
2015-01-09 00:00:00,367276.2225
2015-01-08 00:00:00,370553.796
2015-01-07 00:00:00,365322.756
2015-01-06 00:00:00,360369.615
2015-01-05 00:00:00,361236.006
2015-01-02 00:00:00,365518.92
2014-12-31 00:00:00,369442.2
2014-12-30 00:00:00,373128.4485
2014-12-29 00:00:00,372981.3255
2014-12-26 00:00:00,370259.55
2014-12-24 00:00:00,370284.0705
2014-12-23 00:00:00,372106.761
2014-12-22 00:00:00,372253.884
2014-12-19 00:00:00,372525.2442
2014-12-18 00:00:00,374836.71
2014-12-17 00:00:00,364211.16
2014-12-16 00:00:00,357116.562
2014-12-15 00:00:00,358118.6331
2014-12-12 00:00:00,357999.3
2014-12-11 00:00:00,367480.56
2014-12-10 00:00:00,365600.655
2014-12-09 00:00:00,368353.4898
2014-12-08 00:00:00,372384.66
2014-12-05 00:00:00,368853.708
2014-12-04 00:00:00,368158.4701
2014-12-03 00:00:00,366965.6295
2014-12-02 00:00:00,367807.5
2014-12-01 00:00:00,363761.6175
2014-11-28 00:00:00,364644.3555
2014-11-26 00:00:00,363575.2617
2014-11-25 00:00:00,362453.8575
2014-11-24 00:00:00,361355.0612
2014-11-21 00:00:00,359527.7445
2014-11-20 00:00:00,356773.275
2014-11-19 00:00:00,357255.348
2014-11-18 00:00:00,357783.5196
2014-11-17 00:00:00,357247.338
2014-11-14 00:00:00,356402.1981
2014-11-13 00:00:00,358489.71
2014-11-12 00:00:00,356529.7047
2014-11-11 00:00:00,355306.475
2014-11-10 00:00:00,355547.25
2014-11-07 00:00:00,351411.459
2014-11-06 00:00:00,351133.56
2014-11-05 00:00:00,350079.1785
2014-11-04 00:00:00,348191.1
2014-11-03 00:00:00,345085.17
2014-10-31 00:00:00,343287
2014-10-30 00:00:00,341702.3382
2014-10-29 00:00:00,342633.4469
2014-10-28 00:00:00,344218.779
2014-10-27 00:00:00,342015.2034
2014-10-24 00:00:00,342062.6097
2014-10-23 00:00:00,340195.7823
2014-10-22 00:00:00,337606.4175
2014-10-21 00:00:00,340557.051
2014-10-20 00:00:00,336502.995
2014-10-17 00:00:00,335939.0235
2014-10-16 00:00:00,330209.5635
2014-10-15 00:00:00,333151.86
2014-10-14 00:00:00,336789.0675
2014-10-13 00:00:00,334971.4609
2014-10-10 00:00:00,335358.705
2014-10-09 00:00:00,336502.995
2014-10-08 00:00:00,343205.265
2014-10-07 00:00:00,335170.7145
2014-10-06 00:00:00,340973.8995
2014-10-03 00:00:00,341243.625
2014-10-02 00:00:00,337156.875
2014-10-01 00:00:00,334876.4685
2014-09-30 00:00:00,338219.43
2014-09-29 00:00:00,338824.7103
2014-09-26 00:00:00,340151.7619
2014-09-25 00:00:00,336665.8
2014-09-24 00:00:00,342957.855
2014-09-23 00:00:00,340661.6635
2014-09-22 00:00:00,341405.27
2014-09-19 00:00:00,346471.6
2014-09-18 00:00:00,346594.2542
2014-09-17 00:00:00,341568.8634
2014-09-16 00:00:00,339517.6535
2014-09-15 00:00:00,338479.873
2014-09-12 00:00:00,336069.2805
2014-09-11 00:00:00,338054.955
2014-09-10 00:00:00,337891.525
2014-09-09 00:00:00,335529.9615
2014-09-08 00:00:00,338626.96
2014-09-05 00:00:00,337809.81
2014-09-04 00:00:00,338005.926
2014-09-03 00:00:00,337381.6234
2014-09-02 00:00:00,337875.182
2014-08-29 00:00:00,336469.684
2014-08-28 00:00:00,333462.572
2014-08-27 00:00:00,334608.2163
2014-08-26 00:00:00,334340.1911
2014-08-25 00:00:00,334343.4597
2014-08-22 00:00:00,332632.3476
2014-08-21 00:00:00,335291.3537
2014-08-20 00:00:00,330762.7084
2014-08-19 00:00:00,331109.18
2014-08-18 00:00:00,330813.3717
2014-08-15 00:00:00,328865.2861
2014-08-14 00:00:00,331517.755
2014-08-13 00:00:00,326220.9887
2014-08-12 00:00:00,326144.1766
2014-08-11 00:00:00,323591.4
2014-08-08 00:00:00,320736.2779
2014-08-07 00:00:00,317055.8343
2014-08-06 00:00:00,316563.91
2014-08-05 00:00:00,314601.1157
2014-08-04 00:00:00,317552.6615
2014-08-01 00:00:00,309338.6697
2014-07-31 00:00:00,307451.0532
2014-07-30 00:00:00,313321.4588
2014-07-29 00:00:00,312409.5194
2014-07-28 00:00:00,314733.494
2014-07-25 00:00:00,312518.9194
2014-07-24 00:00:00,314525.5704
2014-07-23 00:00:00,314139.852
2014-07-22 00:00:00,314850.816
2014-07-21 00:00:00,315488.232
2014-07-18 00:00:00,314600.7528
2014-07-17 00:00:00,310227.0984
2014-07-16 00:00:00,313922.4768
2014-07-15 00:00:00,315073.0944
2014-07-14 00:00:00,316060.272
2014-07-11 00:00:00,315275.76
2014-07-10 00:00:00,314622
2014-07-09 00:00:00,315504.576
2014-07-08 00:00:00,314458.56
2014-07-07 00:00:00,315439.2
2014-07-03 00:00:00,316419.84
2014-07-02 00:00:00,312985.9656
2014-07-01 00:00:00,311353.2
2014-06-30 00:00:00,310373.3772
2014-06-27 00:00:00,311849.8035
2014-06-26 00:00:00,311877.624
2014-06-25 00:00:00,312015.1718
2014-06-24 00:00:00,311214.8415
2014-06-23 00:00:00,310771.35
2014-06-20 00:00:00,311753.25
2014-06-19 00:00:00,311738.5215
2014-06-18 00:00:00,312039.6375
2014-06-17 00:00:00,309282.135
2014-06-16 00:00:00,309707.625
2014-06-13 00:00:00,310149.48
2014-06-12 00:00:00,312489.675
2014-06-11 00:00:00,314792.2305
2014-06-10 00:00:00,314709.8982
2014-06-09 00:00:00,314072.1705
2014-06-06 00:00:00,315672.6675
2014-06-05 00:00:00,314371.65
2014-06-04 00:00:00,312188.559
2014-06-03 00:00:00,311617.4205
2014-06-02 00:00:00,313795.602
2014-05-30 00:00:00,314208
2014-05-29 00:00:00,314698.95
2014-05-28 00:00:00,313154.094
2014-05-27 00:00:00,313062.45
2014-05-23 00:00:00,311270.4825
2014-05-22 00:00:00,311810.5275
2014-05-21 00:00:00,310894.0875
2014-05-20 00:00:00,309627.4365
2014-05-19 00:00:00,311589.6
2014-05-16 00:00:00,311278.665
2014-05-15 00:00:00,309905.6415
2014-05-14 00:00:00,313258.83
2014-05-13 00:00:00,313923.249
2014-05-12 00:00:00,312759.6975
2014-05-09 00:00:00,312380.0459
2014-05-08 00:00:00,311098.65
2014-05-07 00:00:00,313471.575
2014-05-06 00:00:00,306639.1875
2014-05-05 00:00:00,310591.335
2014-05-02 00:00:00,314625.3075
2014-05-01 00:00:00,316634.9295
2014-04-30 00:00:00,316294.5375
2014-04-29 00:00:00,315099.8925
2014-04-28 00:00:00,313226.1
2014-04-25 00:00:00,312057.639
2014-04-24 00:00:00,311753.25
2014-04-23 00:00:00,312225.12
2014-04-22 00:00:00,312094.208
2014-04-21 00:00:00,310068.3448
2014-04-17 00:00:00,311961.6596
2014-04-16 00:00:00,309115.96
2014-04-15 00:00:00,303781.296
2014-04-14 00:00:00,299808.1168
2014-04-11 00:00:00,299067.6458
2014-04-10 00:00:00,300119.0328
2014-04-09 00:00:00,304201.8508
2014-04-08 00:00:00,302144.896
2014-04-07 00:00:00,302243.08
2014-04-04 00:00:00,303966.2092
2014-04-03 00:00:00,304840.0468
2014-04-02 00:00:00,305612.4276
2014-04-01 00:00:00,306355.3532
2014-03-31 00:00:00,306579.6218
2014-03-28 00:00:00,302922.2789
2014-03-27 00:00:00,303005.72
2014-03-26 00:00:00,301925.894
2014-03-25 00:00:00,305274.9907
2014-03-24 00:00:00,305165.372
2014-03-21 00:00:00,307341.385
2014-03-20 00:00:00,305198.094
2014-03-19 00:00:00,300813.346
2014-03-18 00:00:00,302449.446
2014-03-17 00:00:00,302760.305
2014-03-14 00:00:00,300813.346
2014-03-13 00:00:00,303905.575
2014-03-12 00:00:00,307177.775
2014-03-11 00:00:00,306115.9461
2014-03-10 00:00:00,304969.04
2014-03-07 00:00:00,300669.3692
2014-03-06 00:00:00,298056.5175
2014-03-05 00:00:00,292297.4455
2014-03-04 00:00:00,291207.9338
2014-03-03 00:00:00,285499.45
2014-02-28 00:00:00,284203.6588
2014-02-27 00:00:00,280967.453
2014-02-26 00:00:00,278910.8753
2014-02-25 00:00:00,279316.6281
2014-02-24 00:00:00,278146.8166
2014-02-21 00:00:00,278333.332
2014-02-20 00:00:00,277881.7684
2014-02-19 00:00:00,278267.888
2014-02-18 00:00:00,281886.9412
2014-02-14 00:00:00,282104.5425
2014-02-13 00:00:00,281772.4142
2014-02-12 00:00:00,278366.054
2014-02-11 00:00:00,278979.5915
2014-02-10 00:00:00,276697.232
2014-02-07 00:00:00,276517.261
2014-02-06 00:00:00,271592.6
2014-02-05 00:00:00,268443.2711
2014-02-04 00:00:00,269657.0937
2014-02-03 00:00:00,270390.0665
2014-01-31 00:00:00,277338.4196
2014-01-30 00:00:00,278873.245
2014-01-29 00:00:00,276088.6028
2014-01-28 00:00:00,276847.7532
2014-01-27 00:00:00,275209.8535
2014-01-24 00:00:00,275682.85
2014-01-23 00:00:00,278644.191
2014-01-22 00:00:00,282873.5095
2014-01-21 00:00:00,282227.25
2014-01-17 00:00:00,281981.835
2014-01-16 00:00:00,282673.9053
2014-01-15 00:00:00,284133.3065
2014-01-14 00:00:00,281818.225
2014-01-13 00:00:00,279598.5772
2014-01-10 00:00:00,282292.694
2014-01-09 00:00:00,282988.0365
2014-01-08 00:00:00,283509.9524
2014-01-07 00:00:00,285000.4395
2014-01-06 00:00:00,285499.45
2014-01-03 00:00:00,288503.3296
2014-01-02 00:00:00,288477.152
2013-12-31 00:00:00,291062.19
2013-12-30 00:00:00,289702.9181
2013-12-27 00:00:00,289851.476
2013-12-26 00:00:00,289426.09
2013-12-24 00:00:00,287969.961
2013-12-23 00:00:00,287786.7178
2013-12-20 00:00:00,287299.16
2013-12-19 00:00:00,285743.2289
2013-12-18 00:00:00,285090.425
2013-12-17 00:00:00,278824.162
2013-12-16 00:00:00,280000.5179
2013-12-13 00:00:00,279936.71
2013-12-12 00:00:00,280591.15
2013-12-11 00:00:00,280803.843
2013-12-10 00:00:00,283814.267
2013-12-09 00:00:00,287520.0335
2013-12-06 00:00:00,286219.334
2013-12-05 00:00:00,283045.3
2013-12-04 00:00:00,283863.35
2013-12-03 00:00:00,281623.5291
2013-12-02 00:00:00,282947.134
2013-11-29 00:00:00,285908.475
2013-11-27 00:00:00,285703.9625
2013-11-26 00:00:00,286055.724
2013-11-25 00:00:00,283554.1271
2013-11-22 00:00:00,286072.085
2013-11-21 00:00:00,285697.4181
2013-11-20 00:00:00,282194.528
2013-11-19 00:00:00,284289.0632
2013-11-18 00:00:00,284370.541
2013-11-15 00:00:00,285172.23
2013-11-14 00:00:00,283568.852
2013-11-13 00:00:00,281654.615
2013-11-12 00:00:00,280118.3171
2013-11-11 00:00:00,283838.8085
2013-11-08 00:00:00,283374.1561
2013-11-07 00:00:00,279920.349
2013-11-06 00:00:00,281769.142
2013-11-05 00:00:00,281006.7194
2013-11-04 00:00:00,281554.8129
2013-11-01 00:00:00,283245.7222
2013-10-31 00:00:00,283036.7923
2013-10-30 00:00:00,285237.674
2013-10-29 00:00:00,287938.8751
2013-10-28 00:00:00,286971.94
2013-10-25 00:00:00,287029.2035
2013-10-24 00:00:00,286351.8581
2013-10-23 00:00:00,285645.6
2013-10-22 00:00:00,288165.04
2013-10-21 00:00:00,286496.32
