Date,Open,High,Low,Close,Volume,Adj Close
2015-04-29,89.86,90.36,88.24,88.9,2592500,88.9
2015-04-28,89.28,90.57,88.52,90.48,2224800,90.48
2015-04-27,91.72,91.91,89.44,89.53,1862800,89.53
2015-04-24,91.41,91.78,90.9,91.38,1302000,91.38
2015-04-23,91.09,91.89,90.68,91.5,1476100,91.5
2015-04-22,90.46,91.62,90.31,91.5,1787900,91.5
2015-04-21,90.4,90.9,90.17,90.35,1000900,90.35
2015-04-20,89.93,90.83,89.61,90.14,1425900,90.14
2015-04-17,89.16,89.73,88.59,89.55,1459200,89.55
2015-04-16,90.15,90.16,89.43,89.66,1146200,89.66
2015-04-15,90.56,91.12,90.09,90.15,1502900,90.15
2015-04-14,90.29,90.52,89,90.3,1368800,90.3
2015-04-13,90.48,91.24,89.38,89.62,1822900,89.62
2015-04-10,89.76,90.6,89.51,90.52,1908500,90.52
2015-04-09,89.9,90.61,89.48,89.89,1490800,89.89
2015-04-08,90.09,90.43,89.54,90.19,1623100,90.19
2015-04-07,89.9,90.52,89.89,89.94,1180300,89.94
2015-04-06,88.97,90.47,88.74,89.93,1400900,89.93
2015-04-02,89.25,89.83,88.43,89.6,1256300,89.6
2015-04-01,90.21,90.24,88.16,88.85,2131000,88.85
2015-03-31,90.57,91.42,90.16,90.27,2290100,90.27
2015-03-30,89.96,91.02,89.81,90.8,1416600,90.8
2015-03-27,89.2,90.21,89.07,90.09,1672700,89.74699
2015-03-26,88.75,90.07,88.11,89.14,1611600,88.80061
2015-03-25,89.73,90.64,88.86,89.01,2177900,88.67111
2015-03-24,90.42,90.68,89.38,89.45,1705800,89.10944
2015-03-23,91.42,91.59,90.29,90.32,1904500,89.97612
2015-03-20,90.32,91.45,90.2,91.25,2488200,90.90258
2015-03-19,90.4,90.4,89.27,89.92,1627400,89.57764
2015-03-18,89.33,90.63,88.6,90.38,1896900,90.0359
2015-03-17,89.46,89.72,88.94,89.55,1342700,89.20906
2015-03-16,88.73,90,88.64,89.98,1368100,89.63742
2015-03-13,88.22,88.57,87.33,88.12,1172400,87.7845
2015-03-12,87.74,88.71,87.74,88.48,1197800,88.14314
2015-03-11,87.18,87.63,86.5,87.27,1172100,86.93774
2015-03-10,87.03,87.33,85.94,86.94,1784500,86.60899
2015-03-09,87.26,88.15,87.03,87.98,1244100,87.64503
2015-03-06,88.72,88.72,86.75,87.01,1501400,86.67873
2015-03-05,89.21,89.63,88.6,88.95,1504200,88.61134
