Date,Open,High,Low,Close,Volume,Adj Close
2015-04-29,66.31,78.46,65.89,74.65,27890500,74.65
2015-04-28,67.97,68.34,66.57,66.89,2827700,66.89
2015-04-27,68.46,68.94,67.7,67.84,2640900,67.84
2015-04-24,68.6,68.71,67.38,67.83,1910900,67.83
2015-04-23,67.36,69.08,67.26,68.47,3514600,68.47
2015-04-22,67.38,68.12,67.02,67.71,2038700,67.71
2015-04-21,67.39,67.94,67.11,67.38,2223700,67.38
2015-04-20,66.19,67.05,66.19,66.9,1945200,66.9
2015-04-17,67.16,67.16,65.44,65.81,3784100,65.81
2015-04-16,66.67,68.21,66.65,67.91,2255300,67.91
2015-04-15,67.27,67.51,66.98,67.21,2144100,67.21
2015-04-14,67.12,67.41,66.3,66.91,1938000,66.91
2015-04-13,67.76,68.32,67,67.08,2131000,67.08
2015-04-10,67.6,67.99,66.94,67.64,1953000,67.64
2015-04-09,68.32,68.35,66.82,67.74,2577500,67.74
2015-04-08,68.26,68.92,67.81,68.21,2566700,68.21
2015-04-07,68.24,69.75,67.99,68.2,3817100,68.2
2015-04-06,66.24,68.06,66,67.94,6375400,67.94
2015-04-02,66.25,66.9,65.75,66.68,2021600,66.68
2015-04-01,66.51,66.55,65.42,66.08,3713000,66.08
2015-03-31,66.51,67.96,66.46,66.81,4031700,66.81
2015-03-30,67.4,67.56,66.24,66.85,2741200,66.85
2015-03-27,65.78,66.68,65.56,66.55,2106400,66.55
2015-03-26,65.72,66.46,64.81,65.99,2971600,65.99
2015-03-25,67.3,67.34,65.53,65.78,4030100,65.78
2015-03-24,67.68,67.83,67.26,67.37,3216100,67.37
2015-03-23,67.7,68.26,67.38,67.66,3659000,67.66
2015-03-20,69.19,69.89,67.29,67.69,8649500,67.69
2015-03-19,68.3,68.95,68.1,68.88,3883100,68.88
2015-03-18,67.04,68.94,66.75,68.55,5576600,68.55
2015-03-17,65.96,67.56,65.88,67.55,5594700,67.55
2015-03-16,64.95,66.47,64.91,66.43,4538900,66.43
2015-03-13,64.81,65.42,63.9,64.6,3248000,64.6
2015-03-12,63.66,65.35,63.66,64.95,3809500,64.95
2015-03-11,64,64.5,63.65,63.68,3374100,63.68
2015-03-10,64.78,64.96,63.76,63.76,3941700,63.76
2015-03-09,64.75,65.67,64.32,65.48,4567800,65.48
2015-03-06,65.18,65.94,64.28,64.56,3861800,64.56
2015-03-05,65.12,66.06,64.76,65.59,3925200,65.59
2015-03-04,66.38,66.4,64.72,64.88,9121300,64.88
2015-03-03,68.06,68.38,66.71,66.95,4945600,66.95
2015-03-02,67.38,68.8,66.67,68.46,8124800,68.46
2015-02-27,69.85,70.41,69.01,69.38,8289500,69.38
2015-02-26,70.02,71,69,70.24,20370800,70.24
2015-02-25,61.93,63.05,61.89,62.87,7634000,62.87
2015-02-24,62.58,62.59,61.55,61.93,5481700,61.93
2015-02-23,63.14,63.44,62.37,62.58,4671400,62.58
2015-02-20,62.78,63.75,62.51,63.74,3473800,63.74
2015-02-19,62.59,63.03,62.01,62.81,2320900,62.81
2015-02-18,62.4,63,62.29,63,2534300,63
2015-02-17,62.58,62.61,61.83,62.07,3447200,62.07
2015-02-13,61.25,63.22,61.1,62.85,5107000,62.85
2015-02-12,59.29,61.34,59.22,61.26,5284800,61.26
2015-02-11,58.82,59.1,58.61,58.8,3413700,58.8
2015-02-10,58.5,59.17,58.22,58.79,3093700,58.79
2015-02-09,58.85,58.98,57.82,57.98,2879000,57.98
2015-02-06,59.26,59.7,58.65,59.17,2694000,59.17
2015-02-05,58.95,59.48,58.76,59.26,2513000,59.26
2015-02-04,58.44,59.47,58.21,58.99,3013100,58.99
2015-02-03,57.66,58.66,57.23,58.61,3474200,58.61
2015-02-02,56.88,57.33,55.45,57.28,3495200,57.28
2015-01-30,57.5,58.14,56.37,56.45,3817400,56.45
2015-01-29,56.8,58.26,55.85,58.1,4424500,58.1
2015-01-28,58.43,58.5,56.35,56.35,4683400,56.35
2015-01-27,58.9,58.9,57.24,57.79,4150700,57.79
2015-01-26,58.53,59.98,58.4,59.78,4753200,59.78
2015-01-23,58,59.05,57.78,58.62,3887300,58.62
2015-01-22,57.91,58.46,57.17,58,5481500,58
2015-01-21,56.99,58.55,56.84,57.71,3544900,57.71
2015-01-20,56.7,57.56,55.81,57.29,6521500,57.29
2015-01-16,54.96,56.72,54.95,56.64,3236700,56.64
2015-01-15,57.15,57.54,55.03,55.11,4811500,55.11
2015-01-14,57.41,57.78,56.38,57.25,3098400,57.25
2015-01-13,58.39,59.54,57.3,57.97,3503900,57.97
2015-01-12,58.45,58.6,57.52,57.73,2716900,57.73
2015-01-09,59.16,59.5,57.77,58.16,6869500,58.16
2015-01-08,57.33,58.78,57.17,58.59,3756600,58.59
2015-01-07,57.79,57.95,56.6,56.93,4284300,56.93
2015-01-06,58.18,58.55,56.55,57.2,3174900,57.2
2015-01-05,58.6,59.24,57.84,58.17,3688200,58.17
2015-01-02,59.9,60.43,58.51,59.24,2796400,59.24
2014-12-31,59.39,60.23,59.22,59.31,3232000,59.31
2014-12-30,60.26,60.82,59.01,59.43,2777100,59.43
2014-12-29,60.41,60.93,60.02,60.35,2632500,60.35
2014-12-26,60.46,61.1,59.92,60.8,3454700,60.8
2014-12-24,60.53,60.88,60.09,60.33,2309500,60.33
2014-12-23,60,60.86,59.88,60.5,3404100,60.5
2014-12-22,59.93,60.49,59.45,59.86,5297700,59.86
2014-12-19,59.61,60.48,59.31,59.86,9550200,59.86
2014-12-18,58.49,59.58,58.31,59.33,11006500,59.33
2014-12-17,54.19,57.25,54.09,57,9257500,57
2014-12-16,54.36,55.67,53.75,53.79,5924300,53.79
2014-12-15,55.42,56.16,55.11,55.41,4892200,55.41
2014-12-12,55.31,55.71,54.91,55.07,4477700,55.07
2014-12-11,55.5,56.34,55.16,55.48,4179300,55.48
2014-12-10,56.11,56.75,55.06,55.32,5642900,55.32
2014-12-09,55.04,56.2,53.44,56.14,6117600,56.14
2014-12-08,58.54,58.73,56.15,56.41,5057200,56.41
2014-12-05,58.98,59.14,58.56,58.85,2732000,58.85
2014-12-04,58.66,59.12,58.54,58.95,3087400,58.95
2014-12-03,59.42,59.58,58.54,58.88,3056600,58.88
2014-12-02,59.48,59.73,58.58,59.25,4931200,59.25
2014-12-01,59.09,59.81,58.96,59.08,4355400,59.08
2014-11-28,57.93,60.29,57.75,59.87,4469000,59.87
2014-11-26,59.28,59.42,58.91,59.23,3257300,59.23
2014-11-25,57.97,59.38,57.94,59.34,5876100,59.34
2014-11-24,57.29,58.24,56.8,58.09,9220200,58.09
2014-11-21,58.89,59.58,57.66,58.19,10342700,58.19
2014-11-20,59.43,59.68,57.81,58.3,15530100,58.3
2014-11-19,62.18,62.21,60.45,61.02,7256300,61.02
2014-11-18,62.51,63.32,62.16,62.47,4129800,62.47
2014-11-17,63.73,64.1,62.45,62.51,3333700,62.51
2014-11-14,63.19,63.93,62.38,63.91,3150500,63.91
