Date,Open,High,Low,Close,Volume,Adj Close
2015-04-29,110.82,111.99,110.68,111.73,5644900,111.73
2015-04-28,110.05,111.24,109.65,111.12,5260100,111.12
2015-04-27,110.34,110.74,109.54,109.7,4846700,109.7
2015-04-24,109.67,110.04,109.03,109.87,4895500,109.87
2015-04-23,110,110.65,109.6,109.97,6901700,109.97
2015-04-22,110.05,110.44,109.21,109.5,5627800,109.5
2015-04-21,110.05,110.74,109.31,109.73,5629300,109.73
2015-04-20,109.57,111.71,109.55,110.29,7060400,110.29
2015-04-17,109.36,109.69,108.26,109.11,6510000,109.11
2015-04-16,109.9,110.94,109,110.16,5888300,110.16
2015-04-15,109.59,110.69,109.38,110.41,6680900,110.41
2015-04-14,107.7,109.09,107.26,108.84,7262700,108.84
2015-04-13,107.35,107.9,106.44,106.5,4307200,106.5
2015-04-10,107.47,107.66,106.81,106.91,5012200,106.91
2015-04-09,106.8,107.24,106.18,106.95,5760500,106.95
2015-04-08,108.86,108.92,106.52,106.66,7894800,106.66
2015-04-07,106.97,109.09,106.62,108.54,8536000,108.54
2015-04-06,106.03,107.86,105.22,106.92,6724000,106.92
2015-04-02,104.45,105.68,104.08,105.28,5123900,105.28
2015-04-01,105.77,106.22,104.5,104.79,7347200,104.79
2015-03-31,105.62,106.07,104.88,104.98,7254100,104.98
2015-03-30,104.97,107.21,104.97,106.9,7172400,106.9
2015-03-27,104.99,104.99,103.67,104.28,5830300,104.28
2015-03-26,106.28,106.52,104.16,105.25,7276900,105.25
2015-03-25,104.66,106.2,104.33,105.67,9169400,105.67
2015-03-24,105.92,106.19,104.16,104.2,6677800,104.2
2015-03-23,107.51,107.69,105.92,105.92,6807700,105.92
2015-03-20,105.29,107.26,105.11,107.03,14064900,107.03
2015-03-19,105.1,105.4,104.65,104.75,7841900,104.75
2015-03-18,102.61,106.88,102.37,106.7,11059700,106.7
2015-03-17,102.3,103.55,102.1,103.17,7097500,103.17
2015-03-16,101.44,103.27,101,103.13,6780200,103.13
2015-03-13,101.84,101.84,100.66,101.62,8345200,101.62
2015-03-12,104.22,104.51,102.3,102.42,5900600,102.42
2015-03-11,103.52,103.89,102.45,103.54,8440700,103.54
2015-03-10,103.79,104.55,102.33,102.91,10679000,102.91
2015-03-09,103.6,105.63,103.5,103.95,7506200,103.95
2015-03-06,104.22,104.52,103.17,103.55,7213300,103.55
2015-03-05,105.01,105.31,104.33,104.73,5156900,104.73
2015-03-04,105.64,105.64,104.44,105.16,5784900,105.16
2015-03-03,105.88,106.22,104.81,105.16,6901200,105.16
2015-03-02,106.32,106.34,104.93,105.9,7343700,105.9
2015-02-27,107.52,107.73,106.57,106.68,6396500,106.68
2015-02-26,107.89,107.92,106.6,107.06,5903100,107.06
2015-02-25,108.12,108.78,107.76,108.58,4806500,108.58
2015-02-24,107.89,108.24,107.34,107.96,5708400,107.96
2015-02-23,107.79,108.5,107.35,107.86,6724000,107.86
2015-02-20,108.43,108.87,107.5,108.6,7610600,108.6
2015-02-19,108.2,109.58,107.24,108.35,9721100,108.35
2015-02-18,111.25,111.65,110.37,110.44,6920300,110.44
2015-02-17,112.31,112.93,111.52,112.4,7097300,112.4
2015-02-13,111.35,112.84,111.1,112.78,7494400,112.78
2015-02-12,110.28,111.05,109.82,110.86,6618000,110.86
2015-02-11,108.98,110.18,108.29,109.98,8662000,108.91
2015-02-10,110.52,110.62,108.09,110.18,7033700,109.10806
2015-02-09,109.84,111.5,109.65,110.43,6403000,109.35562
2015-02-06,109.66,110.46,109.11,109.61,7579100,108.5436
2015-02-05,109.57,110.11,108.57,109.31,7533300,108.24652
2015-02-04,108.49,109.28,107.39,108.35,10176000,107.29586
2015-02-03,107.7,110.11,107.67,109.53,14266700,108.46438
2015-02-02,103.98,106.13,102.97,106.06,11537600,105.02814
2015-01-30,101.6,103.28,98.88,102.53,20584700,101.53248
2015-01-29,104.24,104.63,101.66,103,13994400,101.99791
2015-01-28,108.16,108.17,103.42,103.71,10526500,102.701
2015-01-27,108.11,108.81,107.63,108.26,6388700,107.20674
2015-01-26,107.22,109.35,106.32,108.88,7670500,107.8207
2015-01-23,108.22,108.75,106.73,106.85,7984400,105.81046
2015-01-22,108.76,109.12,106.99,108.92,7471100,107.86031
2015-01-21,106.79,108.27,106.35,108.16,8271000,107.10771
2015-01-20,104.56,106.58,103.81,106.47,10406800,105.43415
2015-01-16,102.47,105.14,102.47,105.12,12604600,104.09729
2015-01-15,103.9,104.94,102.53,102.67,9664600,101.67112
