Date,Open,High,Low,Close,Volume,Adj Close
2015-04-29,109.66,110.38,109.26,109.81,6016200,109.81
2015-04-28,110.75,111.15,108.89,109.92,7286000,109.92
2015-04-27,111.5,111.66,110.07,110.16,8461900,110.16
2015-04-24,109.53,110.48,109.19,109.53,6191400,109.53
2015-04-23,107.96,109.9,107.61,109,5975300,109
2015-04-22,108.02,108.25,106.97,107.94,4059000,107.94
2015-04-21,108.93,108.99,107.58,107.68,4579400,107.68
2015-04-20,107.83,108.5,107.32,108.22,8094200,108.22
2015-04-17,107.8,107.8,106.04,106.69,7919300,106.69
2015-04-16,107.15,108.3,106.9,108.1,6348300,108.1
2015-04-15,106.92,107.43,106.86,106.98,4307300,106.98
2015-04-14,106.41,107.3,106.11,106.66,5389300,106.66
2015-04-13,107.07,107.9,106.47,106.51,4201500,106.51
2015-04-10,106.73,107.1,106.41,106.95,3251500,106.95
2015-04-09,106.51,107,105.88,106.77,3924400,106.77
2015-04-08,105.23,106.69,105.16,106.36,4277400,106.36
2015-04-07,105.8,106.41,105.4,105.43,4694600,105.43
2015-04-06,105.31,106.57,105.04,105.63,4153500,105.63
2015-04-02,105.49,106.24,104.86,106,3651600,106
2015-04-01,105.43,106,104.25,105.44,6117200,105.44
2015-03-31,105.6,106.32,104.89,104.89,5701600,104.89
2015-03-30,106.06,106.95,106.05,106.12,3831900,106.12
2015-03-27,105.2,106.45,104.88,105.48,5330400,105.48
2015-03-26,104.47,105.82,104.1,105.24,5915800,105.24
2015-03-25,107.45,107.46,105,105,6964700,105
2015-03-24,107.72,108.05,107.08,107.11,4493500,107.11
2015-03-23,108.6,108.85,108.04,108.22,5667000,108.22
2015-03-20,107.83,108.94,107.5,108.43,8710100,108.43
2015-03-19,107.84,108.48,107.14,107.37,4885600,107.37
2015-03-18,106.9,108.42,105.73,107.97,5520600,107.97
2015-03-17,107,107.21,106.15,106.96,4489400,106.96
2015-03-16,106.84,107.73,106.05,107.37,6407300,107.37
2015-03-13,107.28,107.28,105.52,106.44,8024200,106.44
2015-03-12,103.85,107.33,103.81,107.17,10730400,107.17
2015-03-11,103.51,104,102.87,102.89,4831900,102.89
2015-03-10,104.27,104.35,103.09,103.09,6472600,103.09
