Date,Open,High,Low,Close,Volume,Adj Close
2015-04-29,68.09,68.8,68.08,68.54,1004800,68.54
2015-04-28,68.9,69.25,67.58,68.43,2293700,68.43
2015-04-27,70.22,70.47,69.21,69.68,1905300,69.68
2015-04-24,69.96,70.74,69.34,69.91,1549100,69.91
2015-04-23,69.75,70.26,69.4,69.61,1239600,69.61
2015-04-22,70.17,70.49,69.6,69.85,472300,69.85
2015-04-21,69.43,70.26,69.3,69.78,772900,69.78
2015-04-20,69.5,69.88,69.01,69.22,1513600,69.22
2015-04-17,69.14,69.55,68.6,69.26,1455600,69.26
2015-04-16,69.86,70.31,69.53,69.82,988500,69.82
2015-04-15,70.14,70.37,69.08,69.85,1581700,69.85
2015-04-14,69.63,70.69,69.59,69.8,1826200,69.8
2015-04-13,71.97,72.05,70.32,70.45,1558600,70.45
2015-04-10,71.88,72.2,71.77,71.83,500200,71.83
2015-04-09,71.06,71.74,70.91,71.61,885400,71.61
2015-04-08,70.52,71.27,70.07,71.18,1021600,71.18
2015-04-07,71.26,71.67,70.57,70.6,527700,70.6
2015-04-06,70.25,71.77,70.12,71.15,883700,71.15
2015-04-02,69.8,71.28,69.38,70.96,840900,70.96
2015-04-01,70.11,70.51,69.57,69.73,1147900,69.73
2015-03-31,69.67,71.29,69.53,70.06,1622500,70.06
2015-03-30,71.04,71.66,70.7,70.78,987900,70.78
2015-03-27,70.02,71.12,70,70.63,1197200,70.63
2015-03-26,70.47,70.93,69.94,70.33,718000,70.33
2015-03-25,72.54,72.59,70.75,70.76,1163300,70.76
2015-03-24,73.14,73.38,71.93,72.2,997300,72.2
2015-03-23,73.62,73.99,72.95,73.13,718200,73.13
2015-03-20,74.99,74.99,73,73.41,2129700,73.41
2015-03-19,74.66,75,74.09,74.38,620300,74.38
2015-03-18,73.26,75.23,72.35,74.8,908400,74.8
2015-03-17,72.38,73.59,72.12,73.36,897500,73.36
2015-03-16,74.31,74.32,73.08,73.54,956400,73.54
2015-03-13,74.34,74.72,73.58,73.82,956400,73.82
2015-03-12,73.57,74.78,73.43,74.73,868900,74.73
2015-03-11,73.26,73.88,73.01,73.23,987500,73.23
2015-03-10,75.79,75.8,73.34,73.36,1366400,73.36
2015-03-09,75.77,76.49,75.32,76.08,983900,76.08
2015-03-06,75.66,76.52,75.29,76.06,1172200,76.06
2015-03-05,76,76.12,75.19,75.81,977900,75.81
2015-03-04,75.38,75.6,74.62,75.6,888400,75.6
2015-03-03,75.42,75.88,74.84,75.85,1442300,75.85
2015-03-02,75.22,76.44,74.92,75.66,1654500,75.66
2015-02-27,76.92,77.66,74.92,75.04,1832900,75.04
2015-02-26,76.76,77.74,76.23,76.76,1148500,76.76
2015-02-25,77.52,77.97,76.62,77.29,1129900,77.29
2015-02-24,76.87,78.78,76.54,77.77,1442500,77.77
2015-02-23,79,80.75,77.06,77.39,4095400,77.39
2015-02-20,77.1,78.54,76.28,78.31,3350300,78.31
2015-02-19,76.61,77.73,76.16,77.56,1108800,77.56
2015-02-18,76.78,76.99,76.08,76.29,1062800,76.29
2015-02-17,76.91,77.17,76.38,76.73,1441300,76.73
2015-02-13,77.65,77.95,76.96,77.2,978600,77.2
2015-02-12,76.66,77.48,75.94,77.36,1509000,77.36
2015-02-11,76.71,76.72,75.95,76.16,1173400,76.16
2015-02-10,76.58,77.18,75.01,76.94,1349000,76.94
2015-02-09,74.7,76.15,74.18,75.99,1297700,75.99
2015-02-06,76.84,77.14,75.14,75.63,1244200,75.63
2015-02-05,76.71,77.22,75.76,76.75,1949200,76.75
2015-02-04,75.29,78.41,75.14,76.54,2707900,76.54
2015-02-03,72.96,75.87,72.88,75.49,3277500,75.49
2015-02-02,71.66,72.63,69.19,72.59,3179700,72.59
2015-01-30,73.11,73.46,67.5,70.35,8326800,70.35
2015-01-29,71.51,73.79,70.78,73.48,2299200,73.48
2015-01-28,73.44,73.74,71.49,71.53,1736800,71.53
2015-01-27,72.38,73.66,71.78,73.11,827200,73.11
2015-01-26,73.44,74.49,72.63,73.15,1374400,73.15
2015-01-23,74.58,74.75,73.24,73.65,1251600,73.65
2015-01-22,72.02,74.4,71.86,74.32,3331800,74.32
2015-01-21,70.32,72.87,70.16,71.88,2073500,71.88
2015-01-20,72.05,72.23,70.24,70.68,2335000,70.68
2015-01-16,70.24,71.98,69.92,71.85,1700400,71.85
2015-01-15,70.66,71.22,69.65,70.19,1289300,70.19
2015-01-14,71.19,71.28,69.59,70.44,1577100,70.44
2015-01-13,71.81,72.97,70.63,71.77,2944900,71.77
2015-01-12,71.76,71.88,70.92,71.28,1726000,71.28
2015-01-09,70.44,72.04,70.11,71.79,2503500,71.79
2015-01-08,69.14,71.26,69.14,70.22,1769500,70.22
2015-01-07,69.02,69.98,68.06,68.46,1863600,68.46
2015-01-06,70.36,70.71,67.61,68.67,3230600,68.67
2015-01-05,71.98,72.46,70.06,70.44,1846700,70.44
2015-01-02,72.82,73.75,71.69,72.27,1040500,72.27
2014-12-31,73.17,73.83,72.71,72.89,1459600,72.89
2014-12-30,72.65,73.38,72.16,73.3,705200,73.3
2014-12-29,72.42,73.26,72.42,73.07,582200,73.07
2014-12-26,72.93,73,72.05,72.71,437800,72.71
2014-12-24,71.93,72.89,71.01,72.63,366100,72.63
2014-12-23,71.94,72.7,71.63,72.09,963400,72.09
2014-12-22,72.54,72.75,71.33,71.94,1152900,71.94
2014-12-19,72.31,73.31,71.45,72.61,3260100,72.61
2014-12-18,70.96,73.6,70.96,72.39,2938600,72.39
2014-12-17,68.85,69.94,68.45,69.72,1254300,69.72
2014-12-16,69.45,70.65,68.45,68.49,2799100,68.49
2014-12-15,70.85,71.09,69.42,70.05,2292500,70.05
2014-12-12,69.87,71.34,69.83,70.83,1109900,70.83
2014-12-11,70.72,71.89,70.31,70.61,1582000,70.61
2014-12-10,71.95,72,70.43,70.56,999900,70.56
2014-12-09,71.12,71.94,69.4,71.44,2729800,71.44
2014-12-08,73.56,73.86,71.75,71.79,1805400,71.79
2014-12-05,73.63,74.09,72.9,73.2,1776700,73.2
2014-12-04,72.93,73.28,72.13,72.93,3214900,72.93
2014-12-03,74.15,75.53,72.81,74.42,4007100,74.42
2014-12-02,76.64,77.37,75.12,75.27,3886900,75.27
2014-12-01,79,79.28,76.9,77.14,2277300,77.14
2014-11-28,77.91,79.57,77.6,79.41,1320100,79.41
2014-11-26,76.57,78.24,75.79,78.24,2043600,78.24
2014-11-25,76.52,77.55,76,76.34,2723100,76.34
2014-11-24,74.16,76.29,73.77,76.05,4790100,76.05
2014-11-21,74.26,75.29,72.85,73.7,3844100,73.7
2014-11-20,73.87,74.18,72,72.22,5039500,72.22
2014-11-19,69,75.26,69,74.66,15298800,74.66
2014-11-18,65.2,67.94,65.05,67.85,3049200,67.85
2014-11-17,64.57,65.31,64.02,65.28,855800,65.28
2014-11-14,65.07,65.07,64.09,64.9,890600,64.9
2014-11-13,64.08,64.91,63.56,64.67,1212500,64.67
2014-11-12,63.4,63.99,62.72,63.82,1077200,63.82
2014-11-11,63.66,63.99,63.05,63.79,1619800,63.79
2014-11-10,63.68,64.27,62.8,63.67,1180300,63.67
2014-11-07,63.76,63.82,63.14,63.71,779400,63.71
2014-11-06,63.43,64.11,62.79,63.66,1888300,63.66
2014-11-05,63,64.26,62.37,63.05,2517400,63.05
2014-11-04,60.72,63.91,60.5,63.26,3621000,63.26
2014-11-03,63.36,64.49,63.03,63.81,2605300,63.81
2014-10-31,64,64,62.45,63.65,2364500,63.65
2014-10-30,61.77,62.46,61.29,62.29,1178300,62.29
2014-10-29,61.53,62.19,61.26,61.95,939100,61.95
2014-10-28,61.71,62.09,61.23,61.43,1657900,61.43
2014-10-27,62.21,62.25,60.93,61.35,1082600,61.35
2014-10-24,61.21,62.88,60.81,62.2,1733800,62.2
2014-10-23,60.41,61.56,60.04,61,1531800,61
2014-10-22,60.88,61.35,59.67,59.73,1473000,59.73
2014-10-21,59.14,61,58.93,60.66,1808600,60.66
2014-10-20,58.76,58.91,58.13,58.7,1275700,58.7
2014-10-17,58.38,59.83,58.22,58.53,2648800,58.53
2014-10-16,57.94,58.1,56.99,57.96,4015600,57.96
2014-10-15,57.39,59.45,56.17,58.86,4329400,58.86
2014-10-14,60.22,60.62,57.42,58.86,3406800,58.86
2014-10-13,61.26,61.62,59.56,59.61,2997300,59.61
2014-10-10,63.31,63.9,61.54,61.63,1992500,61.63
2014-10-09,63.96,64.38,63.06,63.45,1256000,63.45
2014-10-08,63.67,64.36,63.04,64.22,1510900,64.22
2014-10-07,64.15,64.49,63.4,63.71,2029500,63.71
2014-10-06,65.22,65.5,64.57,64.65,1228800,64.65
2014-10-03,64.12,65.54,63.75,65.16,1857000,65.16
2014-10-02,63.43,63.71,62.09,63.58,2768600,63.58
2014-10-01,64.69,64.69,62.64,63.6,2523400,63.6
2014-09-30,64.81,65.69,63.96,64.58,1748000,64.58
2014-09-29,64.65,65.26,64.12,65.01,1535400,65.01
2014-09-26,63.53,64.93,63.49,64.92,1426300,64.92
2014-09-25,63.7,63.73,63.02,63.47,1424200,63.47
2014-09-24,63.26,64.08,63.01,63.97,1147200,63.97
2014-09-23,63.03,63.67,62.78,63,1319500,63
2014-09-22,64.99,64.99,63.17,63.47,1660400,63.47
2014-09-19,65.97,66.07,64.81,64.98,2040000,64.98
2014-09-18,66.62,66.84,65.06,65.54,2021400,65.54
2014-09-17,65.83,67.06,65.83,66.71,1502800,66.71
2014-09-16,65.41,65.9,65.03,65.54,1094600,65.54
2014-09-15,66.06,66.4,65.59,65.74,983800,65.74
2014-09-12,66.35,66.36,65.67,65.96,743000,65.96
2014-09-11,65.64,66.52,65.25,66.3,1216400,66.3
2014-09-10,65.76,65.95,65.17,65.76,866500,65.76
2014-09-09,65.87,66.23,65.59,65.88,757500,65.88
2014-09-08,66.48,66.85,65.88,66.1,1135800,66.1
2014-09-05,65.47,66.71,65.41,66.44,1248800,66.44
2014-09-04,65.71,66.23,65.39,65.84,1283900,65.84
2014-09-03,66.21,66.42,65.55,65.88,1070800,65.88
2014-09-02,65.32,66.14,65.23,66,1649500,66
