Date,Open,High,Low,Close,Volume,Adj Close
2015-04-28,29.94,30.18,29.63,29.95,167700,29.95
2015-04-27,30.02,30.07,29.47,29.83,137300,29.83
2015-04-24,30.32,30.47,29.69,29.91,191400,29.91
2015-04-23,30.75,30.79,30.31,30.33,124600,30.33
2015-04-22,30.74,30.9,30.31,30.74,151600,30.74
2015-04-21,31.56,31.57,30.67,30.73,318700,30.73
2015-04-20,31.24,31.73,31.24,31.5,153300,31.5
2015-04-17,31.54,31.62,31.02,31.04,178300,31.04
2015-04-16,31.89,32.12,31.51,31.69,185400,31.69
2015-04-15,32.44,32.49,31.88,31.96,325400,31.96
2015-04-14,32.46,32.58,32.03,32.26,280100,32.26
2015-04-13,32.56,32.73,32.34,32.48,122800,32.48
2015-04-10,32.83,32.88,32.61,32.67,180700,32.67
2015-04-09,32.75,32.99,32.61,32.76,128300,32.76
2015-04-08,32.66,32.99,32.53,32.84,173300,32.84
2015-04-07,33.32,33.34,32.53,32.54,232300,32.54
2015-04-06,33.08,33.72,33.02,33.22,173900,33.22
2015-04-02,32.89,33.44,32.77,33.2,221600,33.2
2015-04-01,32.5,32.78,32.23,32.76,248800,32.76
2015-03-31,32.6,32.87,32.45,32.57,177600,32.57
2015-03-30,32.68,32.89,32.37,32.7,317900,32.7
2015-03-27,31.96,32.53,31.89,32.48,257900,32.48
2015-03-26,31.88,32.22,31.74,31.95,240700,31.95
2015-03-25,32.37,32.73,31.8,32.09,388700,32.09
2015-03-24,31.6,32.3,31.6,32.25,523600,32.25
2015-03-23,31.15,31.87,30.99,31.72,459600,31.72
2015-03-20,31.12,31.45,30.9,31.25,461100,31.25
2015-03-19,31.14,31.28,30.67,31.1,301200,31.1
2015-03-18,30.77,31.37,30.24,31.24,254800,31.24
2015-03-17,30.6,30.77,29.92,30.72,332100,30.72
2015-03-16,31.08,31.08,30.54,30.64,277000,30.64
2015-03-13,29.86,30.98,29.63,30.87,443700,30.87
2015-03-12,29.81,30.37,29.57,29.96,305800,29.96
2015-03-11,30.15,30.15,29.19,29.65,337000,29.65
2015-03-10,29.16,30.31,29.05,30.05,372400,30.05
2015-03-09,30.31,30.62,29.18,29.57,607100,29.57
2015-03-06,28,30.73,27.68,30.34,1644100,30.34
2015-03-05,26.99,27.57,26.55,27.48,534000,27.48
2015-03-04,26.78,27.39,26.5,26.85,267600,26.85
2015-03-03,26.86,26.95,26.48,26.77,194700,26.77
2015-03-02,27.02,27.26,26.59,26.98,198100,26.98
2015-02-27,26.7,27.18,26.69,26.95,243900,26.95
2015-02-26,26.58,26.94,26.56,26.79,154600,26.79
2015-02-25,26.25,26.89,25.98,26.58,376400,26.58
2015-02-24,26.07,26.64,25.92,26.22,234300,26.22
2015-02-23,26.14,26.34,25.75,26.05,337800,26.05
2015-02-20,26.6,26.77,26.11,26.15,323100,26.15
2015-02-19,26.8,27.17,26.45,26.63,181700,26.63
2015-02-18,26.48,26.92,26.4,26.8,130000,26.8
2015-02-17,26.83,26.99,26.29,26.53,258300,26.53
2015-02-13,26.56,27.12,26.48,26.78,181000,26.78
2015-02-12,27.11,27.16,26.58,26.61,446200,26.61
2015-02-11,26.29,27.01,25.99,26.91,297500,26.91
2015-02-10,26.46,26.88,25.61,26.26,682000,26.26
2015-02-09,27.05,27.11,26.24,26.27,303000,26.27
2015-02-06,27.3,27.3,26.66,26.7,306900,26.7
2015-02-05,27.16,27.49,27,27.23,276100,27.23
2015-02-04,27,27.68,27,27.03,387200,27.03
2015-02-03,26.41,27.07,26.18,26.96,296600,26.96
2015-02-02,25.38,26.51,25.1,26.26,768600,26.26
2015-01-30,27.06,27.29,24.57,24.58,1211400,24.58
2015-01-29,26.82,27.4,26.57,27.29,367000,27.29
2015-01-28,27.03,27.55,26.79,26.93,489800,26.93
2015-01-27,26.97,27.26,26.88,27.05,293500,27.05
2015-01-26,27.47,27.66,26.81,27.13,259100,27.13
2015-01-23,26.93,27.86,26.79,27.41,166900,27.41
2015-01-22,27.14,27.46,26.72,27.01,274300,27.01
2015-01-21,27.38,27.76,26.95,27.12,149300,27.12
2015-01-20,28,28.19,27.27,27.53,213000,27.53
2015-01-16,26.82,27.94,26.66,27.89,244900,27.89
2015-01-15,26.54,27.06,26.39,26.87,212400,26.87
2015-01-14,25.73,26.68,25.73,26.55,272300,26.55
2015-01-13,26.32,26.6,25.68,25.86,326600,25.86
2015-01-12,27.21,27.21,25.99,26.2,326200,26.2
2015-01-09,27.74,27.74,26.97,27.12,139700,27.12
2015-01-08,27.81,28.3,27.68,27.76,248000,27.76
2015-01-07,27.59,27.82,27.3,27.69,167400,27.69
2015-01-06,27.83,28,27.03,27.34,195300,27.34
2015-01-05,28,28.69,27.44,27.72,242900,27.72
2015-01-02,28.46,28.53,27.6,28.19,250500,28.19
2014-12-31,28.73,28.74,27.82,28.23,487000,28.23
2014-12-30,29.03,29.22,28.7,28.74,157300,28.74
2014-12-29,29.23,29.25,28.75,29.08,200000,29.08
2014-12-26,29,29.45,28.89,29.29,112100,29.29
2014-12-24,28.85,29.43,28.71,28.96,150200,28.96
2014-12-23,28.56,28.86,28.31,28.7,231200,28.7
2014-12-22,28.63,29.03,28.16,28.49,218400,28.49
2014-12-19,28.32,28.88,27.68,28.59,438200,28.59
2014-12-18,27.21,28.4,27.04,28.09,691700,28.09
2014-12-17,26.75,27.13,26.29,27.03,437500,27.03
2014-12-16,26.68,27.12,26.26,26.57,507200,26.57
2014-12-15,28.3,28.42,26.71,26.73,540300,26.73
2014-12-12,28.24,28.52,27.88,28.13,258200,28.13
2014-12-11,28.45,28.86,28.42,28.57,187700,28.57
2014-12-10,29.51,29.88,28.04,28.3,658100,28.3
2014-12-09,29.04,30.13,28.5,29.65,664700,29.65
2014-12-08,29.74,30.08,28.81,29.01,570800,29.01
2014-12-05,29.44,29.89,28.84,29.23,380800,29.23
2014-12-04,29.71,29.71,29.29,29.53,388200,29.53
2014-12-03,29.76,30.22,29.62,29.65,226800,29.65
2014-12-02,29.76,29.94,29.38,29.71,209200,29.71
2014-12-01,29.76,30.21,29.51,29.77,444900,29.77
2014-11-28,29.57,30.04,29.57,29.79,116800,29.79
2014-11-26,29.43,29.65,29.27,29.58,189200,29.58
2014-11-25,29.44,29.75,29.35,29.41,140100,29.41
2014-11-24,29.59,29.62,29.31,29.53,253200,29.53
2014-11-21,29.88,29.89,29.38,29.44,293900,29.44
2014-11-20,29.72,29.8,29.48,29.58,191000,29.58
2014-11-19,30.31,30.31,29.59,29.71,410300,29.71
2014-11-18,30.49,30.67,30.27,30.38,193900,30.38
2014-11-17,30.11,30.67,29.91,30.49,178300,30.49
2014-11-14,30.6,30.6,30,30.11,186900,30.11
2014-11-13,30.75,31.1,30.49,30.59,199000,30.59
2014-11-12,30.2,30.76,30.01,30.7,213900,30.7
2014-11-11,30.7,30.94,30.48,30.6,187100,30.6
2014-11-10,29.81,30.6,29.59,30.6,201300,30.6
2014-11-07,29.89,29.98,29.33,29.68,407900,29.68
2014-11-06,30.71,30.96,29.88,30.01,345700,30.01
2014-11-05,30.85,30.9,30.21,30.58,389600,30.58
2014-11-04,30.31,30.87,30.2,30.46,375900,30.46
2014-11-03,30.25,30.55,30.1,30.34,256700,30.34
2014-10-31,29.5,30.3,29.01,30.15,452200,30.15
2014-10-30,28.37,29.29,28.37,29.22,215300,29.22
2014-10-29,28.76,28.76,28.06,28.4,496400,28.4
2014-10-28,28.53,29.12,28.36,28.94,180000,28.94
2014-10-27,28.15,28.45,27.91,28.34,180800,28.34
2014-10-24,28.42,28.57,28.11,28.37,197200,28.37
2014-10-23,29.13,29.13,28.22,28.33,182800,28.33
2014-10-22,29.18,29.29,28.69,28.75,231200,28.75
2014-10-21,28.08,29.29,27.96,29.1,254100,29.1
2014-10-20,27.77,28.37,27.68,27.97,245400,27.97
2014-10-17,27.93,28.06,27.47,27.96,259000,27.96
2014-10-16,27.52,28.33,27.17,27.58,295200,27.58
2014-10-15,28.2,28.45,27.89,28.08,320700,28.08
2014-10-14,28.34,28.74,27.96,28.59,463300,28.59
2014-10-13,28.51,28.85,28.1,28.19,263600,28.19
2014-10-10,28.76,29.23,28.44,28.51,364000,28.51
2014-10-09,28.71,29.34,28.56,28.81,543300,28.81
2014-10-08,28.69,28.82,27.67,28.8,555200,28.8
2014-10-07,27.51,29.57,27.38,28.78,821800,28.78
2014-10-06,27.73,29,27.04,27.6,567000,27.6
2014-10-03,28.5,28.52,27.3,27.5,588300,27.5
2014-10-02,28.91,29.22,27.79,28.2,511800,28.2
2014-10-01,28.5,29.11,28.17,29.01,679000,29.01
2014-09-30,28.71,28.97,28.39,28.61,371000,28.61
2014-09-29,28.2,29,28.2,28.71,557500,28.71
2014-09-26,28.28,29.76,28.1,28.57,1504400,28.57
2014-09-25,26.62,27.2,26.14,26.62,826100,26.62
2014-09-24,25.99,26.96,25.79,26.83,830200,26.83
2014-09-23,26.7,26.96,25.15,25.87,726300,25.87
2014-09-22,27.12,27.12,26.68,26.82,169600,26.82
2014-09-19,27.58,27.68,26.97,27.17,693800,27.17
2014-09-18,27.18,27.8,27.11,27.39,310900,27.39
2014-09-17,26.97,27.51,26.78,27.03,184900,27.03
2014-09-16,27.22,27.62,27.03,27.06,168700,27.06
2014-09-15,27.86,27.86,27.18,27.34,171200,27.34
2014-09-12,28.33,28.41,27.72,27.74,198300,27.74
2014-09-11,26.98,28.84,26.98,28.17,438300,28.17
2014-09-10,27.16,27.68,26.98,27.54,271800,27.54
2014-09-09,27.58,27.72,27.12,27.13,290900,27.13
2014-09-08,26.53,27.5,26.53,27.43,315600,27.43
2014-09-05,26.5,26.78,26.3,26.46,248900,26.46
2014-09-04,26.85,27.36,26.62,26.62,212000,26.62
2014-09-03,27.03,27.03,26.6,26.7,600500,26.7
2014-09-02,27.25,27.29,26.52,27.02,495200,27.02
2014-08-29,27.61,27.82,27.45,27.57,83600,27.57
2014-08-28,27.25,28.02,27.2,27.54,106600,27.54
2014-08-27,27.7,27.73,27.26,27.33,94900,27.33
2014-08-26,27.69,28,27.09,27.65,86400,27.65
2014-08-25,27.52,28.14,27.52,27.67,126100,27.67
2014-08-22,27.67,27.67,27.27,27.31,91700,27.31
2014-08-21,27.57,27.97,27.18,27.7,177500,27.7
2014-08-20,27.24,27.56,27.09,27.53,77300,27.53
2014-08-19,27.36,27.67,27.2,27.33,118100,27.33
2014-08-18,27.35,27.69,27.28,27.34,173200,27.34
2014-08-15,27.44,27.69,26.88,27.19,163200,27.19
2014-08-14,27.35,27.42,27.14,27.21,135600,27.21
2014-08-13,27.26,27.52,27.15,27.29,136100,27.29
2014-08-12,27.23,27.5,27,27.15,190800,27.15
2014-08-11,27.47,27.91,27.26,27.27,224700,27.27
2014-08-08,26.76,27.59,26.53,27.31,188200,27.31
2014-08-07,26.43,27.16,26.23,26.82,318400,26.82
2014-08-06,26.56,27,26.14,26.34,425800,26.34
2014-08-05,27.14,27.36,26.56,26.65,200300,26.65
2014-08-04,27,27.44,26.91,27.26,198100,27.26
2014-08-01,26.91,27.3,26.71,27.02,244700,27.02
2014-07-31,27.48,27.56,26.62,26.86,317600,26.86
2014-07-30,28.07,28.27,27.63,27.74,168900,27.74
2014-07-29,28.22,28.82,27.93,27.94,163600,27.94
2014-07-28,28.34,28.69,28.24,28.28,169500,28.28
2014-07-25,28.13,28.39,27.93,28.34,139400,28.34
2014-07-24,28.32,28.59,28.1,28.28,160000,28.28
2014-07-23,28.29,28.68,28.18,28.28,208000,28.28
2014-07-22,27.8,28.38,27.52,28.21,216900,28.21
2014-07-21,27.88,28.04,27.44,27.74,211400,27.74
2014-07-18,27.01,28.12,26.95,28.05,227800,28.05
2014-07-17,27.2,27.62,26.94,27.03,322300,27.03
2014-07-16,27.95,27.95,27.2,27.28,296400,27.28
2014-07-15,28.17,28.5,27.67,27.73,329500,27.73
2014-07-14,28.39,28.49,27.89,28,199900,28
2014-07-11,28,28.39,27.53,28.19,460300,28.19
2014-07-10,28.19,28.28,27.91,27.97,318400,27.97
2014-07-09,28.28,29.2,28.17,28.76,304300,28.76
2014-07-08,28.56,28.6,27.58,28.23,626600,28.23
2014-07-07,28.95,29.14,28.32,28.54,310000,28.54
2014-07-03,28.61,29.27,28.35,29.08,406300,29.08
2014-07-02,28.24,28.6,28.07,28.35,307700,28.35
2014-07-01,28.2,28.77,27.98,28.21,393900,28.21
2014-06-30,28.07,28.33,27.75,28.2,271800,28.2
2014-06-27,28.62,28.72,28,28.02,912100,28.02
2014-06-26,28.19,28.79,28.17,28.72,341400,28.72
2014-06-25,27.99,28.33,27.8,28.1,316700,28.1
2014-06-24,28.25,28.56,28,28.02,324300,28.02
2014-06-23,29.4,29.41,28.01,28.31,363400,28.31
2014-06-20,29.14,29.18,28.39,28.8,508300,28.8
2014-06-19,28.74,29.49,28.18,28.97,772400,28.97
2014-06-18,28.63,28.63,27.41,27.72,774700,27.72
2014-06-17,26.17,27.61,26.1,27.58,896700,27.58
2014-06-16,25.54,26.32,25.13,26.1,517200,26.1
2014-06-13,26.19,26.19,25.51,25.71,436100,25.71
2014-06-12,26.78,26.82,25.92,26.21,615100,26.21
2014-06-11,27.6,27.6,26.66,26.99,530400,26.99
2014-06-10,28.75,28.92,27.31,27.7,948200,27.7
2014-06-09,29.61,29.75,28.55,28.85,854400,28.85
2014-06-06,30.57,31.54,29.1,29.74,2468600,29.74
2014-06-05,33.36,33.55,32.37,33.32,480800,33.32
2014-06-04,32.63,33.33,32.3,33.23,259400,33.23
2014-06-03,31.97,32.79,31.65,32.63,382300,32.63
2014-06-02,31.88,32.37,31.4,31.99,187500,31.99
2014-05-30,32.15,32.19,31.77,31.95,185400,31.95
2014-05-29,31.35,32.17,31.35,32,304100,32
2014-05-28,31.6,31.92,30.95,31.04,318100,31.04
2014-05-27,31.98,32.19,31.45,31.53,307900,31.53
2014-05-23,31.86,32.08,31.51,31.9,168600,31.9
2014-05-22,31.25,32.2,31.23,31.86,364100,31.86
2014-05-21,30.77,31.49,30.64,31.25,234000,31.25
2014-05-20,31.04,31.13,30.44,30.67,290100,30.67
2014-05-19,30.81,31.37,30.57,31.06,171300,31.06
