Date,Open,High,Low,Close,Volume,Adj Close
2015-04-29,169.84,170.94,168.72,169.57001,1112300,169.57001
2015-04-28,169.27,171.96001,168.50999,171.24001,1521100,171.24001
2015-04-27,170.36,170.61,168.86,169.03,1472100,169.03
2015-04-24,169.73,170.25,169.00999,169.95,949300,169.95
2015-04-23,169.05,170.92999,169.05,170.10001,1050400,170.10001
2015-04-22,169.78999,170.78,168.67999,170.00999,1053900,170.00999
2015-04-21,169.42999,170.45,169.08,169.91,1086500,169.91
2015-04-20,168.28999,170,168.28999,169.06,1244000,169.06
2015-04-17,168.23,168.58,167.33,168,1642400,168
2015-04-16,169.57001,170.25999,168.67999,169.24001,1456600,169.24001
2015-04-15,171.58,172.36,169.32001,169.52,2055900,169.52
2015-04-14,172.00999,173.13,171.10001,171.5,1816200,171.5
2015-04-13,173.64,175.3,173.00999,173.13,1397700,173.13
2015-04-10,173.31,174.5,172.52,174.37,2235100,174.37
2015-04-09,171.46001,173.45,171.09,172.92,1944100,172.92
2015-04-08,171.08,171.89,169.31,171.84,3196100,171.84
2015-04-07,172.75,173.84,170.71001,171.16,5488700,171.16
2015-04-06,165.37,167.25999,165,166.67,1270600,166.67
2015-04-02,166.71001,166.81,165.7,166.22,1642500,166.22
2015-04-01,165.02,166.5,164.28,166.24001,1611200,166.24001
2015-03-31,166,166.47,165,165.45,1568200,165.45
2015-03-30,165.05,167.38,164.98,166.75,1529600,166.75
2015-03-27,165.05,165.62,164.50999,164.59,917100,164.59
2015-03-26,164.28,166.63,163.60001,165.49001,1752700,165.49001
2015-03-25,169.74001,169.8,165.35001,165.42999,1978400,165.42999
2015-03-24,170.28999,170.5,169.16,169.16,1237400,169.16
2015-03-23,172.17,172.28,170.64,170.64,1754200,170.64
2015-03-20,174.10001,174.34,171.88,172.03999,2701600,172.03999
2015-03-19,173.59,175.13,172.5,173.85001,2095900,173.85001
2015-03-18,172,174.14,170.50999,173.3,4244300,173.3
2015-03-17,176.89,178.60001,175.71001,175.71001,2721100,175.71001
2015-03-16,174.21001,177.46001,174.21001,177.32001,1796700,177.32001
2015-03-13,173.59,174.81,172.33,173.32001,1150600,173.32001
2015-03-12,171.97,173.63,171.97,173.58,987900,173.58
2015-03-11,170,172.33,170,171.56,1351800,171.56
2015-03-10,171.22,172.06,170,170,1478400,170
2015-03-09,172.85001,174.17999,172.64,172.91,1539100,172.91
