Period,GOOGL Market Cap
2015-05-04 00:00:00,377788.554837
2015-05-01 00:00:00,376633.6979
2015-04-30 00:00:00,375000.4978
2015-04-29 00:00:00,383624.3407
2015-04-28 00:00:00,384650.832
2015-04-27 00:00:00,385843.5583
2015-04-24 00:00:00,390446.0754
2015-04-23 00:00:00,379419.9861
2015-04-22 00:00:00,373784.4293
2015-04-21 00:00:00,369527.1337
2015-04-20 00:00:00,370619.5333
2015-04-17 00:00:00,362594.9905
2015-04-16 00:00:00,369932.1043
2015-04-15 00:00:00,368244.1597
2015-04-14 00:00:00,367386.575
2015-04-13 00:00:00,373416.893
2015-04-10 00:00:00,373348.8307
2015-04-09 00:00:00,372994.9069
2015-04-08 00:00:00,373553.0176
2015-04-07 00:00:00,370844.1388
2015-04-06 00:00:00,370224.7721
2015-04-02 00:00:00,368427.9279
2015-04-01 00:00:00,373995.4224
2015-03-31 00:00:00,377541.4672
2015-03-30 00:00:00,381921.2749
2015-03-27 00:00:00,379481.2421
2015-03-26 00:00:00,383626.235
2015-03-25 00:00:00,385913.1276
2015-03-24 00:00:00,393086.8919
2015-03-23 00:00:00,384803.7124
2015-03-20 00:00:00,384517.8509
2015-03-19 00:00:00,383646.6537
2015-03-18 00:00:00,385341.4044
2015-03-17 00:00:00,379522.0795
2015-03-16 00:00:00,382264.9894
2015-03-13 00:00:00,376384.4084
2015-03-12 00:00:00,381945.0967
2015-03-11 00:00:00,378215.2837
2015-03-10 00:00:00,381046.6746
2015-03-09 00:00:00,390745.5495
2015-03-06 00:00:00,389928.8021
2015-03-05 00:00:00,395737.9177
2015-03-04 00:00:00,393624.5839
2015-03-03 00:00:00,393941.0735
2015-03-02 00:00:00,391371.7225
2015-02-27 00:00:00,382938.806
2015-02-26 00:00:00,380665.5258
2015-02-25 00:00:00,372525.2771
2015-02-24 00:00:00,366617.4712
2015-02-23 00:00:00,364133.198
2015-02-20 00:00:00,368761.433
2015-02-19 00:00:00,371926.3291
2015-02-18 00:00:00,369339.9624
2015-02-17 00:00:00,370946.2322
2015-02-13 00:00:00,375132.0624
2015-02-12 00:00:00,371626.855
2015-02-11 00:00:00,366175.0664
2015-02-10 00:00:00,367645.2116
2015-02-09 00:00:00,360240.0356
2015-02-06 00:00:00,363367.4974
2015-02-05 00:00:00,360614.3781
2015-02-04 00:00:00,358075.6551
2015-02-03 00:00:00,362976.1392
2015-02-02 00:00:00,362227.4542
2015-01-30 00:00:00,365868.7861
2015-01-29 00:00:00,349316.0396
2015-01-28 00:00:00,348540.538
2015-01-27 00:00:00,354498.8447
2015-01-26 00:00:00,365061.9158
2015-01-23 00:00:00,368619.2154
2015-01-22 00:00:00,365456.4156
2015-01-21 00:00:00,353954.7071
2015-01-20 00:00:00,346846.9097
2015-01-16 00:00:00,347197.1983
2015-01-15 00:00:00,342813.4897
2015-01-14 00:00:00,344119.42
2015-01-13 00:00:00,341310.3096
2015-01-12 00:00:00,338086.2943
2015-01-09 00:00:00,340575.7238
2015-01-08 00:00:00,344785.9885
2015-01-07 00:00:00,343588.8858
2015-01-06 00:00:00,344602.3421
2015-01-05 00:00:00,353322.1471
2015-01-02 00:00:00,360185.0826
2014-12-31 00:00:00,360940.0735
2014-12-30 00:00:00,363115.5919
2014-12-29 00:00:00,364492.6743
2014-12-26 00:00:00,367348.5939
2014-12-24 00:00:00,364234.8953
2014-12-23 00:00:00,365483.0882
2014-12-22 00:00:00,361094.0621
2014-12-19 00:00:00,352777.2986
2014-12-18 00:00:00,349100.5565
2014-12-17 00:00:00,343558.3088
2014-12-16 00:00:00,337934.6571
2014-12-15 00:00:00,349928.1627
2014-12-12 00:00:00,353774.4962
2014-12-11 00:00:00,360965.1726
2014-12-10 00:00:00,358204.2242
2014-12-09 00:00:00,363678.6354
2014-12-08 00:00:00,360029.028
2014-12-05 00:00:00,358231.3589
2014-12-04 00:00:00,368067.6615
2014-12-03 00:00:00,364262.0299
2014-12-02 00:00:00,365360.9824
2014-12-01 00:00:00,366080.05
2014-11-28 00:00:00,372477.0386
2014-11-26 00:00:00,371561.2449
2014-11-25 00:00:00,372578.7934
2014-11-24 00:00:00,371391.6534
2014-11-21 00:00:00,370313.052
2014-11-20 00:00:00,368868.133
2014-11-19 00:00:00,371201.711
2014-11-18 00:00:00,369376.9073
2014-11-17 00:00:00,370821.8262
2014-11-14 00:00:00,376621.853
2014-11-13 00:00:00,377469.8101
2014-11-12 00:00:00,378697.652
2014-11-11 00:00:00,380759.8838
2014-11-10 00:00:00,378684.0847
2014-11-07 00:00:00,374335.7606
2014-11-06 00:00:00,374247.573
2014-11-05 00:00:00,377137.4109
2014-11-04 00:00:00,382727.1443
2014-11-03 00:00:00,382442.2307
2014-10-31 00:00:00,385223.5301
2014-10-30 00:00:00,380067.9507
2014-10-29 00:00:00,378833.3252
2014-10-28 00:00:00,379165.7244
2014-10-27 00:00:00,373019.7311
2014-10-24 00:00:00,372354.9327
2014-10-23 00:00:00,375577.1698
2014-10-22 00:00:00,368142.2817
2014-10-21 00:00:00,364981.0976
2014-10-20 00:00:00,361148.3314
2014-10-17 00:00:00,354764.9101
2014-10-16 00:00:00,364228.1116
2014-10-15 00:00:00,366764.7222
2014-10-14 00:00:00,372163.8071
2014-10-13 00:00:00,369491.3958
2014-10-10 00:00:00,376572.6076
2014-10-09 00:00:00,387167.2944
2014-10-08 00:00:00,395937.416
2014-10-07 00:00:00,389398.8257
2014-10-06 00:00:00,398677.6551
2014-10-03 00:00:00,397639.8912
2014-10-02 00:00:00,393997.5438
2014-10-01 00:00:00,393149.6975
2014-09-30 00:00:00,399104.9696
2014-09-29 00:00:00,397589.9815
2014-09-26 00:00:00,397650.8703
2014-09-25 00:00:00,395858.418
2014-09-24 00:00:00,404766.5006
2014-09-23 00:00:00,399869.4226
2014-09-22 00:00:00,403988.6498
2014-09-19 00:00:00,409487.7168
2014-09-18 00:00:00,403988.6498
2014-09-17 00:00:00,401296.6097
2014-09-16 00:00:00,398246.0818
2014-09-15 00:00:00,393416.6429
2014-09-12 00:00:00,395621.6808
2014-09-11 00:00:00,399822.0751
2014-09-10 00:00:00,401384.5406
2014-09-09 00:00:00,400403.7722
2014-09-08 00:00:00,406937.719
2014-09-05 00:00:00,404333.6098
2014-09-04 00:00:00,401195.1509
2014-09-03 00:00:00,398746.6118
2014-09-02 00:00:00,398144.623
2014-08-29 00:00:00,393903.6451
2014-08-28 00:00:00,392523.8054
2014-08-27 00:00:00,394336.536
2014-08-26 00:00:00,397799.663
2014-08-25 00:00:00,399456.8234
2014-08-22 00:00:00,400789.3157
2014-08-21 00:00:00,400708.1486
2014-08-20 00:00:00,402730.5607
2014-08-19 00:00:00,403880.4271
2014-08-18 00:00:00,400897.5384
2014-08-15 00:00:00,394816.7743
2014-08-14 00:00:00,395452.5828
2014-08-13 00:00:00,395391.7075
2014-08-12 00:00:00,386977.391
2014-08-11 00:00:00,390447.282
2014-08-08 00:00:00,390913.9925
2014-08-07 00:00:00,386767.7095
2014-08-06 00:00:00,388580.4401
2014-08-05 00:00:00,387667.3109
2014-08-04 00:00:00,393842.7698
2014-08-01 00:00:00,387978.4512
2014-07-31 00:00:00,392002.9836
2014-07-30 00:00:00,402750.8525
2014-07-29 00:00:00,401743.0284
2014-07-28 00:00:00,405172.3358
2014-07-25 00:00:00,404536.5274
2014-07-24 00:00:00,407871.1399
2014-07-23 00:00:00,409345.6745
2014-07-22 00:00:00,408249.9194
2014-07-21 00:00:00,404780.0285
2014-07-18 00:00:00,409291.5631
2014-07-17 00:00:00,392862.0014
2014-07-16 00:00:00,399203.0111
2014-07-15 00:00:00,400852.2193
2014-07-14 00:00:00,401663.3053
2014-07-11 00:00:00,396519.6682
2014-07-10 00:00:00,392051.9362
2014-07-09 00:00:00,394295.9408
2014-07-08 00:00:00,390943.452
2014-07-07 00:00:00,399297.6378
2014-07-03 00:00:00,400865.7374
2014-07-02 00:00:00,399311.1559
2014-07-01 00:00:00,399791.0484
2014-06-30 00:00:00,395181.3764
2014-06-27 00:00:00,395044.3323
2014-06-26 00:00:00,394423.7979
2014-06-25 00:00:00,395206.2108
2014-06-24 00:00:00,386174.7375
2014-06-23 00:00:00,387355.1018
2014-06-20 00:00:00,382114.2842
2014-06-19 00:00:00,381082.3086
2014-06-18 00:00:00,378161.75
2014-06-17 00:00:00,371386.4587
2014-06-16 00:00:00,372522.981
2014-06-13 00:00:00,377952.6569
2014-06-12 00:00:00,377379.337
2014-06-11 00:00:00,382775.2882
2014-06-10 00:00:00,383314.8834
2014-06-09 00:00:00,384953.9035
2014-06-06 00:00:00,381783.7822
2014-06-05 00:00:00,381041.8389
2014-06-04 00:00:00,373507.7421
2014-06-03 00:00:00,374013.6125
2014-06-02 00:00:00,380643.8875
2014-05-30 00:00:00,385574.4379
2014-05-29 00:00:00,384839.2396
2014-05-28 00:00:00,384765.0453
2014-05-27 00:00:00,387746.3083
2014-05-23 00:00:00,380279.6608
2014-05-22 00:00:00,374647.6368
2014-05-21 00:00:00,370769.2968
2014-05-20 00:00:00,364489.7586
2014-05-19 00:00:00,363437.5481
2014-05-16 00:00:00,356335.1274
2014-05-15 00:00:00,356888.2124
2014-05-14 00:00:00,360456.2851
2014-05-13 00:00:00,365265.4266
2014-05-12 00:00:00,363167.7506
2014-05-09 00:00:00,355201.9776
2014-05-08 00:00:00,350851.492
2014-05-07 00:00:00,349387.8402
2014-05-06 00:00:00,352470.2773
2014-05-05 00:00:00,361076.8195
2014-05-02 00:00:00,360092.0584
2014-05-01 00:00:00,363235.2
2014-04-30 00:00:00,360773.2972
2014-04-29 00:00:00,361751.3134
2014-04-28 00:00:00,352746.8198
2014-04-25 00:00:00,352827.7591
2014-04-24 00:00:00,360476.5199
2014-04-23 00:00:00,362547.2162
2014-04-22 00:00:00,367936.4224
2014-04-21 00:00:00,363801.7748
2014-04-17 00:00:00,366479.5156
2014-04-16 00:00:00,380347.1102
2014-04-15 00:00:00,369224.1258
2014-04-14 00:00:00,366868.9509
2014-04-11 00:00:00,361862.5221
2014-04-10 00:00:00,367871.5825
2014-04-09 00:00:00,381565.242
2014-04-08 00:00:00,375152.4373
2014-04-07 00:00:00,363793.7655
2014-04-04 00:00:00,366902.5963
2014-04-03 00:00:00,385455.033
2014-04-02 00:00:00,383161.8082
2014-04-01 00:00:00,383090.9223
2014-03-31 00:00:00,376211.4976
2014-03-28 00:00:00,376427.3579
2014-03-27 00:00:00,374454.7353
