Period,GOOG PE Ratio (TTM)
2015-05-04 00:00:00,25.5156541439
2015-05-01 00:00:00,25.3854
2015-04-30 00:00:00,25.359
2015-04-29 00:00:00,25.913
2015-04-28 00:00:00,26.1301
2015-04-27 00:00:00,26.2099
2015-04-24 00:00:00,26.5942
2015-04-23 00:00:00,25.7442
2015-04-22 00:00:00,25.3849
2015-04-21 00:00:00,25.131
2015-04-20 00:00:00,25.1973
2015-04-17 00:00:00,24.6641
2015-04-16 00:00:00,25.123
2015-04-15 00:00:00,25.0632
2015-04-14 00:00:00,24.9625
2015-04-13 00:00:00,25.3757
2015-04-10 00:00:00,25.4152
2015-04-09 00:00:00,25.4515
2015-04-08 00:00:00,25.4905
2015-04-07 00:00:00,25.2745
2015-04-06 00:00:00,25.2625
2015-04-02 00:00:00,25.2044
2015-04-01 00:00:00,25.5352
2015-03-31 00:00:00,25.7913
2015-03-30 00:00:00,26.1786
2015-03-27 00:00:00,26.0036
2015-03-26 00:00:00,26.3275
2015-03-25 00:00:00,26.499
2015-03-24 00:00:00,27.0398
2015-03-23 00:00:00,26.5001
2015-03-20 00:00:00,26.5736
2015-03-19 00:00:00,26.4613
2015-03-18 00:00:00,26.5329
2015-03-17 00:00:00,26.1222
2015-03-16 00:00:00,26.2962
2015-03-13 00:00:00,25.9553
2015-03-12 00:00:00,26.3436
2015-03-11 00:00:00,26.1383
2015-03-10 00:00:00,26.3199
2015-03-09 00:00:00,26.9763
2015-03-06 00:00:00,26.921
2015-03-05 00:00:00,27.2836
2015-03-04 00:00:00,27.1906
2015-03-03 00:00:00,27.2034
2015-03-02 00:00:00,27.0943
2015-02-27 00:00:00,26.4807
2015-02-26 00:00:00,26.3422
2015-02-25 00:00:00,25.7916
2015-02-24 00:00:00,25.4227
2015-02-23 00:00:00,25.2245
2015-02-20 00:00:00,25.5583
2015-02-19 00:00:00,25.7442
2015-02-18 00:00:00,25.5939
2015-02-17 00:00:00,25.7428
2015-02-13 00:00:00,26.0354
2015-02-12 00:00:00,25.7471
2015-02-11 00:00:00,25.417
2015-02-10 00:00:00,25.463
2015-02-09 00:00:00,25.031
2015-02-06 00:00:00,25.1813
2015-02-05 00:00:00,25.0191
2015-02-04 00:00:00,24.7906
2015-02-03 00:00:00,25.0979
2015-02-02 00:00:00,25.0618
2015-01-30 00:00:00,25.3482
2015-01-29 00:00:00,24.2167
2015-01-28 00:00:00,24.1854
2015-01-27 00:00:00,24.5947
2015-01-26 00:00:00,25.381
2015-01-23 00:00:00,25.6058
2015-01-22 00:00:00,25.3421
2015-01-21 00:00:00,24.5667
2015-01-20 00:00:00,24.0384
2015-01-16 00:00:00,24.0944
2015-01-15 00:00:00,23.7961
2015-01-14 00:00:00,23.7525
2015-01-13 00:00:00,23.5301
2015-01-12 00:00:00,23.3579
2015-01-09 00:00:00,23.5296
2015-01-08 00:00:00,23.8383
2015-01-07 00:00:00,23.7634
2015-01-06 00:00:00,23.8042
2015-01-05 00:00:00,24.369
2015-01-02 00:00:00,24.8878
2014-12-31 00:00:00,24.9632
2014-12-30 00:00:00,27.7381
2014-12-29 00:00:00,27.7333
2014-12-26 00:00:00,27.9268
2014-12-24 00:00:00,27.6518
2014-12-23 00:00:00,27.7469
