Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,550.51001,551.21997,543.84998,551.15997,1730100,551.15997
2015-04-30,558.56,561.10999,546.71997,548.77002,2341700,548.77002
2015-04-29,560.51001,565.84003,559,561.39001,1678100,561.39001
2015-04-28,564.32001,567.83002,560.96002,564.37,1858900,564.37
2015-04-27,572.77002,575.52002,562.29999,566.12,2395700,566.12
2015-04-24,580.04999,584.70001,568.34998,573.65997,4602200,573.65997
2015-04-23,550.40997,561.16998,550.08002,557.46002,3554300,557.46002
2015-04-22,543.06,551,541.32001,549.17999,1581000,549.17999
2015-04-21,546.31,547.77002,542.21002,542.91998,1453500,542.91998
2015-04-20,533.75,545.79999,533.34998,544.53003,1925400,544.53003
2015-04-17,537.31,539.79999,529,532.73999,2453500,532.73999
2015-04-16,538.34998,545.22998,538.09998,543.52002,1582000,543.52002
2015-04-15,537.96002,543.19,532.37,541.03998,2345000,541.03998
2015-04-14,546.57001,546.57001,535.73999,539.78003,2360300,539.78003
2015-04-13,547.04999,553.27002,546.29999,548.64001,1466300,548.64001
2015-04-10,549.57001,549.84998,544.97998,548.53998,1305200,548.53998
2015-04-09,549.21002,549.37,541.95001,548.02002,1618300,548.02002
2015-04-08,546,551.5,546,548.84003,1419300,548.84003
2015-04-07,544.98999,550.15997,543.59003,544.85999,1365900,544.85999
2015-04-06,538.84003,545.53998,535.70001,543.95001,1685900,543.95001
2015-04-02,547.40997,548,540.44,541.31,2388000,541.31
2015-04-01,554.83002,558.5,546.03003,549.48999,1945100,549.48999
2015-03-31,557.94,562.45001,554.66998,554.70001,1746600,554.70001
2015-03-30,560.25,562.15997,556.78998,561.14001,1239400,561.14001
2015-03-27,561.83002,564.07001,556.92999,557.54999,1727600,557.54999
2015-03-26,564.65002,567.19,558.31,563.64001,2492100,563.64001
2015-03-25,577.57001,580.07001,567,567,2653500,567
2015-03-24,568.53998,581.88,568.09003,577.53998,3957800,577.53998
2015-03-23,566,569.64001,563.06,565.37,1511700,565.37
2015-03-20,566.71002,567.09998,564.47998,564.95001,2216000,564.95001
2015-03-19,564.52002,566.96002,562.12,563.66998,1233000,563.66998
2015-03-18,557.72998,566.51001,553.5,566.15997,1766200,566.15997
2015-03-17,558.28998,560.64001,554.40997,557.60999,1444600,557.60999
2015-03-16,556.92999,563.75,551.32001,561.64001,1842800,561.64001
2015-03-13,559.22998,564.35999,550.33002,553,1771400,553
2015-03-12,558.47998,561.84003,555.53003,561.16998,1780100,561.16998
2015-03-11,559.79999,564.17999,555.40997,555.69,2026200,555.69
2015-03-10,568.47998,569.76001,559.82001,559.84998,2004000,559.84998
2015-03-09,570.91998,575.45001,569.04999,574.09998,1173900,574.09998
2015-03-06,582,582.78003,572.06,572.90002,1879600,572.90002
2015-03-05,579.62,583.20001,578.22998,581.42999,1795900,581.42999
2015-03-04,576.96997,581.63,572.52002,578.33002,1898200,578.33002
2015-03-03,576.34998,580.84998,570.5,578.78998,2526300,578.78998
2015-03-02,567,575.98999,563.15002,575.02002,2520300,575.02002
2015-02-27,558.15002,569.41998,557.03003,562.63,3416400,562.63
2015-02-26,545.73999,560.13,545.09003,559.28998,2701600,559.28998
2015-02-25,538.44,549.57001,538.01001,547.33002,2041800,547.33002
2015-02-24,531.54999,539.40002,531,538.65002,1420300,538.65002
2015-02-23,539,539.29999,532,535,1645300,535
2015-02-20,547.58002,547.58002,538.09998,541.79999,1911700,541.79999
2015-02-19,542.46997,546.85999,540.75,546.45001,1541700,546.45001
2015-02-18,543.82001,547.54999,539.54999,542.65002,1558200,542.65002
2015-02-17,551.15997,553,543.26001,545.01001,1958700,545.01001
2015-02-13,547.51001,552.53998,546.59998,551.15997,2369100,551.15997
2015-02-12,539.65997,548.34003,537,546.01001,2429500,546.01001
2015-02-11,539.72998,541.95001,536,538,1915300,538
2015-02-10,532.15002,541,529.16998,540.15997,2371500,540.15997
2015-02-09,531.06,533.88,527.54999,529.28003,1515700,529.28003
2015-02-06,531.01001,540.21997,528.65002,533.88,2134400,533.88
2015-02-05,527.92999,530.69,525.64001,529.83002,1658800,529.83002
2015-02-04,533.14001,536.75,525.03003,526.09998,1694800,526.09998
2015-02-03,529.94,537.45001,526.81,533.29999,2353100,533.29999
2015-02-02,534.32001,536.5,521.71997,532.20001,3768900,532.20001
2015-01-30,519,543.09998,518.17999,537.54999,6055400,537.54999
2015-01-29,512.90002,515.19,503.48001,513.22998,3950900,513.22998
2015-01-28,525,525.69,512.34998,512.42999,1791100,512.42999
2015-01-27,531.40002,532.78003,520.85999,521.19,1957400,521.19
2015-01-26,541.5,541.5,532.07001,536.71997,1544700,536.71997
