Period,MSFT Dividend Yield (TTM)
2015-05-04 00:00:00,2.5719371891
2015-05-01 00:00:00,2.3636
2015-04-30 00:00:00,2.3643
2015-04-29 00:00:00,2.3441
2015-04-28 00:00:00,2.3395
2015-04-27 00:00:00,2.3943
2015-04-24 00:00:00,2.4023
2015-04-23 00:00:00,2.6534
2015-04-22 00:00:00,2.6754
2015-04-21 00:00:00,2.6973
2015-04-20 00:00:00,2.6803
2015-04-17 00:00:00,2.7634
2015-04-16 00:00:00,2.7277
2015-04-15 00:00:00,2.7216
2015-04-14 00:00:00,2.7611
2015-04-13 00:00:00,2.7538
2015-04-10 00:00:00,2.7565
2015-04-09 00:00:00,2.7724
2015-04-08 00:00:00,2.7764
2015-04-07 00:00:00,2.7691
2015-04-06 00:00:00,2.7681
2015-04-02 00:00:00,2.8543
2015-04-01 00:00:00,2.8242
2015-03-31 00:00:00,2.8287
2015-03-30 00:00:00,2.8076
2015-03-27 00:00:00,2.8069
2015-03-26 00:00:00,2.7906
2015-03-25 00:00:00,2.7738
2015-03-24 00:00:00,2.6807
2015-03-23 00:00:00,2.6835
2015-03-20 00:00:00,2.6819
2015-03-19 00:00:00,2.7196
2015-03-18 00:00:00,2.7059
2015-03-17 00:00:00,2.7581
2015-03-16 00:00:00,2.7671
2015-03-13 00:00:00,2.7791
2015-03-12 00:00:00,2.8035
2015-03-11 00:00:00,2.7394
2015-03-10 00:00:00,2.7361
2015-03-09 00:00:00,2.6838
2015-03-06 00:00:00,2.7148
2015-03-05 00:00:00,2.6676
2015-03-04 00:00:00,2.671
2015-03-03 00:00:00,2.6571
2015-03-02 00:00:00,2.6208
2015-02-27 00:00:00,2.6226
2015-02-26 00:00:00,2.6104
2015-02-25 00:00:00,2.6142
2015-02-24 00:00:00,2.6083
2015-02-23 00:00:00,2.6048
2015-02-20 00:00:00,2.6223
2015-02-19 00:00:00,2.6437
2015-02-18 00:00:00,2.6419
2015-02-17 00:00:00,2.6388
2015-02-13 00:00:00,2.6214
2015-02-12 00:00:00,2.6688
2015-02-11 00:00:00,2.7135
2015-02-10 00:00:00,2.6995
2015-02-09 00:00:00,2.7148
2015-02-06 00:00:00,2.7116
2015-02-05 00:00:00,2.7091
2015-02-04 00:00:00,2.7486
2015-02-03 00:00:00,2.7644
2015-02-02 00:00:00,2.7859
2015-01-30 00:00:00,2.8465
2015-01-29 00:00:00,2.7374
2015-01-28 00:00:00,2.7919
2015-01-27 00:00:00,2.6957
2015-01-26 00:00:00,2.4463
2015-01-23 00:00:00,2.4375
2015-01-22 00:00:00,2.4401
2015-01-21 00:00:00,2.5044
2015-01-20 00:00:00,2.479
2015-01-16 00:00:00,2.487
2015-01-15 00:00:00,2.5286
2015-01-14 00:00:00,2.5024
2015-01-13 00:00:00,2.4809
2015-01-12 00:00:00,2.4678
2015-01-09 00:00:00,2.437
2015-01-08 00:00:00,2.4165
2015-01-07 00:00:00,2.4876
2015-01-06 00:00:00,2.5192
2015-01-05 00:00:00,2.4825
2015-01-02 00:00:00,2.4594
2014-12-31 00:00:00,2.4758
2014-12-30 00:00:00,2.4458
2014-12-29 00:00:00,2.4236
2014-12-26 00:00:00,2.4018
2014-12-24 00:00:00,2.3889
2014-12-23 00:00:00,2.3736
2014-12-22 00:00:00,2.3968
2014-12-19 00:00:00,2.4129
2014-12-18 00:00:00,2.42
2014-12-17 00:00:00,2.5142
2014-12-16 00:00:00,2.5465
2014-12-15 00:00:00,2.4641
2014-12-12 00:00:00,2.4494
2014-12-11 00:00:00,2.438
2014-12-10 00:00:00,2.452
2014-12-09 00:00:00,2.4165
2014-12-08 00:00:00,2.4112
2014-12-05 00:00:00,2.3751
2014-12-04 00:00:00,2.3546
2014-12-03 00:00:00,2.3918
2014-12-02 00:00:00,2.3731
2014-12-01 00:00:00,2.3653
2014-11-28 00:00:00,2.4054
2014-11-26 00:00:00,2.4084
2014-11-25 00:00:00,2.4226
2014-11-24 00:00:00,2.4165
2014-11-21 00:00:00,2.3968
2014-11-20 00:00:00,2.3614
2014-11-19 00:00:00,2.3849
2014-11-18 00:00:00,2.3595
2014-11-17 00:00:00,2.2645
2014-11-14 00:00:00,2.259
2014-11-13 00:00:00,2.2576
2014-11-12 00:00:00,2.296
2014-11-11 00:00:00,2.2918
2014-11-10 00:00:00,2.2909
2014-11-07 00:00:00,2.3007
2014-11-06 00:00:00,2.2998
2014-11-05 00:00:00,2.3402
2014-11-04 00:00:00,2.3544
2014-11-03 00:00:00,2.3609
2014-10-31 00:00:00,2.3855
2014-10-30 00:00:00,2.4321
2014-10-29 00:00:00,2.4024
2014-10-28 00:00:00,2.4091
2014-10-27 00:00:00,2.4396
2014-10-24 00:00:00,2.4279
2014-10-23 00:00:00,2.4878
2014-10-22 00:00:00,2.5237
2014-10-21 00:00:00,2.4955
2014-10-20 00:00:00,2.5408
2014-10-17 00:00:00,2.567
2014-10-16 00:00:00,2.6205
2014-10-15 00:00:00,2.5914
2014-10-14 00:00:00,2.5612
2014-10-13 00:00:00,2.5659
2014-10-10 00:00:00,2.5437
2014-10-09 00:00:00,2.4427
2014-10-08 00:00:00,2.3942
2014-10-07 00:00:00,2.4599
2014-10-06 00:00:00,2.43
2014-10-03 00:00:00,2.43
2014-10-02 00:00:00,2.4476
2014-10-01 00:00:00,2.4401
2014-09-30 00:00:00,2.4159
2014-09-29 00:00:00,2.4117
2014-09-26 00:00:00,2.4133
2014-09-25 00:00:00,2.4327
2014-09-24 00:00:00,2.3789
2014-09-23 00:00:00,2.4055
2014-09-22 00:00:00,2.3799
2014-09-19 00:00:00,2.3569
2014-09-18 00:00:00,2.3993
2014-09-17 00:00:00,2.4076
2014-09-16 00:00:00,2.3952
2014-09-15 00:00:00,2.4221
2014-09-12 00:00:00,2.3985
2014-09-11 00:00:00,2.383
2014-09-10 00:00:00,2.3911
2014-09-09 00:00:00,2.3952
2014-09-08 00:00:00,2.4102
2014-09-05 00:00:00,2.4396
2014-09-04 00:00:00,2.4746
2014-09-03 00:00:00,2.4911
2014-09-02 00:00:00,2.4839
2014-08-29 00:00:00,2.4653
2014-08-28 00:00:00,2.4955
2014-08-27 00:00:00,2.4961
2014-08-26 00:00:00,2.4886
2014-08-25 00:00:00,2.4795
2014-08-22 00:00:00,2.4806
2014-08-21 00:00:00,2.4768
2014-08-20 00:00:00,2.4917
2014-08-19 00:00:00,2.4708
2014-08-18 00:00:00,2.372
2014-08-15 00:00:00,2.3889
2014-08-14 00:00:00,2.417
2014-08-13 00:00:00,2.4274
2014-08-12 00:00:00,2.4586
2014-08-11 00:00:00,2.4769
2014-08-08 00:00:00,2.4769
2014-08-07 00:00:00,2.4751
2014-08-06 00:00:00,2.5035
