Period,MSFT Market Cap
2015-05-04 00:00:00,390241.112451
2015-05-01 00:00:00,393598.2862
2015-04-30 00:00:00,393476.9426
2015-04-29 00:00:00,396874.5642
2015-04-28 00:00:00,397643.0739
2015-04-27 00:00:00,388542.3017
2015-04-24 00:00:00,387247.9696
2015-04-23 00:00:00,350602.1935
2015-04-22 00:00:00,347730.3943
2015-04-21 00:00:00,344899.0429
2015-04-20 00:00:00,347083.2282
2015-04-17 00:00:00,336647.6761
2015-04-16 00:00:00,341056.4946
2015-04-15 00:00:00,342814.815
2015-04-14 00:00:00,337906.45
2015-04-13 00:00:00,338798.88
2015-04-10 00:00:00,338474.36
2015-04-09 00:00:00,336527.24
2015-04-08 00:00:00,336040.46
2015-04-07 00:00:00,336932.89
2015-04-06 00:00:00,337054.585
2015-04-02 00:00:00,326872.77
2015-04-01 00:00:00,330361.36
2015-03-31 00:00:00,329834.015
2015-03-30 00:00:00,336027.0459
2015-03-27 00:00:00,336109.0837
2015-03-26 00:00:00,338077.9922
2015-03-25 00:00:00,340128.9385
2015-03-24 00:00:00,351942.3894
2015-03-23 00:00:00,351573.219
2015-03-20 00:00:00,351778.3137
2015-03-19 00:00:00,346897.0614
2015-03-18 00:00:00,348660.8752
2015-03-17 00:00:00,342056.8281
2015-03-16 00:00:00,340949.3171
2015-03-13 00:00:00,339472.6357
2015-03-12 00:00:00,336519.273
2015-03-11 00:00:00,344394.9069
2015-03-10 00:00:00,344805.0962
2015-03-09 00:00:00,351532.2001
2015-03-06 00:00:00,347512.3453
2015-03-05 00:00:00,353665.1843
2015-03-04 00:00:00,353213.9761
2015-03-03 00:00:00,355059.8278
2015-03-02 00:00:00,359982.099
2015-02-27 00:00:00,359735.9854
2015-02-26 00:00:00,361417.7614
2015-02-25 00:00:00,360884.5153
2015-02-24 00:00:00,361704.8939
2015-02-23 00:00:00,362197.121
2015-02-20 00:00:00,359777.0043
2015-02-19 00:00:00,356864.6606
2015-02-18 00:00:00,357110.7741
2015-02-17 00:00:00,357520.9634
2015-02-13 00:00:00,359900.0611
2015-02-12 00:00:00,353501.1086
2015-02-11 00:00:00,347676.421
2015-02-10 00:00:00,349481.2538
2015-02-09 00:00:00,347512.3453
2015-02-06 00:00:00,347922.5346
2015-02-05 00:00:00,348250.686
2015-02-04 00:00:00,343246.377
2015-02-03 00:00:00,341277.4685
2015-02-02 00:00:00,338652.2572
2015-01-30 00:00:00,331432.9261
2015-01-29 00:00:00,344641.0205
2015-01-28 00:00:00,337913.9165
2015-01-27 00:00:00,349973.4809
2015-01-26 00:00:00,385659.947
2015-01-23 00:00:00,387054.5905
2015-01-22 00:00:00,386644.4012
2015-01-21 00:00:00,377370.56
2015-01-20 00:00:00,381233.02
2015-01-16 00:00:00,380000.32
2015-01-15 00:00:00,373754.64
2015-01-14 00:00:00,377658.19
2015-01-13 00:00:00,380945.39
2015-01-12 00:00:00,382958.8
2015-01-09 00:00:00,387807.42
2015-01-08 00:00:00,391094.62
2015-01-07 00:00:00,379918.14
2015-01-06 00:00:00,375151.7
2015-01-05 00:00:00,380698.85
2015-01-02 00:00:00,384273.68
2014-12-31 00:00:00,381726.1
2014-12-30 00:00:00,387578.9387
2014-12-29 00:00:00,391123.3654
2014-12-26 00:00:00,394667.7921
2014-12-24 00:00:00,396810.9338
2014-12-23 00:00:00,399366.2182
2014-12-22 00:00:00,395492.0773
2014-12-19 00:00:00,392854.3644
2014-12-18 00:00:00,391700.3651
2014-12-17 00:00:00,377028.0871
2014-12-16 00:00:00,372247.2324
2014-12-15 00:00:00,384693.9402
2014-12-12 00:00:00,387001.939
2014-12-11 00:00:00,388815.3666
2014-12-10 00:00:00,386589.7963
2014-12-09 00:00:00,392277.3648
2014-12-08 00:00:00,393142.8643
2014-12-05 00:00:00,399118.9326
2014-12-04 00:00:00,402580.9308
2014-12-03 00:00:00,396316.3626
2014-12-02 00:00:00,399448.6467
2014-12-01 00:00:00,400767.5031
2014-11-28 00:00:00,394090.7924
2014-11-26 00:00:00,393596.2212
2014-11-25 00:00:00,391288.2224
2014-11-24 00:00:00,392277.3648
2014-11-21 00:00:00,395492.0773
2014-11-20 00:00:00,401426.9314
2014-11-19 00:00:00,397470.362
2014-11-18 00:00:00,401756.6455
2014-11-17 00:00:00,407691.4995
2014-11-14 00:00:00,408680.6418
2014-11-13 00:00:00,408927.9274
2014-11-12 00:00:00,402086.3596
2014-11-11 00:00:00,402828.2163
2014-11-10 00:00:00,402993.0734
2014-11-07 00:00:00,401262.0743
2014-11-06 00:00:00,401426.9314
2014-11-05 00:00:00,394502.935
2014-11-04 00:00:00,392112.5077
2014-11-03 00:00:00,391040.9368
2014-10-31 00:00:00,387001.939
2014-10-30 00:00:00,379583.3714
2014-10-29 00:00:00,384281.7975
2014-10-28 00:00:00,383210.2267
2014-10-27 00:00:00,378429.372
2014-10-24 00:00:00,380242.7997
2014-10-23 00:00:00,371093.2331
2014-10-22 00:00:00,365817.8073
2014-10-21 00:00:00,369939.2337
2014-10-20 00:00:00,363344.9514
2014-10-17 00:00:00,359635.6677
2014-10-16 00:00:00,352299.5287
2014-10-15 00:00:00,356781.1
2014-10-14 00:00:00,360991.15
2014-10-13 00:00:00,360330.75
2014-10-10 00:00:00,363467.65
2014-10-09 00:00:00,378491.75
2014-10-08 00:00:00,386168.9
2014-10-07 00:00:00,375850.15
2014-10-06 00:00:00,380472.95
2014-10-03 00:00:00,380472.95
2014-10-02 00:00:00,377748.8
2014-10-01 00:00:00,378904.5
2014-09-30 00:00:00,382701.8
2014-09-29 00:00:00,382658.5783
2014-09-26 00:00:00,382411.3828
2014-09-25 00:00:00,379362.6388
2014-09-24 00:00:00,387932.0815
2014-09-23 00:00:00,383647.3601
2014-09-22 00:00:00,387767.2845
2014-09-19 00:00:00,391557.615
2014-09-18 00:00:00,384636.142
2014-09-17 00:00:00,383317.7662
2014-09-16 00:00:00,385295.3299
2014-09-15 00:00:00,381010.6085
2014-09-12 00:00:00,384759.7397
2014-09-11 00:00:00,387272.8936
2014-09-10 00:00:00,385954.5178
2014-09-09 00:00:00,385295.3299
2014-09-08 00:00:00,382905.7737
2014-09-05 00:00:00,378291.4584
2014-09-04 00:00:00,372935.5567
2014-09-03 00:00:00,370463.602
2014-09-02 00:00:00,371534.7824
2014-08-29 00:00:00,374336.331
2014-08-28 00:00:00,369804.4141
2014-08-27 00:00:00,369722.0157
2014-08-26 00:00:00,370834.3952
2014-08-25 00:00:00,372193.9703
2014-08-22 00:00:00,372029.1733
2014-08-21 00:00:00,372605.9627
2014-08-20 00:00:00,370381.2036
2014-08-19 00:00:00,373512.3461
2014-08-18 00:00:00,371699.5794
2014-08-15 00:00:00,369062.8278
2014-08-14 00:00:00,364778.1064
2014-08-13 00:00:00,363212.5351
2014-08-12 00:00:00,358598.2198
2014-08-11 00:00:00,355961.4682
2014-08-08 00:00:00,355961.4682
2014-08-07 00:00:00,356208.6636
2014-08-06 00:00:00,352171.1377
2014-08-05 00:00:00,354972.6863
2014-08-04 00:00:00,357362.2425
2014-08-01 00:00:00,353159.9196
2014-07-31 00:00:00,355631.8742
2014-07-30 00:00:00,359080.2509
2014-07-29 00:00:00,361605.7646
2014-07-28 00:00:00,362306.1517
2014-07-25 00:00:00,366673.2716
2014-07-24 00:00:00,365849.2867
2014-07-23 00:00:00,369722.0157
2014-07-22 00:00:00,369392.4217
2014-07-21 00:00:00,369395.565
2014-07-18 00:00:00,368200.91
2014-07-17 00:00:00,366882.67
2014-07-16 00:00:00,363175.12
2014-07-15 00:00:00,349745.55
2014-07-14 00:00:00,347191.46
2014-07-11 00:00:00,346779.51
2014-07-10 00:00:00,343442.715
2014-07-09 00:00:00,343319.13
2014-07-08 00:00:00,344225.42
2014-07-07 00:00:00,345955.61
2014-07-03 00:00:00,344390.2
2014-07-02 00:00:00,345214.1
2014-07-01 00:00:00,344966.93
2014-06-30 00:00:00,343566.3
2014-06-27 00:00:00,349002.407
2014-06-26 00:00:00,344624.3886
2014-06-25 00:00:00,347185.1164
2014-06-24 00:00:00,344830.8989
2014-06-23 00:00:00,346854.6999
2014-06-20 00:00:00,344293.9722
2014-06-19 00:00:00,342889.7021
2014-06-18 00:00:00,344046.1598
2014-06-17 00:00:00,344293.9722
2014-06-16 00:00:00,342807.098
2014-06-13 00:00:00,340576.7868
2014-06-12 00:00:00,335207.519
2014-06-11 00:00:00,337520.4343
2014-06-10 00:00:00,339585.5373
2014-06-09 00:00:00,340907.2032
2014-06-06 00:00:00,342641.8898
2014-06-05 00:00:00,340411.5785
2014-06-04 00:00:00,333059.8118
2014-06-03 00:00:00,332811.9995
2014-06-02 00:00:00,336942.2055
2014-05-30 00:00:00,338181.2673
2014-05-29 00:00:00,333225.0201
2014-05-28 00:00:00,330499.0841
2014-05-27 00:00:00,331985.9583
2014-05-23 00:00:00,331407.7294
2014-05-22 00:00:00,331242.5212
2014-05-21 00:00:00,333307.6242
2014-05-20 00:00:00,327773.1482
2014-05-19 00:00:00,328351.377
2014-05-16 00:00:00,329012.21
2014-05-15 00:00:00,327112.3152
2014-05-14 00:00:00,332398.9789
2014-05-13 00:00:00,333885.853
2014-05-12 00:00:00,330168.6676
2014-05-09 00:00:00,326616.6905
2014-05-08 00:00:00,327442.7317
2014-05-07 00:00:00,325666.7431
2014-05-06 00:00:00,322651.6927
2014-05-05 00:00:00,325708.0452
2014-05-02 00:00:00,327855.7523
2014-05-01 00:00:00,330416.48
2014-04-30 00:00:00,333720.6448
2014-04-29 00:00:00,334629.2901
2014-04-28 00:00:00,337603.0384
2014-04-25 00:00:00,329673.0429
2014-04-24 00:00:00,329260.0223
2014-04-23 00:00:00,327855.7523
2014-04-22 00:00:00,330333.8759
2014-04-21 00:00:00,329920.8553
2014-04-17 00:00:00,330499.0841
2014-04-16 00:00:00,333704
2014-04-15 00:00:00,328335
2014-04-14 00:00:00,323626.8
2014-04-11 00:00:00,323866.34
2014-04-10 00:00:00,325113.6
2014-04-09 00:00:00,334282.2
2014-04-08 00:00:00,328913.2
2014-04-07 00:00:00,328748
2014-04-04 00:00:00,329326.2
2014-04-03 00:00:00,338742.6
2014-04-02 00:00:00,341551
2014-04-01 00:00:00,342129.2
2014-03-31 00:00:00,338577.4
2014-03-28 00:00:00,334519.1651
2014-03-27 00:00:00,326716.4848
2014-03-26 00:00:00,330285.796
2014-03-25 00:00:00,334851.1941
2014-03-24 00:00:00,336179.3098
2014-03-21 00:00:00,333357.0638
2014-03-20 00:00:00,334768.1868
2014-03-19 00:00:00,325969.4197
2014-03-18 00:00:00,328293.6223
2014-03-17 00:00:00,315842.5368
2014-03-14 00:00:00,312937.2835
2014-03-13 00:00:00,314514.421
2014-03-12 00:00:00,317668.696
2014-03-11 00:00:00,315593.5151
2014-03-10 00:00:00,313933.3703
2014-03-07 00:00:00,314597.4282
2014-03-06 00:00:00,316672.6092
2014-03-05 00:00:00,316340.5802
2014-03-04 00:00:00,318830.7973
2014-03-03 00:00:00,313601.3414
2014-02-28 00:00:00,318000.7249
2014-02-27 00:00:00,314265.3993
2014-02-26 00:00:00,311028.117
2014-02-25 00:00:00,311609.1677
2014-02-24 00:00:00,312854.2763
2014-02-21 00:00:00,315261.4861
2014-02-20 00:00:00,313352.3197
2014-02-19 00:00:00,311360.146
2014-02-18 00:00:00,310613.0809
2014-02-14 00:00:00,312273.2256
2014-02-13 00:00:00,312190.2184
2014-02-12 00:00:00,311028.117
2014-02-11 00:00:00,308579.4035
2014-02-10 00:00:00,305466.6322
2014-02-07 00:00:00,303474.4585
2014-02-06 00:00:00,300320.1835
2014-02-05 00:00:00,297331.9229
2014-02-04 00:00:00,301731.3065
2014-02-03 00:00:00,302810.4006
2014-01-31 00:00:00,314099.3848
2014-01-30 00:00:00,305964.6756
2014-01-29 00:00:00,304304.5308
2014-01-28 00:00:00,301067.2486
2014-01-27 00:00:00,299075.0749
2014-01-24 00:00:00,305508.1358
2014-01-23 00:00:00,299282.593
2014-01-22 00:00:00,298245.0025
2014-01-21 00:00:00,300237.1762
2014-01-17 00:00:00,301980.3282
2014-01-16 00:00:00,306187
2014-01-15 00:00:00,305108
2014-01-14 00:00:00,296974
2014-01-13 00:00:00,290334
2014-01-10 00:00:00,299132
2014-01-09 00:00:00,294899
2014-01-08 00:00:00,296808
2014-01-07 00:00:00,302203
2014-01-06 00:00:00,299879
2014-01-03 00:00:00,306353
2014-01-02 00:00:00,308428
2013-12-31 00:00:00,310503
2013-12-30 00:00:00,311295.7379
2013-12-27 00:00:00,311295.7379
2013-12-26 00:00:00,312547.9332
2013-12-24 00:00:00,309542.6646
2013-12-23 00:00:00,305702.5991
2013-12-20 00:00:00,307205.2334
2013-12-19 00:00:00,302613.8509
2013-12-18 00:00:00,305368.6804
2013-12-17 00:00:00,304867.8023
2013-12-16 00:00:00,307914.8107
2013-12-13 00:00:00,306286.9569
2013-12-12 00:00:00,310711.3801
2013-12-11 00:00:00,313967.0878
2013-12-10 00:00:00,318141.0719
2013-12-09 00:00:00,323108.1131
2013-12-06 00:00:00,320228.064
2013-12-05 00:00:00,317222.7954
2013-12-04 00:00:00,325069.8856
2013-12-03 00:00:00,319810.6656
2013-12-02 00:00:00,320979.3811
2013-11-29 00:00:00,318308.0313
2013-11-27 00:00:00,313883.6081
2013-11-26 00:00:00,311796.616
2013-11-25 00:00:00,314217.5268
2013-11-22 00:00:00,313633.169
2013-11-21 00:00:00,312214.0144
2013-11-20 00:00:00,309542.6646
2013-11-19 00:00:00,306704.3553
2013-11-18 00:00:00,310544.4208
2013-11-15 00:00:00,315895.4684
2013-11-14 00:00:00,317398.1027
2013-11-13 00:00:00,318516.7305
2013-11-12 00:00:00,311880.0957
2013-11-11 00:00:00,313800.1284
2013-11-08 00:00:00,315386.2424
2013-11-07 00:00:00,313048.8112
2013-11-06 00:00:00,318725.4297
2013-11-05 00:00:00,305869.5585
2013-11-04 00:00:00,300025.9807
2013-11-01 00:00:00,296561.5739
2013-10-31 00:00:00,295559.8177
2013-10-30 00:00:00,296686.7934
2013-10-29 00:00:00,296519.834
2013-10-28 00:00:00,296937.2324
2013-10-25 00:00:00,298272.9074
2013-10-24 00:00:00,281493.4911
2013-10-23 00:00:00,281827.4098
2013-10-22 00:00:00,288672.7438
2013-10-21 00:00:00,292095.4108
2013-10-18 00:00:00,291844.9718
2013-10-17 00:00:00,291511.053
2013-10-16 00:00:00,289173.6219
2013-10-15 00:00:00,287853.54
2013-10-14 00:00:00,287519.7
2013-10-11 00:00:00,284848.98
2013-10-10 00:00:00,281760.96
2013-10-09 00:00:00,276002.22
2013-10-08 00:00:00,275501.46
2013-10-07 00:00:00,277921.8
2013-10-04 00:00:00,282762.48
2013-10-03 00:00:00,282595.56
2013-10-02 00:00:00,283096.32
2013-10-01 00:00:00,280258.68
2013-09-30 00:00:00,277754.88
2013-09-27 00:00:00,278161.9462
2013-09-26 00:00:00,273981.5743
2013-09-25 00:00:00,271765.9772
2013-09-24 00:00:00,271347.94
2013-09-23 00:00:00,273730.752
2013-09-20 00:00:00,274157.1499
2013-09-19 00:00:00,281255.4214
2013-09-18 00:00:00,278579.9834
2013-09-17 00:00:00,275319.2933
2013-09-16 00:00:00,274240.7574
2013-09-13 00:00:00,276155.3677
2013-09-12 00:00:00,272306.2747
2013-09-11 00:00:00,272722.7725
2013-09-10 00:00:00,269807.2878
2013-09-09 00:00:00,263684.7698
2013-09-06 00:00:00,259494.8018
2013-09-05 00:00:00,260186.1882
2013-09-04 00:00:00,259852.9899
2013-09-03 00:00:00,265559.01
2013-08-30 00:00:00,278220.5438
2013-08-29 00:00:00,279470.0372
2013-08-28 00:00:00,275055.1603
2013-08-27 00:00:00,277054.3499
2013-08-26 00:00:00,284468.0111
2013-08-23 00:00:00,289465.9849
2013-08-22 00:00:00,269807.2878
2013-08-21 00:00:00,263309.9218
2013-08-20 00:00:00,263393.2214
2013-08-19 00:00:00,261502.3213
2013-08-16 00:00:00,264892.6135
2013-08-15 00:00:00,264809.314
2013-08-14 00:00:00,269474.0895
2013-08-13 00:00:00,268474.4948
2013-08-12 00:00:00,273805.6669
2013-08-09 00:00:00,272389.5743
2013-08-08 00:00:00,273972.266
2013-08-07 00:00:00,267083.3921
2013-08-06 00:00:00,263060.0231
2013-08-05 00:00:00,264059.6179
2013-08-02 00:00:00,265642.3096
2013-08-01 00:00:00,263809.7192
2013-07-31 00:00:00,265225.8118
2013-07-30 00:00:00,265309.1113
2013-07-29 00:00:00,262726.8249
2013-07-26 00:00:00,263393.2214
2013-07-25 00:00:00,261477.3314
2013-07-24 00:00:00,266225.4065
2013-07-23 00:00:00,265059.2126
2013-07-22 00:00:00,266641.9044
2013-07-19 00:00:00,261560.631
2013-07-18 00:00:00,295213.6548
2013-07-17 00:00:00,297642.72
2013-07-16 00:00:00,302056.56
2013-07-15 00:00:00,301223.76
2013-07-12 00:00:00,297059.76
2013-07-11 00:00:00,297184.68
2013-07-10 00:00:00,288981.6
2013-07-09 00:00:00,286066.8
2013-07-08 00:00:00,285858.6
2013-07-05 00:00:00,284900.88
2013-07-03 00:00:00,283235.28
2013-07-02 00:00:00,282652.32
2013-07-01 00:00:00,286150.08
2013-06-28 00:00:00,288488.9775
2013-06-27 00:00:00,289115.3105
2013-06-26 00:00:00,286860.5117
2013-06-25 00:00:00,281181.7592
2013-06-24 00:00:00,281557.559
2013-06-21 00:00:00,277799.561
2013-06-20 00:00:00,279678.56
2013-06-19 00:00:00,288864.7773
2013-06-18 00:00:00,292121.7089
2013-06-17 00:00:00,292288.731
2013-06-14 00:00:00,287278.067
2013-06-13 00:00:00,289908.6656
2013-06-12 00:00:00,292288.731
2013-06-11 00:00:00,290952.5539
2013-06-10 00:00:00,296213.7511
2013-06-07 00:00:00,297883.9724
2013-06-06 00:00:00,291954.6867
2013-06-05 00:00:00,290451.4875
2013-06-04 00:00:00,292205.2199
2013-06-03 00:00:00,297215.8839
2013-05-31 00:00:00,291453.6203
2013-05-30 00:00:00,292539.2642
2013-05-29 00:00:00,291286.5982
2013-05-28 00:00:00,292455.7531
2013-05-24 00:00:00,286184.0721
2013-05-23 00:00:00,285190.2904
2013-05-22 00:00:00,289031.7994
2013-05-21 00:00:00,291036.065
2013-05-20 00:00:00,292956.8195
2013-05-17 00:00:00,291203.0871
2013-05-16 00:00:00,284605.7129
2013-05-15 00:00:00,282643.2029
2013-05-14 00:00:00,280012.6043
2013-05-13 00:00:00,275837.051
2013-05-10 00:00:00,272997.6748
2013-05-09 00:00:00,272747.1416
2013-05-08 00:00:00,275503.0067
2013-05-07 00:00:00,278175.3608
2013-05-06 00:00:00,281849.8478
2013-05-03 00:00:00,279678.56
2013-05-02 00:00:00,276922.6949
2013-05-01 00:00:00,273248.208
2013-04-30 00:00:00,276421.6285
2013-04-29 00:00:00,272329.5862
2013-04-26 00:00:00,265481.6788
2013-04-25 00:00:00,266734.3448
2013-04-24 00:00:00,265231.1456
2013-04-23 00:00:00,255543.862
2013-04-22 00:00:00,257464.6165
2013-04-19 00:00:00,248570.6879
2013-04-18 00:00:00,240428.359
2013-04-17 00:00:00,240720.6477
2013-04-16 00:00:00,241931.5582
