Period,MSFT PE Ratio (TTM)
2015-05-04 00:00:00,20.0043065666
2015-05-01 00:00:00,20.1764
2015-04-30 00:00:00,20.1702
2015-04-29 00:00:00,20.3444
2015-04-28 00:00:00,20.3838
2015-04-27 00:00:00,19.9173
2015-04-24 00:00:00,19.8509
2015-04-23 00:00:00,17.9724
2015-04-22 00:00:00,17.8252
2015-04-21 00:00:00,17.68
2015-04-20 00:00:00,17.792
2015-04-17 00:00:00,17.2571
2015-04-16 00:00:00,17.4831
2015-04-15 00:00:00,17.5225
2015-04-14 00:00:00,17.2716
2015-04-13 00:00:00,17.3172
2015-04-10 00:00:00,17.3006
2015-04-09 00:00:00,17.2011
2015-04-08 00:00:00,17.1762
2015-04-07 00:00:00,17.2218
2015-04-06 00:00:00,17.228
2015-04-02 00:00:00,16.7076
2015-04-01 00:00:00,16.8859
2015-03-31 00:00:00,16.859
2015-03-30 00:00:00,16.5063
2015-03-27 00:00:00,16.5103
2015-03-26 00:00:00,16.607
2015-03-25 00:00:00,16.7078
2015-03-24 00:00:00,17.2881
2015-03-23 00:00:00,17.27
2015-03-20 00:00:00,17.28
2015-03-19 00:00:00,17.0403
2015-03-18 00:00:00,17.1269
2015-03-17 00:00:00,16.8025
2015-03-16 00:00:00,16.7481
2015-03-13 00:00:00,16.6756
2015-03-12 00:00:00,16.5305
2015-03-11 00:00:00,16.9173
2015-03-10 00:00:00,16.9375
2015-03-09 00:00:00,17.2679
2015-03-06 00:00:00,17.0705
2015-03-05 00:00:00,17.3727
2015-03-04 00:00:00,17.3506
2015-03-03 00:00:00,17.4412
2015-03-02 00:00:00,17.683
2015-02-27 00:00:00,17.6709
2015-02-26 00:00:00,17.7535
2015-02-25 00:00:00,17.7273
2015-02-24 00:00:00,17.7676
2015-02-23 00:00:00,17.7918
2015-02-20 00:00:00,17.6729
2015-02-19 00:00:00,17.5299
2015-02-18 00:00:00,17.542
2015-02-17 00:00:00,17.5621
2015-02-13 00:00:00,17.679
2015-02-12 00:00:00,17.3647
2015-02-11 00:00:00,17.0785
2015-02-10 00:00:00,17.1672
2015-02-09 00:00:00,17.0705
2015-02-06 00:00:00,17.0906
2015-02-05 00:00:00,17.1067
2015-02-04 00:00:00,16.8609
2015-02-03 00:00:00,16.7642
2015-02-02 00:00:00,16.6353
2015-01-30 00:00:00,16.2806
2015-01-29 00:00:00,16.9294
2015-01-28 00:00:00,16.599
2015-01-27 00:00:00,17.1914
2015-01-26 00:00:00,18.9444
2015-01-23 00:00:00,19.0129
