Date,Open,High,Low,Close,Volume,Adj Close
2015-04-29,48.38,49.55,48.11,49.19,2195200,49.19
2015-04-28,48.21,48.65,47.89,48.4,2019900,48.4
2015-04-27,48.31,48.58,47.89,47.93,2078800,47.93
2015-04-24,49.1,49.3,47.72,48.07,2356600,48.07
2015-04-23,49.46,49.96,49.31,49.36,1822900,49.36
2015-04-22,49.53,49.58,48.85,49.27,1059700,49.27
2015-04-21,50.07,50.2,49.14,49.27,1669200,49.27
2015-04-20,49.78,50.77,49.78,50.02,2200200,50.02
2015-04-17,49.64,50.02,49.31,49.64,1825300,49.64
2015-04-16,50.27,50.49,49.86,50.03,2225400,50.03
2015-04-15,49.84,50.79,49.75,50.56,3427700,50.56
2015-04-14,49.29,49.62,48.99,49.42,2499000,49.42
2015-04-13,49.67,49.85,48.78,48.94,1165900,48.94
2015-04-10,49.71,49.94,49.23,49.38,1205400,49.38
2015-04-09,49.27,49.84,49.15,49.61,2620400,49.61
2015-04-08,50.66,51.09,48.83,49.03,2117200,49.03
2015-04-07,50.11,50.88,49.92,50.42,1801800,50.42
2015-04-06,48.86,50.41,48.5,50.07,2340400,50.07
2015-04-02,47.38,48.57,47.38,48.39,1655500,48.39
2015-04-01,46.88,48.19,46.88,47.64,1733800,47.64
2015-03-31,47.06,47.45,46.6,46.6,1719500,46.6
2015-03-30,47.59,47.82,46.87,47.67,1467700,47.67
2015-03-27,46.95,47.1,46.44,46.86,1335500,46.86
2015-03-26,47.84,48.23,47.16,47.35,1279300,47.35
2015-03-25,46.31,47.43,46.03,47.07,1691500,47.07
2015-03-24,46,46.62,45.6,45.95,2337700,45.95
2015-03-23,47.82,48.14,47.02,47.02,1644600,47.02
2015-03-20,47.39,48.07,46.93,47.69,2802200,47.69
2015-03-19,48.49,48.54,46.6,46.82,2441600,46.82
2015-03-18,46.97,49.58,46.85,49.29,1657600,49.29
2015-03-17,47.17,47.44,46.88,47.24,1016300,47.24
2015-03-16,46.41,47.6,46.19,47.56,1276400,47.56
2015-03-13,46.13,46.89,45.61,46.83,1492700,46.83
2015-03-12,47.5,47.54,46.54,46.59,1001700,46.59
2015-03-11,46.65,47.48,46.5,47.24,985900,47.24
2015-03-10,47.06,47.38,46.1,46.37,1960200,46.37
2015-03-09,48.45,48.85,47.64,47.64,1224900,47.64
2015-03-06,49.4,49.95,48.43,48.6,1834400,48.6
2015-03-05,49.69,49.91,49.25,49.88,1392700,49.88
2015-03-04,49.9,50.04,49.15,49.98,968300,49.98
2015-03-03,49.33,50.37,49.21,49.94,1209900,49.94
2015-03-02,50.52,50.62,48.68,49.11,2022400,49.11
2015-02-27,51.19,51.61,50.71,50.89,2081800,50.89
2015-02-26,51.24,51.32,50.54,51.01,2215500,51.01
2015-02-25,51,51.82,50.61,51.65,1138800,51.65
2015-02-24,51.2,51.21,50.31,51,1531200,51
2015-02-23,49.52,50.67,49.28,50.56,1863100,50.56
2015-02-20,50.07,50.51,49.69,50.27,1355400,50.27
2015-02-19,46.98,50.63,46.98,50.04,2156200,50.04
2015-02-18,50.81,51.61,50.41,50.51,1916900,50.51
2015-02-17,51.49,51.79,51.13,51.6,1618200,51.6
2015-02-13,51.78,52,51.26,51.77,1815400,51.77
2015-02-12,51.31,51.85,50.69,50.89,1722200,50.89
2015-02-11,50.28,51.04,49.79,50.93,2693000,50.58
2015-02-10,51.17,51.3,50.45,51.07,3349000,50.71904
2015-02-09,50.98,51.43,50.36,51.07,3358000,50.71904
2015-02-06,50.77,50.77,49.8,50.51,2203300,50.16288
2015-02-05,49.6,50.43,49.31,50.19,1836400,49.84509
2015-02-04,48.89,49.84,48.35,49.17,2874800,48.83209
2015-02-03,48.8,50.59,48.71,49.91,3058500,49.56701
2015-02-02,46.2,47.68,45.69,47.65,2804000,47.32254
2015-01-30,43.39,45.82,43.05,44.91,3165100,44.60137
2015-01-29,43.83,43.98,42.19,43.68,3957400,43.37982
2015-01-28,46.38,46.56,43,43.4,4028300,43.10175
2015-01-27,46.58,47.03,46.19,46.78,2131400,46.45852
2015-01-26,46.66,47.1,46.17,46.87,1678000,46.5479
2015-01-23,47.73,48.39,46.52,46.63,2368400,46.30955
2015-01-22,48.34,48.49,47.17,48.11,1282600,47.77938
2015-01-21,47.52,48.39,47.41,48.03,1366400,47.69993
2015-01-20,47.03,47.37,46.54,47.37,1537300,47.04446
2015-01-16,45.79,47.76,45.65,47.68,2741100,47.35233
2015-01-15,47.2,47.3,45.44,45.48,1335000,45.16745
2015-01-14,46.45,46.55,44.84,46.36,1822000,46.0414
2015-01-13,46.95,47.32,45.84,46.63,2051600,46.30955
2015-01-12,47.29,47.36,46.08,46.74,2198100,46.4188
2015-01-09,48.56,48.87,47.63,48.51,1389100,48.17663
2015-01-08,47.06,48.59,46.72,48.57,2919000,48.23622
2015-01-07,47.34,47.63,46.18,46.48,2030300,46.16058
2015-01-06,47.61,48.42,46.26,46.58,2380700,46.2599
2015-01-05,49.52,49.52,47.44,47.8,2079800,47.47151
2015-01-02,49.91,50.77,49.61,50.49,1425500,50.14302
2014-12-31,50.02,51.11,49.81,50.52,1282800,50.17282
2014-12-30,50.28,51.07,49.75,50.74,1379100,50.39131
2014-12-29,50.59,51.03,50.04,50.53,1110200,50.18275
2014-12-26,50.74,50.97,50.18,50.33,675500,49.98413
2014-12-24,50.68,50.75,49.55,50.31,651300,49.96426
2014-12-23,50.35,51.41,50.01,51.1,1437900,50.74883
2014-12-22,49.93,50.04,48.94,49.93,1627800,49.58687
2014-12-19,48.93,50.7,48.68,50.66,3812900,50.31186
2014-12-18,48.86,49.35,46.94,48.62,2327900,48.28587
2014-12-17,45.18,48.06,45.17,47.52,2890200,47.19344
2014-12-16,43.78,46.63,43.57,44.84,3415800,44.53185
2014-12-15,45.38,45.78,44.31,44.39,1806900,44.08494
2014-12-12,44.69,45.75,44.19,44.92,3030600,44.6113
2014-12-11,45.54,46.61,45.41,45.66,2070000,45.34622
2014-12-10,45.97,45.97,44.96,45.43,2079000,45.1178
2014-12-09,46.03,47.52,45.94,46.85,2117800,46.52804
2014-12-08,48.15,48.33,45.92,46.15,2632500,45.83285
2014-12-05,49,49.71,48.49,48.92,1930200,48.58381
2014-12-04,48.78,49.64,48.44,49.19,1734000,48.85196
2014-12-03,49.4,50.25,49.07,49.72,1755200,49.37831
2014-12-02,48.55,50.13,48.22,49.08,2461600,48.74271
2014-12-01,48,49.11,47.68,49.03,3402300,48.69305
2014-11-28,49.3,49.39,47.86,48.42,4022200,48.08725
2014-11-26,52.22,52.31,51.46,51.58,864900,51.22554
2014-11-25,53.33,53.37,51.72,52.44,2444100,52.07962
2014-11-24,53.92,53.98,52.67,52.99,1153500,52.62585
