Period,CBOE Volatility Index Level
2015-05-04 00:00:00,12.85
2015-05-01 00:00:00,12.7
2015-04-30 00:00:00,14.55
2015-04-29 00:00:00,13.39
2015-04-28 00:00:00,12.41
2015-04-27 00:00:00,13.12
2015-04-24 00:00:00,12.29
2015-04-23 00:00:00,12.48
2015-04-22 00:00:00,12.71
2015-04-21 00:00:00,13.25
2015-04-20 00:00:00,13.3
2015-04-17 00:00:00,13.89
2015-04-16 00:00:00,12.6
2015-04-15 00:00:00,12.84
2015-04-14 00:00:00,13.67
2015-04-13 00:00:00,13.94
2015-04-10 00:00:00,12.58
2015-04-09 00:00:00,13.09
2015-04-08 00:00:00,13.98
2015-04-07 00:00:00,14.78
2015-04-06 00:00:00,14.74
2015-04-02 00:00:00,14.67
2015-04-01 00:00:00,15.11
2015-03-31 00:00:00,15.29
2015-03-30 00:00:00,14.51
2015-03-27 00:00:00,15.07
2015-03-26 00:00:00,15.8
2015-03-25 00:00:00,15.44
2015-03-24 00:00:00,13.62
2015-03-23 00:00:00,13.41
2015-03-20 00:00:00,13.02
2015-03-19 00:00:00,14.07
2015-03-18 00:00:00,13.97
2015-03-17 00:00:00,15.66
2015-03-16 00:00:00,15.61
2015-03-13 00:00:00,16
2015-03-12 00:00:00,15.42
2015-03-11 00:00:00,16.87
2015-03-10 00:00:00,16.69
2015-03-09 00:00:00,15.06
2015-03-06 00:00:00,15.2
2015-03-05 00:00:00,14.04
2015-03-04 00:00:00,14.23
2015-03-03 00:00:00,13.86
2015-03-02 00:00:00,13.04
2015-02-27 00:00:00,13.34
2015-02-26 00:00:00,13.91
2015-02-25 00:00:00,13.84
2015-02-24 00:00:00,13.69
2015-02-23 00:00:00,14.56
2015-02-20 00:00:00,14.3
2015-02-19 00:00:00,15.29
2015-02-18 00:00:00,15.45
2015-02-17 00:00:00,15.8
2015-02-13 00:00:00,14.69
2015-02-12 00:00:00,15.34
2015-02-11 00:00:00,16.96
2015-02-10 00:00:00,17.23
2015-02-09 00:00:00,18.55
2015-02-06 00:00:00,17.29
2015-02-05 00:00:00,16.85
2015-02-04 00:00:00,18.33
2015-02-03 00:00:00,17.33
2015-02-02 00:00:00,19.43
2015-01-30 00:00:00,20.97
2015-01-29 00:00:00,18.76
2015-01-28 00:00:00,20.44
2015-01-27 00:00:00,17.22
2015-01-26 00:00:00,15.52
2015-01-23 00:00:00,16.66
2015-01-22 00:00:00,16.4
2015-01-21 00:00:00,18.85
2015-01-20 00:00:00,19.89
2015-01-16 00:00:00,20.95
2015-01-15 00:00:00,22.39
2015-01-14 00:00:00,21.48
2015-01-13 00:00:00,20.56
2015-01-12 00:00:00,19.6
2015-01-09 00:00:00,17.55
2015-01-08 00:00:00,17.01
2015-01-07 00:00:00,19.31
2015-01-06 00:00:00,21.12
2015-01-05 00:00:00,19.92
2015-01-02 00:00:00,17.79
2014-12-31 00:00:00,19.2
2014-12-30 00:00:00,15.92
2014-12-29 00:00:00,15.06
2014-12-26 00:00:00,14.5
2014-12-24 00:00:00,14.37
2014-12-23 00:00:00,14.8
2014-12-22 00:00:00,15.25
2014-12-19 00:00:00,16.49
2014-12-18 00:00:00,16.81
2014-12-17 00:00:00,19.44
2014-12-16 00:00:00,23.57
2014-12-15 00:00:00,20.42
2014-12-12 00:00:00,21.08
2014-12-11 00:00:00,20.08
2014-12-10 00:00:00,18.53
2014-12-09 00:00:00,14.89
2014-12-08 00:00:00,14.21
2014-12-05 00:00:00,11.82
2014-12-04 00:00:00,12.38
2014-12-03 00:00:00,12.47
2014-12-02 00:00:00,12.85
2014-12-01 00:00:00,14.29
2014-11-28 00:00:00,13.33
2014-11-26 00:00:00,12.07
2014-11-25 00:00:00,12.25
2014-11-24 00:00:00,12.62
2014-11-21 00:00:00,12.9
2014-11-20 00:00:00,13.58
2014-11-19 00:00:00,13.96
2014-11-18 00:00:00,13.86
2014-11-17 00:00:00,13.99
2014-11-14 00:00:00,13.31
2014-11-13 00:00:00,13.79
2014-11-12 00:00:00,13.02
2014-11-11 00:00:00,12.92
2014-11-10 00:00:00,12.67
2014-11-07 00:00:00,13.12
2014-11-06 00:00:00,13.67
2014-11-05 00:00:00,14.17
2014-11-04 00:00:00,14.89
2014-11-03 00:00:00,14.73
2014-10-31 00:00:00,14.03
2014-10-30 00:00:00,14.52
2014-10-29 00:00:00,15.15
2014-10-28 00:00:00,14.39
2014-10-27 00:00:00,16.04
2014-10-24 00:00:00,16.11
2014-10-23 00:00:00,16.53
