Date,Open,High,Low,Close,Volume,Adj Close
2015-04-28,10.56,10.63,10.42,10.58,2326700,10.58
2015-04-27,10.73,10.77,10.49,10.5,2390100,10.5
2015-04-24,10.68,10.85,10.63,10.71,2773900,10.71
2015-04-23,10.43,10.65,10.43,10.61,3142600,10.61
2015-04-22,10.42,10.54,10.42,10.44,3194800,10.44
2015-04-21,10.56,10.61,10.44,10.44,3329300,10.44
2015-04-20,10.47,10.55,10.37,10.53,2232900,10.53
2015-04-17,10.48,10.5,10.35,10.4,1801300,10.4
2015-04-16,10.53,10.62,10.51,10.52,2139300,10.52
2015-04-15,10.58,10.65,10.46,10.53,2435100,10.53
2015-04-14,10.68,10.73,10.52,10.56,3475400,10.56
2015-04-13,10.68,10.81,10.65,10.72,1819000,10.72
2015-04-10,10.74,10.86,10.72,10.72,2554400,10.72
2015-04-09,10.79,10.89,10.66,10.74,2437500,10.74
2015-04-08,10.74,10.82,10.62,10.81,5454700,10.81
2015-04-07,11.02,11.04,10.59,10.75,5958300,10.75
2015-04-06,10.89,11.09,10.87,11,3103000,11
2015-04-02,10.85,10.98,10.83,10.93,2019600,10.93
2015-04-01,10.87,10.93,10.72,10.85,2395200,10.85
2015-03-31,11.06,11.08,10.88,10.9,5900600,10.9
2015-03-30,10.93,11.15,10.89,11.14,2869300,11.14
2015-03-27,10.66,10.92,10.66,10.88,2639300,10.88
2015-03-26,10.71,10.85,10.66,10.7,2640400,10.7
2015-03-25,11.21,11.24,10.76,10.76,5399600,10.76
2015-03-24,11.17,11.37,11.1,11.22,2861300,11.22
2015-03-23,11.16,11.28,11.07,11.19,2431300,11.19
2015-03-20,11.06,11.23,11.06,11.18,3732200,11.18
2015-03-19,11.04,11.15,10.99,11,1455000,11
2015-03-18,11.05,11.16,10.93,11.05,2905000,11.05
2015-03-17,10.8,11.06,10.75,11.05,2588400,11.05
2015-03-16,10.93,10.96,10.78,10.83,2147600,10.83
2015-03-13,10.66,10.99,10.66,10.86,2656500,10.86
2015-03-12,10.83,11.07,10.83,11.04,2349000,11.04
2015-03-11,10.6,10.84,10.58,10.82,3523500,10.82
2015-03-10,10.79,10.89,10.66,10.75,2295100,10.75
2015-03-09,10.84,11,10.84,10.93,1759300,10.93
2015-03-06,11,11.06,10.8,10.84,1802500,10.84
2015-03-05,11,11.13,11,11.04,1579400,11.04
2015-03-04,11.2,11.21,10.97,11.02,1933300,11.02
2015-03-03,11.21,11.28,10.95,11,6112800,11
2015-03-02,11.1,11.39,11.1,11.25,4716800,11.25
2015-02-27,11.26,11.32,11,11.09,4011600,11.09
2015-02-26,11.28,11.4,11.2,11.31,2632100,11.31
2015-02-25,11.35,11.49,11.29,11.39,2426600,11.335
2015-02-24,11.25,11.39,11.25,11.35,1826000,11.29519
2015-02-23,11.23,11.35,11.16,11.29,1584100,11.23548
2015-02-20,11.23,11.36,11.23,11.26,1881800,11.20563
2015-02-19,11.22,11.4,11.19,11.27,2412700,11.21558
2015-02-18,11.08,11.3,11,11.27,3007800,11.21558
2015-02-17,10.95,11.06,10.94,11.04,1995400,10.98669
2015-02-13,11.1,11.12,10.87,10.95,3215000,10.89712
2015-02-12,11,11.14,10.8,11.11,3566800,11.05635
2015-02-11,10.94,11,10.85,10.9,3166400,10.84737
2015-02-10,10.86,11.03,10.82,10.93,4722000,10.87722
2015-02-09,11.02,11.12,10.72,10.83,4319400,10.7777
2015-02-06,11.03,11.11,10.96,11.03,3537000,10.97674
2015-02-05,11.05,11.09,10.9,11.02,7039100,10.96679
2015-02-04,11.28,11.36,10.88,10.91,10852500,10.85732
2015-02-03,10.6,11.5,10.57,11.31,14922900,11.25539
2015-02-02,10.5,10.62,10.18,10.41,5243400,10.35973
2015-01-30,10.54,10.75,10.51,10.54,6594300,10.4891
2015-01-29,10.52,10.61,10.3,10.59,5452400,10.53886
2015-01-28,10.61,10.64,10.43,10.47,3053400,10.41944
2015-01-27,10.44,10.67,10.29,10.56,4963700,10.50901
2015-01-26,10.54,10.66,10.48,10.53,5101800,10.47915
2015-01-23,10.47,10.66,10.42,10.53,4339500,10.47915
2015-01-22,10.26,10.48,10.25,10.46,2972000,10.40949
2015-01-21,10.25,10.37,10.16,10.23,3992800,10.1806
2015-01-20,10.03,10.26,9.97,10.23,6099000,10.1806
2015-01-16,9.92,10.04,9.9,10.04,3085600,9.99152
2015-01-15,9.99,10.09,9.91,9.93,2783200,9.88205
2015-01-14,9.94,10.05,9.85,10.04,3840100,9.99152
2015-01-13,9.95,10.13,9.81,9.97,5037800,9.92186
2015-01-12,9.9,9.96,9.8,9.93,3997200,9.88205
2015-01-09,9.65,9.96,9.61,9.93,7336500,9.88205
2015-01-08,9.65,9.8,9.48,9.68,8144800,9.63326
2015-01-07,9.02,9.47,8.99,9.46,6225700,9.41432
2015-01-06,9,9.08,8.84,8.96,2911800,8.91673
2015-01-05,8.99,9.06,8.94,8.97,3508700,8.92669
2015-01-02,9.1,9.18,9,9.06,3150100,9.01625
2014-12-31,9.21,9.26,9.03,9.03,2951200,8.9864
2014-12-30,9.08,9.29,9.02,9.15,3451800,9.10582
2014-12-29,8.93,9.09,8.92,9.07,1584300,9.0262
2014-12-26,9,9.1,8.91,8.92,1341500,8.87693
2014-12-24,8.89,9,8.87,8.99,1986400,8.94659
2014-12-23,8.76,8.89,8.75,8.85,2907800,8.80727
2014-12-22,8.64,8.75,8.61,8.75,2624000,8.70775
2014-12-19,8.79,8.8,8.64,8.64,7317800,8.59828
2014-12-18,8.72,8.81,8.56,8.81,3634700,8.76746
2014-12-17,8.51,8.64,8.47,8.63,3686800,8.58833
2014-12-16,8.59,8.61,8.47,8.51,4617000,8.46891
