Period,XOM Market Cap
2015-05-04 00:00:00,373663.011969
2015-05-01 00:00:00,372698.2332
2015-04-30 00:00:00,366490.0915
2015-04-29 00:00:00,368587.4367
2015-04-28 00:00:00,368293.8083
2015-04-27 00:00:00,364980.003
2015-04-24 00:00:00,364812.2154
2015-04-23 00:00:00,367203.1889
2015-04-22 00:00:00,366867.6136
2015-04-21 00:00:00,364434.6933
2015-04-20 00:00:00,365944.7818
2015-04-17 00:00:00,364644.4278
2015-04-16 00:00:00,368000.18
2015-04-15 00:00:00,369468.3216
2015-04-14 00:00:00,363386.0207
2015-04-13 00:00:00,357974.8702
2015-04-10 00:00:00,358897.7021
2015-04-09 00:00:00,355080.5339
2015-04-08 00:00:00,352605.6666
2015-04-07 00:00:00,359694.6932
2015-04-06 00:00:00,357093.9852
2015-04-02 00:00:00,353612.3923
2015-04-01 00:00:00,354283.5427
2015-03-31 00:00:00,356548.6755
2015-03-30 00:00:00,359191.3304
2015-03-27 00:00:00,350592.2153
2015-03-26 00:00:00,353696.2861
2015-03-25 00:00:00,355961.4189
2015-03-24 00:00:00,354535.2242
2015-03-23 00:00:00,358352.3923
2015-03-20 00:00:00,354619.118
2015-03-19 00:00:00,354073.8082
2015-03-18 00:00:00,361036.9941
2015-03-17 00:00:00,352689.5604
2015-03-16 00:00:00,355541.9498
2015-03-13 00:00:00,351808.6755
2015-03-12 00:00:00,353276.8171
2015-03-11 00:00:00,352437.879
2015-03-10 00:00:00,353444.6047
2015-03-09 00:00:00,357219.8259
2015-03-06 00:00:00,359191.3304
2015-03-05 00:00:00,363847.4366
2015-03-04 00:00:00,365693.1004
2015-03-03 00:00:00,367538.7641
2015-03-02 00:00:00,369300.534
2015-02-27 00:00:00,371397.8792
2015-02-26 00:00:00,371859.2951
2015-02-25 00:00:00,375844.2509
2015-02-24 00:00:00,375089.2066
2015-02-23 00:00:00,373369.3836
2015-02-20 00:00:00,377186.5518
2015-02-19 00:00:00,375173.1004
2015-02-18 00:00:00,381758.7642
2015-02-17 00:00:00,390315.9324
2015-02-13 00:00:00,391658.2333
2015-02-12 00:00:00,387463.543
2015-02-11 00:00:00,380038.9412
2015-02-10 00:00:00,381758.7642
2015-02-09 00:00:00,384065.8439
2015-02-06 00:00:00,383814.1624
2015-02-05 00:00:00,387421.5961
2015-02-04 00:00:00,383646.3748
2015-02-03 00:00:00,386960.1802
2015-02-02 00:00:00,375760.3571
2015-01-30 00:00:00,367251.42
2015-01-29 00:00:00,367923.58
2015-01-28 00:00:00,369477.95
2015-01-27 00:00:00,382080.95
2015-01-26 00:00:00,385483.76
2015-01-23 00:00:00,381828.89
2015-01-22 00:00:00,390146.87
2015-01-21 00:00:00,385945.87
2015-01-20 00:00:00,382669.09
2015-01-16 00:00:00,382795.12
2015-01-15 00:00:00,373720.96
2015-01-14 00:00:00,376997.74
2015-01-13 00:00:00,378090
2015-01-12 00:00:00,379476.33
2015-01-09 00:00:00,386912.1
2015-01-08 00:00:00,387458.23
2015-01-07 00:00:00,381114.72
2015-01-06 00:00:00,377291.81
2015-01-05 00:00:00,379308.29
2015-01-02 00:00:00,389978.83
2014-12-31 00:00:00,388382.45
2014-12-30 00:00:00,393895.8504
2014-12-29 00:00:00,394107.5768
2014-12-26 00:00:00,394700.4108
2014-12-24 00:00:00,397114.0921
2014-12-23 00:00:00,400544.0603
2014-12-22 00:00:00,395208.5542
2014-12-19 00:00:00,396521.2581
2014-12-18 00:00:00,386019.6272
2014-12-17 00:00:00,376957.736
2014-12-16 00:00:00,365905.6163
2014-12-15 00:00:00,367980.5353
2014-12-12 00:00:00,366710.1768
2014-12-11 00:00:00,377719.9511
2014-12-10 00:00:00,375475.651
2014-12-09 00:00:00,386951.2235
2014-12-08 00:00:00,388306.2726
2014-12-05 00:00:00,397283.4733
2014-12-04 00:00:00,399612.464
2014-12-03 00:00:00,402068.4906
2014-12-02 00:00:00,398850.2488
2014-12-01 00:00:00,391058.7162
2014-11-28 00:00:00,383394.2194
2014-11-26 00:00:00,400078.2621
2014-11-25 00:00:00,401348.6207
2014-11-24 00:00:00,405329.0776
2014-11-21 00:00:00,409944.7138
2014-11-20 00:00:00,405752.5305
2014-11-19 00:00:00,404863.2794
2014-11-18 00:00:00,401729.7283
2014-11-17 00:00:00,402746.0151
2014-11-14 00:00:00,402661.3246
2014-11-13 00:00:00,400840.4773
2014-11-12 00:00:00,403889.3379
2014-11-11 00:00:00,408250.9023
2014-11-10 00:00:00,407700.4136
2014-11-07 00:00:00,409013.1175
2014-11-06 00:00:00,407615.723
2014-11-05 00:00:00,402576.634
2014-11-04 00:00:00,400247.6433
2014-11-03 00:00:00,403381.1944
2014-10-31 00:00:00,409521.2609
2014-10-30 00:00:00,399951.2263
2014-10-29 00:00:00,400544.0603
2014-10-28 00:00:00,402703.6699
2014-10-27 00:00:00,396817.6751
2014-10-24 00:00:00,400120.6074
2014-10-23 00:00:00,398511.4865
2014-10-22 00:00:00,394361.6485
2014-10-21 00:00:00,396563.6034
2014-10-20 00:00:00,388602.6896
2014-10-17 00:00:00,386231.3536
2014-10-16 00:00:00,383648.2912
2014-10-15 00:00:00,382039.1703
2014-10-14 00:00:00,383436.5647
2014-10-13 00:00:00,384664.578
2014-10-10 00:00:00,387882.8198
2014-10-09 00:00:00,388814.4161
2014-10-08 00:00:00,400628.7508
2014-10-07 00:00:00,395377.9354
2014-10-06 00:00:00,400247.6433
2014-10-03 00:00:00,397706.9261
2014-10-02 00:00:00,395081.5184
2014-10-01 00:00:00,393218.3258
2014-09-30 00:00:00,398257.4148
2014-09-29 00:00:00,402714.8656
2014-09-26 00:00:00,406979.5576
2014-09-25 00:00:00,401947.221
2014-09-24 00:00:00,408642.7874
2014-09-23 00:00:00,409538.3728
2014-09-22 00:00:00,411713.3657
2014-09-19 00:00:00,414186.887
2014-09-18 00:00:00,412011.8941
2014-09-17 00:00:00,414016.2994
2014-09-16 00:00:00,415508.9416
2014-09-15 00:00:00,410647.1927
2014-09-12 00:00:00,408472.1998
2014-09-11 00:00:00,413803.0648
2014-09-10 00:00:00,412864.8325
2014-09-09 00:00:00,415338.3539
2014-09-08 00:00:00,416958.9368
2014-09-05 00:00:00,423313.3279
2014-09-04 00:00:00,419475.1051
2014-09-03 00:00:00,422673.6241
2014-09-02 00:00:00,420029.5151
2014-08-29 00:00:00,424166.2663
2014-08-28 00:00:00,424635.3824
2014-08-27 00:00:00,424464.7948
2014-08-26 00:00:00,424933.9109
2014-08-25 00:00:00,421138.335
2014-08-22 00:00:00,420072.162
2014-08-21 00:00:00,423398.6218
2014-08-20 00:00:00,425189.7924
2014-08-19 00:00:00,424294.2071
2014-08-18 00:00:00,424422.1478
2014-08-15 00:00:00,422332.4488
2014-08-14 00:00:00,422588.3303
2014-08-13 00:00:00,422588.3303
2014-08-12 00:00:00,420029.5151
2014-08-11 00:00:00,421053.0412
2014-08-08 00:00:00,425360.3801
2014-08-07 00:00:00,419091.2828
2014-08-06 00:00:00,422119.2142
2014-08-05 00:00:00,418792.7544
2014-08-04 00:00:00,427023.61
2014-08-01 00:00:00,421351.5696
2014-07-31 00:00:00,421948.6265
2014-07-30 00:00:00,440329.449
2014-07-29 00:00:00,441608.8566
2014-07-28 00:00:00,445105.904
2014-07-25 00:00:00,440030.9206
2014-07-24 00:00:00,444722.0818
2014-07-23 00:00:00,444594.141
2014-07-22 00:00:00,441566.2097
2014-07-21 00:00:00,439604.4514
2014-07-18 00:00:00,438111.8092
2014-07-17 00:00:00,436320.6385
2014-07-16 00:00:00,442547.0888
2014-07-15 00:00:00,436661.8139
2014-07-14 00:00:00,437898.5746
2014-07-11 00:00:00,433889.7641
2014-07-10 00:00:00,437429.4584
2014-07-09 00:00:00,441608.8566
2014-07-08 00:00:00,438538.2784
2014-07-07 00:00:00,437770.6338
2014-07-03 00:00:00,437514.7523
2014-07-02 00:00:00,433164.7664
2014-07-01 00:00:00,432269.1811
2014-06-30 00:00:00,429369.1906
2014-06-27 00:00:00,434633.6634
2014-06-26 00:00:00,438155.0506
2014-06-25 00:00:00,438627.4319
2014-06-24 00:00:00,441161.1129
