Date,Open,High,Low,Close,Volume,Adj Close
2015-05-01,87.85,88.95,87.7,88.85,12081400,88.85
2015-04-30,88.67,88.67,87.22,87.37,13620900,87.37
2015-04-29,87.5,88.07,86.96,87.87,12414900,87.87
2015-04-28,87.22,87.86,87.04,87.8,9556300,87.8
2015-04-27,87.41,87.6,86.76,87.01,10501700,87.01
2015-04-24,87.19,87.36,86.66,86.97,8385700,86.97
2015-04-23,87.36,88.38,87.31,87.54,9808100,87.54
2015-04-22,87.04,87.8,86.34,87.46,8649500,87.46
2015-04-21,87.38,87.62,86.69,86.88,10039000,86.88
2015-04-20,87.13,88.1,87.08,87.24,11593600,87.24
2015-04-17,87.14,87.36,86.16,86.93,14351100,86.93
2015-04-16,87.88,88.16,87.11,87.73,9477000,87.73
2015-04-15,87.14,88.53,87.14,88.08,15177200,88.08
2015-04-14,85.6,87.48,85.53,86.63,15693800,86.63
2015-04-13,85.92,86.25,85.24,85.34,9880500,85.34
2015-04-10,85.37,86.04,84.77,85.56,13372400,85.56
2015-04-09,84,84.73,83.81,84.65,13281800,84.65
2015-04-08,85.8,85.9,84.02,84.06,16257100,84.06
2015-04-07,85.01,86.17,84.76,85.75,11836100,85.75
2015-04-06,85.15,85.64,84.2,85.13,10916400,85.13
2015-04-02,84.09,84.94,83.85,84.3,11297400,84.3
2015-04-01,85.7,86,84.26,84.46,14522300,84.46
2015-03-31,84.85,85.34,84.46,85,13354000,85
2015-03-30,84.27,85.82,84.25,85.63,15653200,85.63
2015-03-27,84.04,84.05,83.33,83.58,11579300,83.58
2015-03-26,85.3,85.57,84.09,84.32,14400700,84.32
2015-03-25,85.05,85.57,84.77,84.86,11934700,84.86
2015-03-24,85.3,85.78,84.5,84.52,10174300,84.52
2015-03-23,85.02,85.78,85.01,85.43,17450700,85.43
2015-03-20,84.67,85.4,84.39,84.54,36083500,84.54
2015-03-19,85.19,85.5,84.33,84.41,12738500,84.41
2015-03-18,83.54,86.37,83.43,86.07,18745700,86.07
2015-03-17,84.54,84.85,84.02,84.08,12979700,84.08
2015-03-16,83.71,84.86,83.27,84.76,13516200,84.76
2015-03-13,83.9,84.18,82.68,83.87,16799900,83.87
2015-03-12,84.43,84.72,84.06,84.22,10792900,84.22
2015-03-11,84.93,84.93,84,84.02,13004700,84.02
2015-03-10,84.82,85.53,84.24,84.26,17195500,84.26
2015-03-09,86.12,86.38,85.12,85.16,14503800,85.16
2015-03-06,86.41,86.6,85.32,85.63,16070500,85.63
2015-03-05,87.07,87.19,86.52,86.74,12527600,86.74
2015-03-04,87.96,87.96,86.93,87.18,13467600,87.18
2015-03-03,87.93,88.02,87.13,87.62,13493800,87.62
2015-03-02,88.34,88.52,87.35,88.04,13793700,88.04
2015-02-27,88.89,89.28,88.34,88.54,13090600,88.54
2015-02-26,89.13,89.18,88.08,88.65,13984000,88.65
2015-02-25,89.57,89.7,89.08,89.6,9925700,89.6
2015-02-24,89.33,89.78,89.13,89.42,9990700,89.42
2015-02-23,89.26,89.55,88.74,89.01,12771800,89.01
2015-02-20,89.4,89.94,88.85,89.92,15959900,89.92
2015-02-19,89.64,90.42,88.58,89.44,19350600,89.44
2015-02-18,91.99,91.99,90.39,91.01,19177900,91.01
2015-02-17,92.75,93.07,92.29,93.05,11758700,93.05
2015-02-13,92.7,93.45,92.28,93.37,12061000,93.37
2015-02-12,91.46,92.66,91.02,92.37,14843000,92.37
2015-02-11,90.02,90.83,89.79,90.6,12240600,90.6
2015-02-10,91.74,91.74,90.3,91.01,12952900,91.01
2015-02-09,91.4,92.29,91.24,91.56,11360700,91.56
2015-02-06,92.1,92.28,90.96,91.5,12185900,91.5
2015-02-05,92.39,92.54,91.7,92.36,12809000,91.67
2015-02-04,91.64,92.27,90.51,91.46,19632200,90.77672
2015-02-03,90.9,92.33,90.81,92.25,21900900,91.56082
2015-02-02,87.85,89.59,87.5,89.58,20306300,88.91077
2015-01-30,87.16,88.42,86.25,87.42,22679900,86.7669
2015-01-29,88.22,88.26,86.03,87.58,22683000,86.92571
2015-01-28,90.88,90.93,87.82,87.95,17829700,87.29294
2015-01-27,91.24,91.6,90.6,90.95,12301500,90.27053
2015-01-26,90.61,91.94,90.47,91.76,10672500,91.07449
2015-01-23,92.28,92.48,90.79,90.89,14706300,90.21098
2015-01-22,92.31,92.97,91.32,92.87,13559000,92.17619
2015-01-21,91.74,91.99,91.01,91.87,14276400,91.18366
2015-01-20,91.14,91.78,90.38,91.09,16761000,90.40948
2015-01-16,88.98,91.19,88.98,91.12,17713100,90.43926
2015-01-15,89.74,90.66,88.51,88.96,18759600,88.29539
2015-01-14,88.95,89.89,87.26,89.74,23272100,89.06957
2015-01-13,90.88,91.43,89.11,90,17469000,89.32763
2015-01-12,91.24,91.34,89.82,90.33,15176300,89.65517
2015-01-09,92.3,92.78,91.37,92.1,14488400,91.41194
2015-01-08,91.25,92.27,91,92.23,15487500,91.54097
2015-01-07,90.65,91.48,90,90.72,13590700,90.04225
2015-01-06,90.24,91.41,89.02,89.81,16670700,89.13905
2015-01-05,92.1,92.4,89.5,90.29,18502400,89.61546
2015-01-02,92.25,93.05,91.81,92.83,10220400,92.13649
2014-12-31,92.42,93.13,92.06,92.45,11337200,91.75932
2014-12-30,92.77,93.39,92.51,93.02,8743400,92.32507
2014-12-29,93.33,93.86,92.89,93.07,9892100,92.37469
2014-12-26,93.99,94.43,92.62,93.21,10581500,92.51365
2014-12-24,94.22,94.25,92.98,93.78,6875700,93.07939
2014-12-23,93.52,95.18,93.05,94.59,13706500,93.88333
2014-12-22,92.96,93.67,92.45,93.33,17871800,92.63275
2014-12-19,90.21,93.64,89.61,93.64,38469000,92.94044
2014-12-18,90.37,91.16,88.4,91.16,22882700,90.47897
2014-12-17,87.24,89.9,87.15,89.02,23323000,88.35495
2014-12-16,86.38,89.2,86.19,86.41,26372400,85.76445
2014-12-15,87.53,88.6,86.5,86.9,21373600,86.25079
2014-12-12,88.71,89,86.6,86.6,24568300,85.95303
2014-12-11,88.86,91.54,88.85,89.2,21522200,88.5336
2014-12-10,90.72,90.73,88.2,88.67,22279400,88.00756
2014-12-09,91.23,92.06,90.76,91.38,15883800,90.69732
2014-12-08,92.9,93.13,91.37,91.7,15735900,91.01492
2014-12-05,93.95,94.59,93.35,93.82,11831900,93.11909
2014-12-04,94.13,94.61,93.07,94.37,12868600,93.66499
2014-12-03,94.67,95.33,94,94.95,16220400,94.24065
2014-12-02,92.32,94.67,92.01,94.19,20805000,93.48633
2014-12-01,90.36,92.87,90.28,92.35,27584200,91.66007
2014-11-28,91.5,91.85,90.11,90.54,19556700,89.86359
2014-11-26,94.64,95.13,94.36,94.48,9822100,93.77416
2014-11-25,96.01,96.03,94.37,94.78,13747400,94.07191
2014-11-24,96.34,96.8,95.25,95.72,10170600,95.0049
2014-11-21,97.2,97.2,96.1,96.81,12374200,96.08675
2014-11-20,95.37,95.9,95.26,95.82,8418600,95.10415
