Date,Open,High,Low,Close,Volume,Adj Close
2015-04-28,49.46,50,48.83,49.83,313200,49.83
2015-04-27,52.05,52.05,48.61,49.4,399700,49.4
2015-04-24,51.2,52.13,50.04,51.98,377800,51.98
2015-04-23,55.75,56.59,51.18,51.27,837900,51.27
2015-04-22,57.19,57.74,56.79,57.58,185700,57.58
2015-04-21,57.2,57.59,56.61,56.88,148900,56.88
2015-04-20,56.1,57.07,55.6,56.8,172900,56.8
2015-04-17,56.3,56.3,55.13,55.55,129000,55.55
2015-04-16,57.12,57.12,56.45,56.7,91000,56.7
2015-04-15,57.26,57.55,56.78,57.22,144100,57.22
2015-04-14,56.43,57.23,56.04,57.1,122700,57.1
2015-04-13,56.54,57.06,56.19,56.37,113700,56.37
2015-04-10,56.7,57.24,56.14,56.47,103300,56.47
2015-04-09,56.91,57.23,55.5,56.34,133200,56.34
2015-04-08,56.15,56.86,55.84,56.83,122200,56.83
2015-04-07,56.95,57.21,56.01,56.09,149900,56.09
2015-04-06,55.99,56.99,55.99,56.89,213600,56.89
2015-04-02,55.39,56.47,55.39,56.27,196400,56.27
2015-04-01,54.97,55.38,54.03,55.36,174500,55.36
2015-03-31,54.2,55.3,54.2,55.17,147300,55.17
2015-03-30,54.29,54.94,54.2,54.59,115000,54.59
2015-03-27,53.14,54.07,53.14,53.8,254500,53.8
2015-03-26,53.79,53.79,52.83,53.26,117000,53.26
2015-03-25,54.75,55.21,53.74,53.79,195800,53.79
2015-03-24,54.29,55.34,54.08,54.49,171600,54.49
2015-03-23,53.99,54.42,53.67,54.28,147900,54.28
2015-03-20,53.17,54.41,52.75,53.85,467700,53.85
2015-03-19,52.81,53.33,52.5,52.83,165700,52.83
2015-03-18,51.73,53.38,51.45,52.96,207400,52.96
2015-03-17,52.5,52.73,51.16,51.88,345000,51.88
2015-03-16,51.54,52.95,51.28,52.82,187200,52.82
2015-03-13,51.37,51.98,50.57,51.13,176600,51.13
2015-03-12,51.09,52.11,50.77,51.67,320600,51.67
2015-03-11,49.74,50.84,49.46,50.76,228600,50.76
2015-03-10,50.37,50.52,49.23,49.74,178400,49.74
2015-03-09,50.09,51.21,50.09,50.84,291800,50.84
2015-03-06,49.99,50.51,49.29,49.97,210300,49.97
2015-03-05,50.59,50.82,49.91,50.56,124300,50.56
2015-03-04,50.93,51.25,50.21,50.45,207400,50.45
2015-03-03,51.23,51.64,50.49,51.04,131100,51.04
2015-03-02,50.96,52.28,50.96,51.55,168200,51.55
2015-02-27,51.06,51.7,50.77,51,175300,51
2015-02-26,50.83,51.4,50.68,51.15,116600,51.15
2015-02-25,51.53,51.75,50.62,51.04,147300,50.79
2015-02-24,52.02,52.35,51,51.52,190600,51.26765
2015-02-23,51.98,52.38,51.34,51.94,142000,51.68559
2015-02-20,51.66,52.2,50.94,52.02,142100,51.7652
2015-02-19,51.47,51.89,51.28,51.63,157900,51.37711
2015-02-18,51.06,51.72,50.54,51.54,204400,51.28755
2015-02-17,53.3,53.47,50.82,51.3,303500,51.04873
2015-02-13,51.07,53.48,51.07,53.44,237500,53.17824
2015-02-12,50.5,51.48,48.5,50.84,430800,50.59098
2015-02-11,52.77,53.3,51.76,52.13,191500,51.87466
2015-02-10,53.15,53.17,52,53,93100,52.7404
2015-02-09,53.26,53.54,52.43,52.65,154800,52.39212
2015-02-06,52.62,53.65,52.03,53.37,178400,53.10859
2015-02-05,51.64,52.74,51.3,52.5,132400,52.24285
2015-02-04,51.89,52.75,51.3,51.41,191900,51.15819
2015-02-03,50.55,52.42,50.55,52.25,179700,51.99407
2015-02-02,49.54,50.4,48.36,50.35,161200,50.10338
2015-01-30,50.39,50.64,49.17,49.25,175400,49.00877
2015-01-29,50.04,51.06,49.62,50.88,144300,50.63078
2015-01-28,50.37,50.49,49.69,50,176500,49.75509
2015-01-27,49.34,50.36,49,50.02,172200,49.775
2015-01-26,49.35,50.17,48.74,50.05,131600,49.80485
2015-01-23,49.78,49.82,48.86,49.46,90300,49.21774
2015-01-22,48.2,49.78,47.5,49.77,188700,49.52622
2015-01-21,48.28,48.84,47.85,48.11,104200,47.87435
2015-01-20,49.07,49.25,48.32,48.5,227300,48.26244
2015-01-16,48.54,49.23,48.33,48.93,222300,48.69033
2015-01-15,50.31,50.33,48.55,48.83,116600,48.59083
2015-01-14,49.08,50.29,49.08,50.05,180200,49.80485
2015-01-13,49.92,51.16,49.02,49.78,183500,49.53617
2015-01-12,49.86,50.14,49.02,49.36,184200,49.11823
2015-01-09,50.44,50.96,49.71,49.71,195100,49.46651
2015-01-08,50.11,51.24,50.11,50.59,496600,50.34221
2015-01-07,49.48,49.96,49.12,49.73,137300,49.48642
2015-01-06,49.83,50.37,48.64,49.11,192000,48.86945
2015-01-05,50.06,50.94,49.57,49.83,182600,49.58593
2015-01-02,51.45,51.8,49.96,50.5,126700,50.25264
2014-12-31,52.41,52.72,51.03,51.06,130300,50.8099
2014-12-30,52.33,52.9,52.07,52.23,112400,51.97417
2014-12-29,51.59,52.71,51.09,52.53,107000,52.2727
2014-12-26,51.3,52,51.19,51.53,71800,51.2776
2014-12-24,50.81,51.4,50.53,50.98,56000,50.73029
2014-12-23,50.42,51.12,50.27,50.8,141500,50.55117
2014-12-22,50.17,50.46,49.4,50.2,166500,49.95411
2014-12-19,50.54,50.7,49.5,49.93,801800,49.68544
2014-12-18,50.75,50.75,49.5,50.58,174800,50.33225
2014-12-17,48.06,50.05,47.75,49.94,182000,49.69538
2014-12-16,47.63,48.82,47.09,48.01,220700,47.77484
2014-12-15,48.81,49,47.49,47.56,206100,47.32705
2014-12-12,48.51,49.28,48.34,48.41,130000,48.17288
2014-12-11,48.91,50,48.49,49.02,110000,48.7799
2014-12-10,49.77,50.11,48.39,48.44,112100,48.20273
2014-12-09,47.5,49.99,47.24,49.93,149800,49.68544
2014-12-08,48.7,49.36,47.5,48.15,196300,47.91416
2014-12-05,47.98,49.05,47.85,48.92,176100,48.68038
2014-12-04,48.33,48.43,47.85,48.04,126200,47.8047
2014-12-03,47.98,48.8,47.41,48.51,197100,48.27239
2014-12-02,46.95,48.03,46.95,47.99,152500,47.75494
2014-12-01,46.87,47.18,46.58,46.8,182800,46.57077
2014-11-28,47.96,48.11,46.8,46.94,75500,46.71008
2014-11-26,47.76,48.39,47.64,47.88,111400,47.64548
2014-11-25,47.74,48.36,47.63,47.77,119800,47.53602
2014-11-24,46.77,47.62,46.77,47.56,163500,47.32705
2014-11-21,47.57,47.75,46.66,46.7,126100,46.47126
2014-11-20,46.06,47.25,46.06,47.02,132500,46.78969
2014-11-19,46.65,46.83,45.76,46.18,144900,45.9538
2014-11-18,47.08,47.87,46.62,46.69,282000,46.4613
2014-11-17,47.13,47.65,46.81,46.85,205100,46.62052
2014-11-14,46.76,47.32,46.62,47.3,241900,47.06832
2014-11-13,47.99,48.42,46.77,46.78,168900,46.55087
2014-11-12,46.59,48.08,46.59,47.95,179300,47.46636
2014-11-11,46.58,47.12,46.39,46.82,261800,46.34776
2014-11-10,46.59,46.81,46.13,46.5,405200,46.03098
2014-11-07,46.67,46.69,46.43,46.59,244000,46.12008
2014-11-06,46.41,46.86,46.37,46.62,322600,46.14977
2014-11-05,46.7,46.94,45.96,46.54,243600,46.07058
2014-11-04,46.3,46.88,46.23,46.39,213900,45.92209
2014-11-03,46.57,47.05,46.15,46.51,215900,46.04088
2014-10-31,46.86,47.5,46.3,46.65,369000,46.17947
2014-10-30,45,46.45,44.76,46.13,337400,45.66472
2014-10-29,44.31,45.38,44,45.17,287800,44.7144
2014-10-28,43.03,44.25,43.03,44.23,214200,43.78388
2014-10-27,42.31,42.8,42.15,42.76,140600,42.3287
2014-10-24,42.22,42.67,41.92,42.49,275500,42.06143
2014-10-23,42.25,42.53,41.92,42.1,282200,41.67536
2014-10-22,41.58,42.76,41.45,41.72,337800,41.2992
2014-10-21,40.2,41.47,40.2,41.43,299500,41.01212
2014-10-20,39.53,40.2,39.45,40.1,288200,39.69553
2014-10-17,40.06,40.36,39.18,39.6,309000,39.20058
2014-10-16,37.31,40,37.28,39.8,464200,39.39856
2014-10-15,35.39,36.57,35.11,36.18,216000,35.81507
2014-10-14,35.8,36.53,35.7,36.04,136300,35.67649
2014-10-13,35.04,35.93,34.92,35.45,199200,35.09244
2014-10-10,34.75,35.85,34.75,35.07,150300,34.71627
2014-10-09,36.09,36.25,34.89,34.91,172200,34.55788
2014-10-08,35.33,36.09,34.89,36.08,159500,35.71609
2014-10-07,35.7,35.94,35.35,35.41,158100,35.05284
2014-10-06,36.22,36.29,35.75,35.96,110300,35.59729
2014-10-03,36.34,36.43,35.96,36.14,124800,35.77548
2014-10-02,35.4,36.04,35.28,35.9,112200,35.5379
2014-10-01,36.02,36.02,35.19,35.37,365400,35.01324
2014-09-30,36.72,36.97,35.99,35.99,249100,35.627
2014-09-29,36.46,37.05,36.46,36.74,99400,36.36943
2014-09-26,36.81,37.05,36.61,36.98,193200,36.60701
2014-09-25,37.59,37.78,36.7,36.78,155500,36.40902
2014-09-24,37.61,37.94,37.49,37.77,112100,37.38904
2014-09-23,37.7,37.78,37.3,37.42,125000,37.04257
2014-09-22,38.28,38.39,37.66,37.8,168700,37.41874
2014-09-19,39.09,39.09,38.15,38.43,263000,38.04238
2014-09-18,39.05,39.17,38.69,38.86,93800,38.46804
2014-09-17,38.5,38.84,38.29,38.84,118800,38.44825
2014-09-16,38.38,38.93,38.26,38.57,183300,38.18097
2014-09-15,38.43,38.6,38.05,38.27,96700,37.884
2014-09-12,38.69,38.71,37.97,38.27,126700,37.884
2014-09-11,37.98,38.68,37.98,38.59,73800,38.20077
2014-09-10,37.98,38.3,37.78,38.24,107200,37.8543
2014-09-09,38.24,38.3,37.75,37.95,152300,37.56722
2014-09-08,38.78,39,38.1,38.28,117900,37.89389
2014-09-05,38.45,38.86,38.31,38.78,161200,38.38885
2014-09-04,38.4,38.89,38.26,38.62,166100,38.23046
2014-09-03,38.87,38.87,38.1,38.24,115100,37.8543
2014-09-02,38.06,38.73,37.78,38.66,216300,38.27006
2014-08-29,37.78,37.95,37.49,37.91,111400,37.52763
2014-08-28,37.83,37.98,37.44,37.67,115500,37.29005
2014-08-27,38.35,38.47,37.78,37.93,160000,37.54742
2014-08-26,37.88,38.29,37.87,38.23,159800,37.8444
2014-08-25,37.92,38.2,37.35,37.89,190000,37.50783
2014-08-22,38.16,38.58,38,38.34,126500,37.95329
2014-08-21,37.88,38.29,37.41,38.2,181000,37.8147
2014-08-20,37.99,38.09,37.54,37.91,102300,37.52763
2014-08-19,38.01,38.38,38.01,38.16,118200,37.7751
2014-08-18,37.46,38,37.39,37.92,124400,37.53753
2014-08-15,37.6,37.85,36.71,37.03,153000,36.6565
2014-08-14,37.28,37.41,36.99,37.21,115700,36.83469
2014-08-13,36.74,37.3,36.64,37.25,205300,36.87428
2014-08-12,36.99,37.27,36.62,36.89,108200,36.27044
2014-08-11,37.13,37.65,36.7,37.18,113200,36.55556
2014-08-08,36.08,36.98,36.08,36.88,148600,36.2606
2014-08-07,36.32,36.43,35.8,36.09,186900,35.48387
2014-08-06,35.53,36.41,35.53,36.17,119300,35.56253
2014-08-05,35.27,35.94,35.27,35.7,117000,35.10042
2014-08-04,35.21,35.66,34.62,35.5,277500,34.90378
2014-08-01,35.36,35.53,34.78,35.08,226200,34.49084
2014-07-31,35.45,36.13,35.34,35.34,238100,34.74647
2014-07-30,36.04,36.21,35.75,35.94,146000,35.33639
2014-07-29,36.15,36.52,35.8,35.81,176200,35.20858
2014-07-28,36.22,36.31,35.6,36.02,225000,35.41505
2014-07-25,36.6,36.77,36.04,36.21,274600,35.60186
2014-07-24,37.19,37.63,36.58,36.91,303100,36.2901
2014-07-23,37.54,37.54,36.99,37.07,177700,36.44741
2014-07-22,37.3,37.58,37.09,37.5,325100,36.87019
2014-07-21,37.2,37.25,36.53,37.03,221600,36.40808
2014-07-18,37.16,37.69,37.12,37.5,300300,36.87019
2014-07-17,37.36,38.4,36.96,37.21,229100,36.58506
2014-07-16,38.07,38.07,37.15,37.55,240100,36.91935
2014-07-15,37.94,38.06,37.25,37.74,159200,37.10616
2014-07-14,38,38.11,37.74,38,159100,37.36179
2014-07-11,37.93,38,37.55,37.6,121200,36.96851
2014-07-10,37.52,38.16,37.38,37.93,178600,37.29297
2014-07-09,38.7,38.83,38.32,38.39,131800,37.74524
2014-07-08,38.96,38.96,38.44,38.7,319400,38.05004
2014-07-07,39.56,39.57,38.77,38.97,142500,38.3155
2014-07-03,39.24,40.13,39.24,39.75,123200,39.0824
2014-07-02,39.39,39.58,38.96,39.05,159800,38.39416
2014-07-01,39.36,40.43,39.36,39.57,346100,38.90543
2014-06-30,38.96,39.16,38.4,39.11,174400,38.45315
2014-06-27,37.66,39.1,37.66,38.96,366300,38.30567
2014-06-26,38.43,38.45,37.48,37.91,182900,37.2733
2014-06-25,37.97,38.64,37.75,38.61,128300,37.96155
2014-06-24,38.53,39.24,38.13,38.16,138800,37.5191
2014-06-23,38.97,38.97,38.21,38.53,127100,37.88289
2014-06-20,38.85,39.29,38.58,38.96,409600,38.30567
2014-06-19,38.7,38.97,38.36,38.82,128400,38.16802
2014-06-18,38.53,38.57,38.04,38.55,134400,37.90255
2014-06-17,38.08,39.12,37.99,38.51,276400,37.86323
2014-06-16,37.68,38.02,37.64,38.01,113300,37.37162
2014-06-13,37.93,38.11,37.34,37.77,118100,37.13565
2014-06-12,37.79,38.11,37.28,37.77,113900,37.13565
2014-06-11,38.01,38.18,37.57,37.97,109800,37.3323
2014-06-10,38.07,38.44,37.93,38.27,135800,37.62726
2014-06-09,37.72,38.41,37.41,38.26,180300,37.61742
2014-06-06,37.05,38.3,37.05,37.65,206600,37.01767
2014-06-05,36.2,37.29,36.07,37,219700,36.37859
2014-06-04,36.35,36.35,35.85,36.2,195400,35.59203
2014-06-03,36.66,36.68,35.82,36.41,175500,35.7985
2014-06-02,37.42,37.55,36.44,36.77,150900,36.15245
2014-05-30,37.64,37.7,37.26,37.43,164800,36.80136
2014-05-29,37.54,37.71,37.05,37.58,136400,36.94885
2014-05-28,37.85,37.93,37.42,37.48,157200,36.85052
2014-05-27,38.12,38.83,37.74,37.99,219500,37.35196
2014-05-23,36.85,37.92,36.76,37.81,131900,37.17498
2014-05-22,36.26,37.12,36.24,36.97,169200,36.34909
2014-05-21,36.38,36.63,35.78,36.26,154400,35.65102
2014-05-20,36.67,36.76,35.59,36.24,330500,35.63136
2014-05-19,35.99,36.91,35.85,36.83,205700,36.21144
2014-05-16,35.39,36.03,35.15,36.02,166500,35.41505
2014-05-15,35.15,35.65,34.62,35.49,217200,34.89395
2014-05-14,36.24,36.24,35.34,35.43,201900,34.83496
2014-05-13,37.46,37.6,36.23,36.56,273000,35.70018
2014-05-12,36.52,38,36.52,37.61,224700,36.72548
2014-05-09,35.49,36.33,35.34,36.3,197700,35.44629
2014-05-08,35.2,36.52,35.2,35.63,287800,34.79205
2014-05-07,35.17,35.51,34.7,35.2,261000,34.37216
2014-05-06,35.88,35.99,35.02,35.03,202000,34.20616
2014-05-05,34.69,36.08,34.66,35.95,332600,35.10452
2014-05-02,34.78,35.48,34.63,35.04,147500,34.21592
2014-05-01,35.29,35.29,34.01,34.71,259700,33.89368
2014-04-30,34.88,35.48,34.31,35.23,213400,34.40145
2014-04-29,35.48,35.75,34.91,34.93,133400,34.10851
2014-04-28,35.36,35.74,34.48,35.35,176400,34.51863
2014-04-25,35.75,35.88,35.16,35.24,163600,34.41122
2014-04-24,36.33,36.33,35.37,35.77,197300,34.92876
2014-04-23,35.88,36.33,35.66,35.97,178400,35.12405
2014-04-22,35.68,36.5,35.49,35.9,231800,35.0557
2014-04-21,34.29,36.56,34.22,35.69,247100,34.85064
2014-04-17,34.73,35.13,31.61,33.54,782900,32.7512
2014-04-16,34.96,35.08,34,34.72,589100,33.90345
2014-04-15,34.25,34.7,33.52,34.52,126200,33.70815
2014-04-14,34.67,34.77,34,34.26,138400,33.45427
2014-04-11,34.11,34.74,33.83,34.2,147900,33.39568
2014-04-10,35.38,35.43,34.31,34.5,145500,33.68863
2014-04-09,34.53,35.55,34.22,35.44,173200,34.60651
2014-04-08,34.43,34.86,33.88,34.4,126400,33.59098
2014-04-07,34.89,34.93,33.95,34.42,188300,33.6105
2014-04-04,36.74,36.74,34.93,35.02,168300,34.1964
2014-04-03,36.93,36.99,36.27,36.35,129900,35.49511
2014-04-02,37.16,37.18,36.67,37.01,163600,36.13959
2014-04-01,36.64,37.21,36.61,37.11,131400,36.23724
2014-03-31,35.65,36.71,35.43,36.56,151400,35.70018
2014-03-28,35.65,36.52,35.28,35.41,158700,34.57722
2014-03-27,35.64,36.03,35.28,35.63,196000,34.79205
2014-03-26,36.14,36.57,35.63,35.64,227600,34.80181
2014-03-25,35.99,36.5,35.24,35.78,146000,34.93852
2014-03-24,35.88,35.88,34.86,35.6,126400,34.76275
2014-03-21,35.74,35.96,35.3,35.67,486200,34.8311
2014-03-20,34.67,35.63,34.51,35.6,214100,34.76275
2014-03-19,34.83,35.28,34.2,34.65,88400,33.8351
2014-03-18,34.49,35.18,34.34,34.95,127700,34.12804
2014-03-17,34.94,35.42,34.41,34.47,168500,33.65933
2014-03-14,34.4,35,34.4,34.67,104500,33.85463
2014-03-13,35.28,35.42,34.3,34.5,163100,33.68863
2014-03-12,34.84,35.26,34.6,35.23,121600,34.40145
2014-03-11,36.01,36.01,34.77,35.09,111900,34.26475
2014-03-10,36.09,36.33,35.8,35.99,230000,35.14359
2014-03-07,36.58,36.9,35.94,36.2,171800,35.34864
2014-03-06,36.17,36.45,35.7,36.31,116700,35.45606
2014-03-05,36.92,36.92,36,36.13,159100,35.28029
2014-03-04,35.59,37.38,35.59,37.04,221100,36.16889
2014-03-03,35.13,35.61,34.53,35.02,139300,34.1964
2014-02-28,35.59,36.28,35.44,35.55,156900,34.71393
2014-02-27,35.19,35.58,34.96,35.53,123400,34.6944
2014-02-26,35.06,35.72,34.68,35.27,228200,34.44051
2014-02-25,34.66,35.38,34.6,34.96,137800,34.13781
2014-02-24,34.55,35.3,34.55,34.62,151600,33.8058
2014-02-21,34.64,34.9,34.38,34.45,175700,33.6398
2014-02-20,34.07,34.56,33.63,34.47,175300,33.65933
2014-02-19,34.44,34.7,34.13,34.15,179300,33.1125
2014-02-18,34.78,34.83,34.38,34.66,180800,33.60701
2014-02-14,34.65,34.97,34.17,34.69,150900,33.63609
2014-02-13,34.4,34.78,34.18,34.67,195200,33.6167
2014-02-12,34.24,34.84,34.24,34.78,127100,33.72336
2014-02-11,33.68,34.36,33.48,34.18,138400,33.14159
2014-02-10,33.81,33.81,32.98,33.64,141600,32.61799
2014-02-07,33.87,34.17,33.49,33.85,152900,32.82161
2014-02-06,34.13,34.43,33.57,33.66,170000,32.63739
2014-02-05,32.24,35.22,32.24,34.04,440500,33.00584
2014-02-04,31.77,32.48,31,32.24,376400,31.26053
2014-02-03,34.28,34.82,31.31,31.5,479400,30.54301
2014-01-31,34.36,35.07,34.27,34.31,204300,33.26764
2014-01-30,35.13,35.5,34.66,35.18,169400,34.11121
2014-01-29,34.91,35.54,34.63,34.73,179700,33.67488
2014-01-28,35.41,35.59,34.96,35.35,292300,34.27604
2014-01-27,35.68,35.84,35.12,35.29,160700,34.21787
2014-01-24,37.13,37.13,35.51,35.55,143000,34.46997
2014-01-23,37.33,37.65,37.33,37.46,105600,36.32194
