Date,Open,High,Low,Close,Volume,Adj Close,7-day log vol,31-day log-vol,365-day log-vol
2015-04-02,24.81,25,24.7,24.94,29151100,24.94,-2.2792601543,-0.9980776523,-0.1245074349
2015-04-01,24.72,24.92,24.57,24.84,38679600,24.84,-1.7904062002,-1.0180359595,-0.1259399526
2015-03-31,25.09,25.09,24.81,24.81,34579000,24.81,-1.4264082405,-1.0488211945,-0.1252902452
2015-03-30,24.98,25.2,24.97,25.12,27185800,25.12,-1.3863106879,-1.0860906876,-0.1231926655
2015-03-27,24.92,24.92,24.71,24.86,27824800,24.86,-1.3442438493,-1.0620170383,-0.119117748
2015-03-26,24.8,24.92,24.67,24.8,32459700,24.8,-1.2744255309,-1.048515248,-0.1169725346
2015-03-25,25.23,25.33,24.91,24.91,34715700,24.91,-1.5733725123,-1.0357408153,-0.1151659284
2015-03-24,25.38,25.48,25.27,25.27,25183100,25.27,-2.1541226232,-0.9962053703,-0.1121572515
2015-03-23,25.48,25.74,25.45,25.47,31930800,25.47,-1.7679127927,-0.9208050665,-0.1035909465
2015-03-20,25.34,25.53,25.3,25.4,47992600,25.4,-1.7899667685,-0.8576773582,-0.0956012766
2015-03-19,25.44,25.61,25.26,25.33,38314800,25.33,-1.7319707976,-0.755417257,-0.0897129862
2015-03-18,25.18,25.85,25.11,25.64,38302800,25.64,-1.6795383195,-0.712511321,-0.0847057546
2015-03-17,25.3,25.39,25.09,25.31,34259000,25.31,-1.6795383195,-0.6589917837,-0.0796560398
2015-03-16,25.06,25.48,24.96,25.45,34610400,25.45,-1.6605333829,-0.569375167,-0.0763233269
2015-03-13,25.28,25.36,24.81,25.04,45307000,25.04,-1.36236986,-0.5215624078,-0.0719756236
2015-03-12,25.27,25.41,25.17,25.4,29369500,25.4,-1.4792379058,-0.4550925299,-0.0668694096
2015-03-11,25.28,25.49,25.14,25.19,36198100,25.19,-1.3410420669,-0.4420767501,-0.0620427627
2015-03-10,25.5,25.64,25.17,25.17,37442100,25.17,-1.2578133896,-0.4357833,-0.0587038966
2015-03-09,25.52,25.7,25.49,25.64,31591100,25.64,-1.5358880922,-0.4263295335,-0.0553370501
2015-03-06,25.71,25.78,25.33,25.42,32286800,25.42,-1.5665363302,-0.4251689282,-0.0517813087
2015-03-05,25.62,25.82,25.58,25.82,28373800,25.82,-2.0436743412,-0.4050444474,-0.0482948604
2015-03-04,25.76,25.77,25.47,25.66,31543800,25.66,-1.516198129,-0.3996357722,-0.0431819322
2015-03-03,26.05,26.08,25.78,25.86,30542300,25.86,-1.1443410939,-0.3731866125,-0.0403519344
2015-03-02,25.88,26.12,25.85,26.11,32409000,26.11,-1.0028604083,-0.3704417077,-0.0389023183
2015-02-27,25.83,26.27,25.75,25.99,51531800,25.99,-0.9705608162,-0.4169409895,-0.0361317694
2015-02-26,25.94,26.01,25.81,25.89,38247200,25.89,-1.1076984304,-0.4727003871,-0.0319252013
2015-02-25,25.45,26.06,25.44,25.91,68219600,25.91,-1.3109175297,-0.5421176921,-0.025801394
